,refs,trans,model_corrected
0,i have a painful cramp in my feet,i have a painful cramp in my feet,refine the sentence: i have a painful cramp in my feet to: 
1,the pain feels like its right below the skin,the pain feels like its right below the skin,refine the sentence: the pain feels like its right below the skin to: 
2,i feel suicidal,i feel suicidal,refine the sentence: i feel suicidal to: 
3,i feel a sharp pain in my ankle joint when i stand,i feel a sharp pain in my ankle joint when i stand,refine the sentence: i feel a sharp pain in my ankle joint when i stand to: 
4,my shoulder hurts me so much,my shoulder hurts me so much,refine the sentence: my shoulder hurts me so much to: 
5,i have a hair shortage,i have a hair shortage,refine the sentence: i have a hair shortage to: 
6,my left ear is ok but the right one feels like its being stabbed with a nail,my left ear is ok but the right one feels like it is being stabbed with a nail,refine the sentence: my left ear is ok but the right one feels like it is being stabbed with a nail to: 
7,im suffering from sharp cough accompanied by  phlegm,i am suffering from sharp cough accompanied by phlegm,refine the sentence: i am suffering from sharp cough accompanied by phlegm to: 
8,i was playing soccer and i twisted my ankle,i was playing soccer and i twisted my ankle,refine the sentence: i was playing soccer and i twisted my ankle to: 
9,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder it is like lightning is being sent through my shoulder,refine the sentence: when i move my shoulder it is like lightning is being sent through myoulder to: 
10,i have pimples in patches along with a lot of redness on my face,i have pimples and patches along with a lot of redness on my face,refine the sentence: i have pimples and patches along with a lot of redness on my face to: 
11,when i brush my hair i notice big clumps of hair coming out in the brush,when i brush my hair i notice big clumps of hair coming out in the brush,refine the sentence: when i brush my hair i notice big clumps of hair coming out in the brush to: 
12,i cant see the sign i have a blurry vision,i cant see the sign i have a blurry vision,refine the sentence: i cant see the sign i have a blurry vision to: 
13,my heart hurts when i exercise,my heart hurts when i exercise,refine the sentence: my heart hurts when i exercise to: 
14,i feel a tightness in my chest,i feel a tightness in my chest,refine the sentence: i feel a tightness in my chest to: 
15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is falling without a reason i can see a lot of hair on my working dust,refine the sentence: my hair is falling without a reason i can see a lot of hair on my working dust to: 
16,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife vial i was cooking,refine the sentence: i sliced myself deeply with a knife vial i was cooking to: 
17,i feel cold,i feel cold,refine the sentence: i feel cold to: 
18,i dont have problems taking in breath but out breath is so heavy,i don t have problems taking n breath but out breath is so heavy,refine the sentence: i don t have problems taking n breath but out breath is so heavy to: 
19,i feel a lot of pain in the joints,i feel a lot of pain in the joints,refine the sentence: i feel a lot of pain in the joints to: 
20,my upper back has been sore for a week,my upper back has been sore for a week,refine the sentence: my upper back has been sore for a week to: 
21,sometimes i cough because im a smoker,sometimes i cough because i am a smoker,refine the sentence: sometimes i cough because i am a smoker to: 
22,my television and computer seem out of focus even though i have new glasses,my television and computer seem out of focus even though i have new glasses,refine the sentence: my television and computer seem out of focus even though i have new glasses to: 
23,my foot hurts me a lot of playing football,my foot hurts me a lot playing football,refine the sentence: my foot hurts me a lot playing football to: 
24,i have tried to make massage on my foot but they still pain me,i have tried to make massage on my foot but they still pain me,refine the sentence: i have tried to make massage on my foot but they still pain me to: 
25,i was playing football and injuried with joint pain,i was playing football and injured with joint pain,refine the sentence: i was playing football and injured with joint pain to: 
26,my grandmother last year went to hospital because she was having a hard time breathing,my grandmother last year went to hospital because she was having a hard time breathing,refine the sentence: my grandmother last year went to hospital because she was having a hard time breathing to: 
27,i feel pain in my eyes i can see fog,i feel pain in my eyes i can see fog,refine the sentence: i feel pain in my eyes i can see fog to: 
28,i feel dizzy and out of sight,i feel dizzy and out of sight,refine the sentence: i feel dizzy and out of sight to: 
29,my hair is falling when i am combing it,my hair is falling when i am combing it,refine the sentence: my hair is falling when i am combing it to: 
30,he was discovered to have an open wound,he was discovered to have an open wound,refine the sentence: he was discovered to have an open wound to: 
31,the acne was causing me to feel embarrassed,the acne was causing me to feel embarrassed,refine the sentence: the acne was causing me to feel embarrassed to: 
32,the pain in my ear is unbearable,the pain in my ear is unbearable,refine the sentence: the pain in my ear is unbearable to: 
33,i feel a pain in my neck,i feel a pain in my neck,refine the sentence: i feel a pain in my neck to: 
34,my chest hurts when i smoke,my chest hurts when i smoke,refine the sentence: my chest hurts when i smoke to: 
35,i feel like i went to an acupunctures practice and had 100 needles in my shoulder,i feel like i went to an acupuncturist practice and had 100 needles in my shoulder,refine the sentence: i feel like i went to an acupuncturist practice and had 100 needles in my shoulder to: 
36,i have a cut that has become red and oozes puss,i have a cut that has become red and oozes pus,refine the sentence: i have a cut that has become red and oozes pus to: 
