,refs,trans,model_corrected
0,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,hello hi um before we stop yeah ok hello um good morning sir how can i help you this morning,hello hi um before we stop yeah ok hello um good morning sir how can i help you this morning
1,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,yeah im sorry to hear that um uh and and when you say diarrhea what do you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,yeah im sorry to hear that um uh and and when you say diarrhea what do you mean by diarrhea doyou mean youre going to the toilet more often or are your stools more loose
2,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok all right and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok all right and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do? mean you've been having uh have you been experiencing feverish for example
3,you measure your temperature then,you measure your temperature then,you measure your temperature then
4,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all
5,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you stopped vomiting ok and was your vomit i know its not nice things to talk about but was it just normal food color yeah and there was no blood in your vomit is that right,you stopped vomiting ok and was your vomit i know its not nice things to talk about but was it just normal food color yeah and there was no blood in your vomiting is that right
6,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned the vomiting uh anything else that comes to mind,no ok um and um any any other symptoms at all so you mentioned tummy pain youmentioned diarrhea you talked the vomiting uh anything else that comes to mind
7,ok,ok,ok
8,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so youre drinking fluids um what kind of foods have you managed to eat anything,ok so youre drinking fluids um what kind of foods have you managed to eat anything
9,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms,ok fine um and so uh uh this started three days ago the symptoms are you aware of any triggers which may have caused your symptoms to uh to kick on so for example things like takeaway food or eating out or being around other people with similar symptoms,ok fine um and so uh uh this started three days ago the symptoms are you aware of any triggers which may have caused your symptoms to uh to kick on so for example things like takeaway food or eating out or being around other people with similar symptoms
10,ok,thank you,thank you
11,do you remember where you ate,do you remember what you ate,do you remember what you ate
12,ok anyone else unwell with similar symptoms,ok anyone else unwell with similar symptoms,ok anyone else unwell with similar symptoms
13,ok ok fine um alright and uh in terms of your your overall health are you normally fit and well or uh,ok ok fine um right and uh in terms of your your overall health are you normally fitting well or uh,ok ok fine um right and uh in terms of your your overall health are you normally fitting well or uh
14,ok and is your asthma well controlled,ok and is your asthma well controlled,ok and is your asthma well controlled
15,fine and you dont have any other tummy problem bowel problems i should be aware of,fine and you dont have any other tummy problem bowel problems i should be aware of,fine and you dont have any other tummy problem bowel problems i should be aware of
16,no ok um and apart from the inhalers do you take any other medications,no ok um and apart from the inhalers do you take any other medications,no ok um and apart from the inhalers do you take any other medications
17,ok fine and in terms of just your day to day life you said its been affecting your life um in what way has it been affecting your life,ok fine and in terms of just your your day to day life you said its been affecting your life um in what way has it been affecting your life,ok fine and in terms of just your your day to day life you said its been affecting your life um in what way has it been impacting yourlife
18,ok,ok,ok
19,yeah,yeah,yeah
20,and have you are you currently working at the moment,and have you are you currently working at the moment uh,and have you are you currently working at the moment uh
21,ok and how many times a day are you going lets say in the last couple of days,ok and how many times a day are you going lets say in the last couple of days,ok and how many times a day are you going lets say in the last couple of days
22,would would work,to work,to work
23,ok have you been going into work the last three days or have you been at home,ok have you been going to work the last three days or youve been at home,ok have you been going to work the last three days or youve been at home
24,ok that must be difficult for you then,ok that must be difficult for you then,ok that must be difficult for you then
25,fine and you said you mentioned you live with your wife and two children is that right,right and you said you mentioned you live with the wife and two children is that right,right and you said you mentioned you live with the wife and two children is that right
26,right alright um just a couple of other question we need to ask sir um do you smoke at all,ok all right um just a couple of other questions we need to ask uh um do you smoke at all,ok all right um just a couple of other questions we need to ask uh um do you smoke at all
27,and do you drink much in the way of alcohol,and do you drink much in the way of alcohol,and do you drink much in the way of alcohol
28,ok so um er normally at this stage i like to um examine you if thats ok but um um but but having listened to your story sir i think uh um just to recap for the last three days youve been having loose stool diarrhea a bit of tummy pain uh mainly on the left hand side um and vomiting and fever and youre quite weak and lethargic um you mentioned you had this chinese takeaway as little as three days ago and i wondered whether that might be the cause of your problems,ok so um uh normally at this stage id like to um examine you if thats ok but um um but but have a listen to your story so i think you um just to recap you for the last three days youve been having loose stool diarrhea a bit of tummy pain mainly on the left hand side um and vomiting and feeling generally quite weak and lethargic um you mentioned youre having this chinese takeaway as well three days ago and i wonder whether that might be the cause of your problems,ok so um uh normally at this stage id like to um examine you if thats ok but um um but have a listen to your story so i think you um just to recap you for the last three days youve been having loose stool diarrhea a bit of tummy pain mainly on the left hand side um and vomiting and feeling generally quite weak and lethargic um you mentioned youre having this chinese takeaway as well three day ago and i wonder whether that might be the cause of your problems
29,um it seems like you may have something uh called gastroenteritis which essentially just a tummy bug or infection of your uh of your tummy,um it seems like you may have something uh called gastroenteritis which is essentially just a tummy bug or infection of your of your tummy,um it seems like you may have something uh called gastroenteritis which is essentially just a tummy bug or infection of your of my tumm
30,uh mainly caused by viruses but there can be a possibility of bacteria uh causing its symptoms um,um mainly caused by viruses but it can be a possibility of bacteria uh causing your symptoms um,um mainly caused by viruses but it can be a possibility of bacteria uh causing your symptoms um
31,at this stage uh what what wed recommend is just what we say conservative management so um i dont think you need anything like antibiotics its really just um making sure youre well hydrated so drinking fluids,at this stage uh what what wed recommend is just what we say conservative management so uh i dont think you need anything like antibiotics its really just um making sure youre well hydrated so drinking plenty of fluids,at this stage uh what what wed recommend is just what we say conservative management so uh i dont think you need anything like antibiotics its really just um making sure youre well hydrated so drinking plenty of fluids
32,six seven times a day and you mention its mainly watery have you noticed any other things like blood in your stools,67 times a day and you men you mentioned it mainly watery have you noticed any other things like blood in your stools,67 times a day and you men you mentioned it mainly watery have you noticed any other things like blood in your stools
33,um there are things like dioralyte you can get from the pharmacy which uh its um it helps helps replenish your minerals and vitamins,um uh there are things like diur like you can get from the pharmacy which uh its um it helps replenish some of your minerals and vitamins,um uh there are things like diur like you can get from the pharmacy which uh its um it helps replenish some of your minerals and vitamins
34,um and if you are having vomiting diarrhea i would say recommend that in the first you know first couple of days,um and if you are having vomiting and diarrhea i would say recommend that the first you know first couple of days,um and if you are having vomiting and diarrhea i would say recommend that the first you know first couple of days
35,if you are feeling feverish and weak eh taking some paracetamol uh two tablets up to four times a day for the first few days can also help,um if you are feeling feverish and weak you taking some paracetamol uh 22 tablets up to four times a day for the first few days can also help,um if you are feeling feverish and weak you taking some paracetamol uh 22 tablets up to four times a day for the first few days can also help
36,i will certainly advise you to take some time off work actually i know youre quite keen to work but i would say the next two two to three days as the infection clears from your system to take some time off and rest,ill certainly advise you to take some time off work actually i know youre quite keen to work um i would say in the next 22 to 3 days um as the infection clears from your system to take some time off and rest,ill certainly advise you to take some time off work actually i know youre quite keen to work um i would say in the next 22 to 3 days um as the infection clears from your system to Take someTime off and rest
37,um ill admit if your symptoms havent got better you know in in three to four days id like to come and see you again,um you know if your symptoms havent got better you know in in 3 to 4 days id like you to come back and see you again,um you know if your symptoms havent got better you knows in in 3 to 4 days id like you to come back and see you again
38,because if it is ongoing then we have to wonder whether something else caused your symptoms,because if it is ongoing then we have to wonder whether theres something else causing these symptoms,because if it is ongoing then we have to wonder whether theres something else causing these symptoms
39,uh and we may need to do further tests like um taking a sample of your stool so we can test that,uh uh and we may need to do further tests like um taking a sample of your stool so we can test that,uh uh and we may need to do further tests like um taking a sample of your stool so we can test that
40,um etcetera etcetera,um et cetera et cetera,um et cetera et Ceteras
41,hows that sound,how does that sound,how does that sound
42,do you have any questions for me,do you have any questions for me,do you have any questions for me
43,ok and you mentioned youve had some pain in your tummy as well whereabouts is the pain exactly,ok and you mentioned youve had some pain in your tummy as well w whereabouts is the pain exactly,ok and you mentioned youve had some pain in your tummy as well w whereabouts is the pain exactly
44,ok and is uh is the treatment plan clear,ok i is the is the treatment plan clear,ok i is the isthe treatment plan clear
45,great well i wish you all the best,great well i wish you all the best,great well i wish you all the best
46,thank you bye bye,thank you bye bye,thank you bye bye
47,one side and what side is that,one side and what side is that,one side and what side is that
48,left side ok and can you describe the pain to me,left side ok and can you describe the pain to me,left side ok and can you describe the pain to me
49,ok and is the pain is that is it there all the time or does it come and go,ok and does the pain is that is it there all the time or does it come and go,ok and does the pain is that is it there all the time or does it come and go
50,come and go does the pain move anywhere else for example towards your back,go does the pain move anywhere else arm towards your back,go does the pain move anywhere else arm towards your back
51,hello how are you,hello how are you,hello how are you
52,oh hey um ive just had some diarrhea for the last three days um and its been affecting me i need to stay close to the toilet and um yeah its been affecting my day to day activities,hi um ive just had some um diarrhea for the last three days um and its been affecting me i need to stay close to the toilet and um yeah its been affecting my day to day activities,hi um ive just had some um diarrhea for the last three days um and its been affecting me i need to stay close to the toilet and um yeah its has been affect my day to day activities
53,uhno just maybe my stomach,um no just mainly my stomach,um no just mainly my stomach
54,um yeah it doesnt feel like yeah it just makes me feel weak i havent had a fever um at the moment but i did notice um a temperature when the symptoms started so um yeah around about three or four days ago,um yeah it doesnt feel like uh yeah just make me feel weak i havent had a fever um at the moment but i did notice um a temperature when the symptoms started so um yeah around about three or four days ago,um yeah it doesnt feel like uh yeah just make me feel weak i havent had a fever um at the moment but i did notice um a temperature when the symptoms started so um yeah around about three or four days ago
55,yeah i uh i didnt mention my temperature no but i felt um just a bit hot and yknow,yeah ii i didnt mention my temperature no but i felt um just a bit hot yeah yeah,yeah ii i didnt mention my temperature no but i felt um just a bit hot yeah yeah
56,uh no,uh no,uh no
57,yeah so um i vomited at the start of the symptoms but now um ive stopped vomiting,yeah so um i vomited at the start of the symptoms but now um ive stopped vomiting,yeah so um i vomited at the start of the symptoms but now um ive stopped vomiting
58,yeah yeah just normal vomit yeah no no blood no yeah,yeah yeah just normal vomit yeah you know but no yeah,yeah yeah just normal vomit yeah you know but no yeah
59,yep um i had a loss of appetite um so i havent been eating as much but ive been able to hold down fluids,yeah um i had a loss of appetite um so i havent been eating as much um but ive been able to hold down fluids,yeah um i had a loss of appetite um so i havent been eating as much um but ive been able to hold down fluids
60,yep,yeah,yeah
61,um just soups and uh yeah light foods like smoothies and yeah liquid foods mainly,um just soups and uh yeah light foods like smoothies and yeah liquid foods mainly,um just soups and uh yeah light foods like smoothies and yeah liquid foods mainly
62,yeah so its like loose and watery stool going to the toilet quite often uh and like some pain in my like lower stomach,yeah so its like loose and watery stool going to the toilet quite often um and like some pain in my like lower stomach,yeah so its like loose and watery stool going to the toilet quite often um and like some pain in my like lower stomach
63,yeah so i had takeaway about four days ago um uh but other than that ive yeah been uh eating normally nothing unusual here,yeah so i had takeaway about four days ago um uh but other than that ive yeah been uh eating normally nothing uh unusual yeah,yeah so i had takeaway about four days ago um uh but other than that ive yeah been uh eating normally nothing uh unusual yeah
64,um yeah i ate at a chinese restaurant with friends yeah,um yeah ir at a chinese restaurant with friends yeah,um yeah ir at a chinese restaurant with friends yeah
65,um so no one else in the family so a wife and two kids and one um child was vomiting but they havent got diarrhea theres no one with the same symptoms,um so no one else in the family so i have a wife and two kids and one child was vomiting but they havent got diarrhea theres no one with the same symptoms,um so no one else in the family so i have a wife and two kids and one child was vomiting but they havent got diarrhea theres noone with the same symptoms
66,uh yeah thats fine i just yeah use an inhaler and uh thats under control,uh yeah thats fine i just yeah use an inhaler and uh thats under control,uh yeah thats fine i just yeah use an inhaler and uh thats under control
67,no,no,no
68,yeah,yeah,yeah
