,Unnamed: 0,refs,trans,model_corrected
0,0,i have a painful cramp in my feet,a painful in my feet,a painful pain in my feet
1,1,the pain feels like its right below the skin,the pain feels like its right below the skin,the pain feels like its right below the skin
2,2,i feel suicidal,i feel suicidal,i feel suicidal
3,3,i feel a sharp pain in my ankle joint when i stand,i a sharp pain in my ankle joint when i stand,i experience a sharp pain in my ankle joint when i stand
4,4,my shoulder hurts me so much,my shoulder hurts me so,my shoulder hurts me so much
5,5,i have a hair shortage,i have a hair shortage,i have a hair shortage
6,6,my left ear is ok but the right one feels like its being stabbed with a nail,my left ear is ok but the right one feels like its being stabbed with nail,the right one feels like its being stabbed with a nail
7,7,im suffering from sharp cough accompanied by  phlegm,im suffering from sharp cough accompanied by phlegm,im suffering from sharp cough accompanied by phlegm
8,8,i was playing soccer and i twisted my ankle,i was playing soccer i twisted my,when i was playing soccer i twisted my ankle
9,9,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder its like lightning is being sent through my left shoulder
10,10,i have pimples in patches along with a lot of redness on my face,i have pimples in patches along with a lot of redness on my face,i have pimples in patches along with a lot of redness on my face
11,11,when i brush my hair i notice big clumps of hair coming out in the brush,when i brush my hair i notice big clumps of hair coming out in the brush,when i brush my hair i notice big clumps of hair coming out in the brush
12,12,i cant see the sign i have a blurry vision,i cant see the sign i have a blurry vision,i cant see the sign i have a blurry vision
13,13,my heart hurts when i exercise,my heart hurts when i exercise,my heart hurts when i exercise
14,14,i feel a tightness in my chest,i feel a tightness in my chest,i feel a tightness in my chest
15,15,my hair is falling without a reason i can see a lot of hair on my working desk,hair is falling without a reason i can see a lot of hair on my desk,hair is falling without a reason i can see a lot of hair on my desk
16,16,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife while was cooking,i sliced myself deeply with a knife while he was cooking
17,17,i feel cold,i feel cold,i feel cold
18,18,i dont have problems taking in breath but out breath is so heavy,i have problems taking in breath but out breath is so heavy,i have problems taking in breath but out breath is so heavy
19,19,i feel a lot of pain in the joints,i feel a lot of in the joints,i feel a lot of pain in the joints
20,20,my upper back has been sore for a week,my upper back has been sore a week,my upper back has been sore for a week
21,21,sometimes i cough because im a smoker,sometimes i cough because im a smoker,sometimes i cough because im a smoker
22,22,my television and computer seem out of focus even though i have new glasses,my television and computer seem out of focus even i have new glasses,my television and computer seem out of focus even i have new glasses
23,23,my foot hurts me a lot of playing football,foot hurts me a lot playing football,foot pain hurts me a lot playing football
24,24,i have tried to make massage on my foot but they still pain me,i have tried to make massage on my foot but they still pain me,i have tried to make a massage on my foot but they still pain me
25,25,i was playing football and injuried with joint pain,i was playing football injuried with joint pain,i was playing football injuried with joint pain
26,26,my grandmother last year went to hospital because she was having a hard time breathing,last year went to hospital because she was having a hard time breathing,she was having a hard time breathing
27,27,i feel pain in my eyes i can see fog,i feel pain in my eyes i can see fog,i feel pain in my eyes i can see fog
28,28,i feel dizzy and out of sight,i feel dizzy and out of sight,i feel dizzy and out of sight
29,29,my hair is falling when i am combing it,my hair is falling when i am combing it,my hair is falling when i am combing it
