,Unnamed: 0,refs,trans,model_corrected
0,0,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,hello hi um we start ok how good morning sir how can i you this morning,hello sir how can i help you this morning
1,1,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,sorry to hear and and when you say diarrhea by diarrhea you mean youre going to the toilet are your stools more loose,sorry to hear it and when you say diarrhea by diarrhea you mean youre going to the toilet are your stools more loose
2,2,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok fine and you mentioned youve been quite and shaky as well what do mean shaky do you mean youve been having uh feeling feverish for example,ok fine and you mentioned youve been quite dizzy and shaky as well what do mean shaky do you mean dizziness andyouve also been having uh feeling feverish for example
3,3,you measure your temperature then,you measure temperature then,then you measure body temperature then
4,4,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all
5,5,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you vomiting and was your vomit i know its not to talk about but was it just normal food colour and was no your vomit is that right,we know its not easy to talk about but was it just normal food colour and there was no evidence of your vomit is that right
6,6,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,no ok um and any any other symptoms at all so you mentioned tummy pain you mentioned you mentioned vomiting anything else comes to mind,no ok um or any other symptoms at all so you mentioned tummy pain and nausea and vomiting and if anything else comes to mind
7,7,ok,ok,ok
8,8,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so youre drinking fluids um what kind of have you managed to eat if anything,ok so youre drinking fluids um what kind of fluids have you managed to eat if anything
9,9,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms,ok fine um and these days the symptoms are you aware of any triggers which may the symptoms uh to kick on so for example think like takeaway foods eating out or being around other people with symptoms,ok fine um these days the symptoms are more frequent are you aware of any triggers which may cause the underlying symptoms uh to kick on so for example think like takeaway foods eating out or being around other people with symptoms
10,10,ok,ok,ok
11,11,do you remember where you ate,do you remember you ate,do you remember what you ate
12,12,ok anyone else unwell with similar symptoms,ok anyone else unwell with similar symptoms,ok anyone else was unwell with similar symptoms
13,13,ok ok fine um alright and uh in terms of your your overall health are you normally fit and well or uh,ok ok um and uh in of your your overall health are you normally fit and well or,ok ok um in terms of your overall health are you normally fit and well or obese
14,14,ok and is your asthma well controlled,and your asthma well controlled,and your asthma was well controlled
15,15,fine and you dont have any other tummy problem bowel problems i should be aware of,fine and you dont have other problem bowel i should be aware of,fine and you dont have any other problem bowel obstruction i should be aware of
16,16,no ok um and apart from the inhalers do you take any other medications,no ok um and from the do you take any other,no ok um from the first do you take any other medications
17,17,ok fine and in terms of just your day to day life you said its been affecting your life um in what way has it been affecting your life,ok fine and terms of your day to you said its your life um in what way has it been affecting,ok fine and in terms of your day to day you said its your life um in what way has it been affecting you
18,18,ok,ok,ok
19,19,yeah,yeah,yeah
20,20,and have you are you currently working at the moment,have are you currently working at moment,have you or are you currently working at the moment
21,21,ok and how many times a day are you going lets say in the last couple of days,ok and many times a day are you going lets say in the couple of days,ok and many times a day are you going to let me say in the last couple of days
22,22,would would work,would would,would would
23,23,ok have you been going into work the last three days or have you been at home,ok have you been work the last three days or have you been at home,ok have you been at work for the last three days or have they been back at home
24,24,ok that must be difficult for you then,ok that must difficult for you then,ok that must be difficult for you then
