,Unnamed: 0,refs,trans,model_corrected
0,0,hello my names amy kousha im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please ,hello my names kousha of the doctors at you your name and date birth,hello my name is kousha and the doctors at the hospital directed you to confirm your name and date of birth
1,1,my name is bide and my date of birth is first of january of 1990 ,my my birth is first of january of,my birth is the first day of january of this year
2,2,so bide i understand that you went to see your gp with some changes in your bowel habit can you tell me some more about those symptoms ,understand you went see gp some changes in your habit can you me some more,we went to see gp for some changes in your eating habit can you give me some more information
3,3,ive been having loose stools diarrhoea for the past few months and i went to my gp ,ive having loose stools for few months i went to my,after having loose stools for few months i went to my primary care unit
4,4,okay so prior to three months would you say that your bowel habit was normal ,okay so to three your habit normal,one to three months after surgery your habit was normal
5,5,and have you being passing any blood in your bowel motions ,have you being passing blood your bowel motions,have you been passing blood through your bowel during bowel motions
6,6,yeah i do i do get blood in my bowel and my stool and its kind of mixed with the stool ,i i get blood my bowel its stool,i get blood from my bowel and its stool
7,7,and has the blood passage of blood being going on for a few months as well or has that been a more recent change ,passage blood being on as well has been more,passage blood pressure being decreased on admission as well has been reported more frequently
8,8,um that has been happening more recently ,been more recently,it has been reported more recently
9,9,okay and have you noticed any mucus as so that white stringy substance being passed in your stool ,okay noticed any mucus that white being your,okay if you noticed any mucus that was white being removed from your body
10,10,yeah now that you mention it yeah i do i do noticed that ,yeah that you yeah i do,yeah that you know me yeah that i do
11,11,and what about your weight ,and about your weight,and about your weight loss
12,12,so yes it seems like ive lost a little bit of weight simply because my clothes are loosened i havent actually measured it but i people do tell me that ive lost weight ,so seems ive lost little bit of simply because are do me that ive lost,so it seems that ive lost a little bit of weight simply because there are some things that do not make sense to me and that in some ways ives lost weight
13,13,okay and have you noticed any abdominal pain ,okay have you pain,okay have you experienced abdominal pain
14,14,yeah i do get a lot of abdominal cramps stomach cramps and thats been also getting worse recently ,i get abdominal cramps cramps and recently,i get abdominal cramps abdominal pain and recently abdominal distension
15,15,and can you tell me when your abdominal pain is worse ,and tell me when your abdominal is,and tell me when your abdominal pain is worse
16,16,it seems like its worse just before going to the toilet and then once i opened my bowels its better ,it like its worse the toilet once my bowels its better,it seems like its worse in the toilet but once my bowels relax its better
17,17,okay and is it very severe or is it just mild cramping ,okay very or it just cramping,okay it is very painful or it may be just cramping
18,18,i wouldnt say its severe that i have to be bend double but it is not mild it is moderate perhaps ,wouldnt i to bend double is not mild it perhaps,wouldnt i like to bend the double jejunum if pain is not mild it is perhaps fatal
19,19,okay and have have you had any episodes like this before of diarrhoea and blood being passed ,okay and have have you blood,okay and we have to have you blood transfused
20,20,no i think its been all in the past few months before that i had no problems with my bowel motion ,no think its all the that had,no one seems to think its all because of the disease that had been diagnosed
21,21,okay and have you noticed any joint pains ,you joint pains,however you had no joint pains
22,22,maybe some pain in my knees especially my right knee ,especially,especially in rural areas
23,23,but no not anywhere else ,anywhere else,anywhere else
24,24,any rashes or skin changes that youve noticed ,any skin youve noticed,any skin rash youve noticed
25,25,and any problems with nausea or vomiting or swallowing ,and with vomiting or swallowing,patients with nausea vomiting or swallowing were excluded
26,26,okay so i understand that your gp started you on some steroids is that right ,okay i your gp started on some is that,if your gp is started on some therapy it is recommended that he undergo endoscopy
27,27,yeah so thats correct my gp started me on some steroid tablets which made me feel better initially but its not completely back to normal ,thats gp started tablets which made better its back to normal,thats when gp started taking tablets which made its weight back to normal
28,28,okay and do you have any other medical conditions ,okay you have other medical,okay you have other medical problems
29,29,um i suffer from asthma for which id taken inhalers okay nothing else ,i suffer from asthma for id nothing,i suffer from asthma for id but nothing is known
30,30,and do you smoke ,and you,and you
31,31,uh yeah i do ,do,do
32,32,how many do you smoke a day ,how do you a day,how do you feel about a meal a day
33,33,perhaps about 10 a day ,perhaps about 10 a day,perhaps about 10 times a day
34,34,and do you drink alcohol ,and you drink alcohol,and you drink alcohol
35,35,only socially ,socially,socially
36,36,okay and is there any family history that you feel might be important and significant medical problems in your family ,okay and is there history that you might be and significant medical in your,okay and is there a history that suggests that you might be obese and have a significant medical history in your family
37,37,uh my my mom had bowel problems but she died a few years ago of a heart attack ,uh my my bowel problems she a few years ago,uh my wife had my bowel problems she died a few years ago
38,38,okay and any allergies ,okay any,there was no significant difference in any of these parameters
39,39,no i do not have any allergies ,no do not allergies,no patients do not have food allergies
40,40,and are you working at the moment ,and are you working the,how are you working in the emergency department
41,41,yeah i actually work in university ,yeah in university,yeah in university
42,42,okay so do you have any ideas as to what might be the cause of your symptoms at the moment ,okay the cause the,okay the cause of the bleeding is unknown
43,43,not really i dont know what may be happening but whether its even related to my moms condition but i dont know exactly what she had ,not may be happening but whether even related my moms condition i exactly,whether this is even related to my moms condition i dont exactly know
44,44,so its from the history that youve given me it sounds like you might have a condition called inflammatory bowel disease which your gp may have mentioned but in order to diagnose you with this we will need to do some further tests and investigations to confirm that diagnosis ,so its youve given me it sounds like have a condition called inflammatory disease your may to you with this some further tests and to confirm,it sounds like you have a condition called inflammatory bowel disease and your doctor may be able to help you with this with some further tests and to confirm the diagnosis
45,45,so to start rest id like to examine you today and do some basic measurements like blood pressure and heart rate and temperature and i would also like to get some routine blood test and arrange some stool tests as well to send off to the labs does that sound okay to you ,to rest like to and do basic heart would also like some test and arrange stool tests send to the labs sound okay,to rest we would like to do basic heart rate monitoring and would also like some blood test and to arrange stool tests to send to the labs if they sound okay
46,46,yeah could you tell me a little bit more about inflammatory bowel disease is it something that i could be treated and cured off or ,could me a bit more about bowel is it that i be treated off or,could it help me to know a bit more about bowel habits is it possible that i should be treated off or on
47,47,so there are two main types of inflammatory bowel disease both types are chronic which means that you know you will have them lifelong but we can use medications to improve the symptoms and to try and normalise your bowel habit as much as possible ,so there are means that you will lifelong but to improve the symptoms to try and your,there are many means that you will lose lifelong weight but to improve the symptoms it is important to try and maintain your weight loss
48,48,i dont know at the moment which type of inflammatory bowel disease you have whether its ulcerative colitis or crohns disease and thats why well require a colonoscopy which is a camera test it goes up the tail end and we take some photographs on some biopsies to look at the lining of the bowel to try and decide which type of inflammatory bowel disease you have okay does that sound okay to you ,dont at the moment type inflammatory you have whether or and thats why which a goes the end and some photographs some to at the which inflammatory you have okay does that okay to you,at the moment type of inflammatory bowel disease  you have to decide whether or not and thats why which a picture goes to the end and some photographs some to look at at the beginning of the disease which is inflammatory to you and what does that look like okay to others
49,49,okay so ill arrange those those tests for you and then well see you back in clinic in around eight weeks time ,okay so ill arrange for you well see you back clinic around eight time,we so ill arrange for you to see you back to the clinic around eight time
50,50,okay thank you,okay thank you,okay thank you
51,51,hello my name is amy im one of the gastroenterology doctors can i take your name please,name is of the can i your name please,if your name is not part of the description can i call you by your first name please
52,52,sure its ally cotter ,cotter,cotter
53,53,and so youre youve come to the ibd clinic today and you want to tell me what kind of symptoms youve been having ,and so ibd clinic and me of youve,and so the ibd clinic and me department of youve
54,54,um for the last few months probably three months ive been having quite a lot of bloody diarrhoea um and i think ive noticed some weight loss as well ,the last few probably three lot bloody um noticed weight well,in the last few years probably three lot of um patients have noticed weight loss as well
55,55,okay and when youve noticed the blood has it been mixed in with your stool or has it been just wiping or,okay and when youve noticed the blood with your or it wiping or,when youve noticed the blood in the water with your hand or when it is wiping or washing
56,56,mixed in yeah ,mixed yeah,mixed yeah
57,57,yeah okay and how much weight do you think youve lost ,yeah okay and how do think,yeah and how do you think about it
58,58,im not sure probably four or five kilograms as well its also the diarrhoea i also get some pain as well ,probably or five kilograms as well its diarrhoea get some pain as,its diarrhoea may get some pain as well
59,59,okay and is the pain just there when youre moving your bowels or is it there all the time ,okay and is the there when youre moving bowels or it there the,okay and it is not always there when youre moving the bowels or when it’s not there in the stomach
60,60,um no its just kind of cramping comes and goes ,no its just kind comes goes,no its just kind of comes and goes
61,61,okay and hows your appetite been ,okay hows your appetite,hows your appetite
62,62,um not great actually yeah its been reduced ,um not great yeah its,um is not great but yeah its safe
63,63,yeah any problem with swallowing or mouth ulcers or anything like that ,yeah any problem with swallowing or that,yeah we did not have any problem with swallowing or that
64,64,okay and is there any family history of anything ,okay is any family of,okay is not associated with any family history of diabetes
65,65,um my moms dads my grandfather has ulcerative colitis ,um my dads has,um my dads has been diagnosed with amyloidosis
66,66,so i think hes had some problems with his bowels ,so hes had some problems bowels,so hes had some problems with his bowels
67,67,okay and have you ever had bowel problems before this has happened ,and have ever problems this has happened,no patients have ever had any problems with this procedure and none has ever died
68,68,no okay and are you working at the moment or ,and are you the or,however are you managing the pain or discomfort
69,69,um im a student ,um,um
70,70,youre a student okay and i know you havent had any bowel problems in the past have you had any other medical conditions ,student okay and know had any in past have any medical conditions,the student was okay and did not know that she had any previous experience in the past or have any other medical conditions
71,71,um no im just asthmatic ,um im,um im
72,72,and have you noticed any skin changes or joint pains ,have noticed any skin changes or pains,noone have noticed any skin changes or pains
73,73,ive had some rashes on my shins but theyre theyre not itchy or anything they didnt bother me ,ive some on theyre not itchy or anything they didnt bother,ive some on the other hand theyre not itchy or anything they didnt bother
74,74,okay okay and have they sort of come and gone a bit or have they ,they and gone a bit or have,they have been sick and gone a bit or have died
75,75,yeah okay and whats your understanding so far of what investigations youve had ,far of youve,far more than half of the cases were of youve
