,Unnamed: 0,refs,trans,model_corrected
0,0,i have a painful cramp in my feet,i have a in painful cramp in my feet have,i have a painful cramp in my feet
1,1,the pain feels like its right below the skin,the pain feels like its right below the skin,the pain feels like its right below the skin
2,2,i feel suicidal,i feel suicidal,i feel suicidal
3,3,i feel a sharp pain in my ankle joint when i stand,i stand feel a sharp pain in my ankle joint when i stand,i feel a sharp pain in my ankle joint when i stand
4,4,my shoulder hurts me so much,my shoulder shoulder hurts me so much,my shoulder hurts me so much
5,5,i have a hair shortage,i have a i hair shortage,i have a hair shortage
6,6,my left ear is ok but the right one feels like its being stabbed with a nail,my left ear my is ok but the right one feels like its being stabbed with a nail,my left ear is ok but the right one feels like its being stabbed with a nail
7,7,im suffering from sharp cough accompanied by  phlegm,im suffering from sharp cough accompanied by phlegm,im suffering from sharp cough accompanied by phlegm
8,8,i was playing soccer and i twisted my ankle,i was playing soccer and i twisted my ankle,i was playing soccer and i twisted my ankle
9,9,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder its through like lightning is being sent through my shoulder,when i move my shoulder its like lightning is being sent through my arm
10,10,i have pimples in patches along with a lot of redness on my face,i have pimples in patches on along with a lot of redness on my face,i have pimples in patches along with a lot of redness on my face
11,11,when i brush my hair i notice big clumps of hair coming out in the brush,when i brush my hair i notice big big clumps of hair coming out in the brush,when i brush my hair i notice big clumps of hair coming out in the brush
12,12,i cant see the sign i have a blurry vision,i cant see the sign i have a blurry vision,i cant see the sign i have a blurry vision
13,13,my heart hurts when i exercise,my heart hurts when i i exercise,my heart hurts when i exercise
14,14,i feel a tightness in my chest,i feel a tightness in my chest,i feel a tightness in my chest
15,15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is falling without my a reason i can see a lot of hair on my working desk,my hair is falling without a reason i can see a lot of hair on my working desk
16,16,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife while i was cooking
17,17,i feel cold,i feel i cold cold,i feel cold
18,18,i dont have problems taking in breath but out breath is so heavy,i dont have problems taking in breath but out breath is so heavy,i dont have problems taking in breath but out breath is so heavy
19,19,i feel a lot of pain in the joints,i feel a lot of pain in the joints,i feel a lot of pain in the joints
20,20,my upper back has been sore for a week,my upper back has been sore for a week,my upper back has been sore for a week
21,21,sometimes i cough because im a smoker,sometimes i cough because im cough a smoker,sometimes i cough because im a smoker
22,22,my television and computer seem out of focus even though i have new glasses,my television and computer new seem focus out of focus even though i have new glasses,my television and computer seem out of focus even though i have new glasses
23,23,my foot hurts me a lot of playing football,my foot hurts me a lot me of foot playing football,my foot hurts me a lot of playing football
24,24,i have tried to make massage on my foot but they still pain me,i have tried to make massage on make my pain foot but they i still pain me,i have tried to make massage on my foot but they still pain me
25,25,i was playing football and injuried with joint pain,i was playing football and injuried with joint pain,i was playing football and injuried with joint pain
26,26,my grandmother last year went to hospital because she was having a hard time breathing,my grandmother last year was went to hospital because she time was time having a hard time hospital breathing,my grandmother last year went to hospital because she was having a hard time breathing
27,27,i feel pain in my eyes i can see fog,i feel pain in my eyes eyes i can see fog,i feel pain in my eyes i can see fog
28,28,i feel dizzy and out of sight,i i feel dizzy and out of sight,i feel dizzy and out of sight
29,29,my hair is falling when i am combing it,my hair is falling when is i am combing it,my hair is falling when i am combing it
30,30,he was discovered to have an open wound,he was discovered to have an open wound,he was discovered to have an open wound
31,31,the acne was causing me to feel embarrassed,the acne was causing me to feel embarrassed was,the acne was causing me to feel embarrassed
32,32,the pain in my ear is unbearable,the pain in my ear is unbearable,the pain in my ear is unbearable
33,33,i feel a pain in my neck,i i feel a pain in my neck,i feel a pain in my neck
34,34,my chest hurts when i smoke,my chest hurts when i smoke,my chest hurts when i smoke
35,35,i feel like i went to an acupunctures practice and had 100 needles in my shoulder,i feel like i to went to an and acupunctures practice and had 100 needles i in my shoulder,i feel like i went to an acupunctures practice and had 100 needles in my shoulder
36,36,i have a cut that has become red and oozes puss,i have a cut that has become red and oozes puss,i have a cut that has become red and oozes puss
37,37,i cant get a girlfriend because of my acne,i cant get a girlfriend because a of my acne,i cant get a girlfriend because of my acne
38,38,i have a foot ache although i dont walk a lot,i have a foot ache although i dont walk a lot,although i dont walk a lot
39,39,my neck hurts me and i cant stand with this pain,my neck hurts me and i cant stand with this pain,my neck hurts me and i cant stand with this pain
40,40,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problems seeing things feel like a cloud i on my eyes everything is blurry,i am having problems seeing things feel like a cloud on my eyes everything is blurry
41,41,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,i have a break in become the skin inside one of my nostrils that has become infected and is now filled is with that pus my,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus
42,42,chronic bowel pain,chronic bowel pain,chronic bowel pain
43,43,i feel pain in my foot,i feel pain i in my feel foot,i feel pain in my foot
44,44,i have a break in the skin between my thumb and index finger and it will not close,i have a break in the skin between my thumb and index finger and it finger will not close,i have a break in the skin between my thumb and index finger and it will not close
45,45,my stomach aches after i drink any soda drink why,my stomach soda aches after i drink any soda drink why,my stomach aches after i drink any soda drink why
46,46,my knees ache on cold and rainy days,my knees ache on cold and rainy days,my knees ache on cold and rainy days
47,47,my muscle in my shoulder burns when i move my arm,my muscle in my shoulder burns when i move my arm,my muscle in my shoulder burns when i move my arm
48,48,i feel pain inside i do not know what it is,i feel pain inside i do not know not what it is,i feel pain inside i do not know what it is
49,49,i have a feeling like my whole body is complaining,i have a feeling like my whole body is complaining,i have a feeling like my whole body is complaining
50,50,i get terrible headaches every few months and when i get them my vision is affected,i get terrible headaches every vision few months affected and when i get them my vision is affected is,i get terrible headaches every few months and when i get them my vision is affected
51,51,i had a collision while playing soccer  my knee buckled and now its unstable,i had a collision while playing soccer my knee buckled and now its unstable,i had a knee buckled and now its unstable
52,52,this long scar on my left buttock is from falling off my mountain bike,this long scar on my left buttock falling is off from falling off my mountain bike,this long scar on my left buttock is from falling off my mountain bike
53,53,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,i had ears a cold the last time i travelled by plane and i still have a discomfort in discomfort my a ears,i had ears cold the last time i travelled by plane and i still have a discomfort in my ears
54,54,i often get a stomach ache after i eat  i havent been able to pinpoint which foods might be the trigger,i often stomach get a stomach ache after i foods eat i havent been able i to pinpoint which foods might be the trigger,i often get a stomach ache after foods eat i havent been able to pinpoint which foods might be the trigger
55,55,when i get up i feel dizzy and fall down,when i get up i feel dizzy and fall down i,when i get up i feel dizzy and fall down
56,56,my skin is itching,my skin is itching,my skin is itching
57,57,i feel pain in my back,i feel pain in my back pain,i feel pain in my back
58,58,i have a mental suffering,i have a mental suffering have,i have a mental suffering
59,59,i have a dry skin,i have have a dry skin,i have dry skin
60,60,i cant move my leg there is pain in the joint,i cant move the my leg there is pain in the joint,i cant move my leg there is pain in the joint
61,61,my heart hurts me,my heart hurts me,my heart hurts me
62,62,i have a pain in my trapes,i trapes have a pain a in my trapes,i have a pain in my trapes
63,63,i have tried to relief it but i cant,i have tried i to relief it but relief i cant,i have tried to relief it but i cant
64,64,i feel pain in my right shoulder after the tennis match,i feel pain in my right shoulder after the right tennis i match,i feel pain in my right shoulder after the tennis match
65,65,there are some pimples on my face that bother me a lot,there are some pimples on my face bother that bother me a lot,there are some pimples on my face that bother me a lot
66,66,sometimes i feel like a claw on my chest that leaves me breathless,sometimes i feel like like a claw chest on my chest sometimes that my leaves me breathless,sometimes i feel like a claw on my chest that leaves me breathless
67,67,im not good i feel dizzy,im not good i feel dizzy,im not good i feel dizzy
68,68,my shower drain is full of hair every time,my shower drain is full of hair every drain time,my shower drain is full of hair every drain time
69,69,i hve cut my finger because of playing football and i  to apply pain relief cream but it does not help,i hve cut my finger because of playing football and i to hve apply pain relief cream but it does not help,i cut my finger because of playing football and i to apply pain relief cream but it does not help
70,70,i fell a stiffness in my elbows and shoulders,i fell a stiffness in my elbows fell and shoulders,i fell a stiffness in my elbows and shoulders
71,71,my ear ache when im listening to music,my ear ache when im listening to music,my ear ache when im listening to music
72,72,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen
73,73,i have acne in my face and other problema in my derma like itching,i have acne in my face and my other problema in my face derma like itching,i have acne in my face and my other problema in the derma like itching
