,Unnamed: 0,refs,trans,model_corrected
0,0,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,hello yeah hi hello um should we start start yeah ok how hello how um good good morning sir how sir can yeah i um help you this um morning start,hello um should we start ok how um good morning sir how can i help you this morning
1,1,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,sorry to toilet hear whatd that the um and and when you say diarrhea whatd when you mean by whatd diarrhea diarrhea do you mean um youre going to the toilet more that often toilet or are often your sorry stools more diarrhea loose sorry,sorry to hear that um and when you say whatd when mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose
2,2,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok shaky fine you and fine you mean mentioned youve you been feeling feeling example quite ok weak and shaky shaky as shaky well what do you mean do by have shaky by do you mean mean well youve do been feeling having been uh well have for you and been youve feeling have feverish for you example,ok fine and fine mentioned youve been feeling quite weak and shaky as well what do you mean by have shaky do  you  mean well  have been having uh well for you and have feeling feverish for example
3,3,you measure your temperature then,you measure then your then temperature then then,you measure then temperature then
4,4,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok vomiting ok sweats any or other symptoms like sweating or ok um vomiting night other sweats or no and uh any um vomiting at like all symptoms,ok ok any other symptoms like sweating ok um night sweats or no and uh um vomiting at all
5,5,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you nice stopped vomiting ok and colour was your vomit i just know its normal not and a vomiting nice thing to nice talk talk about but was you it in just to normal food colour yeah and there was no blood in nice your vomit a is colour that your right ok,you stopped vomiting and was nice i know its not a nice thing to talk about but was it just normal food colour and there was no blood in your vomit is that right
6,6,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,no any ok that um um and mentioned um any you any other symptoms symptoms at all you so you mentioned tummy tummy pain you um mentioned diarrhea you other mentioned tummy your vomiting vomiting uh anything mentioned else that um comes to your mind,no ok um and um any other symptoms at all so you mentioned tummy pain  um diarrhea   and mentioned your vomiting  or anything else that comes to your mind 
7,7,ok,ok,ok
8,8,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so eat youre if drinking fluids um have what youre kind of foods foods youre have fluids you managed to eat if managed anything have,ok so if drinking um what kind of foods have fluids you managed to eat if anything
9,9,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms,ok fine to um triggers and uh sir these may started three started days ago aware the have symptoms are foods you aware other of any other triggers kick which three may have have caused the symptoms uh to the kick on so you for around example think like takeaway other foods uh or eating people out triggers or three being around foods other um people with similar or symptoms,ok fine um and sir these started three days ago the symptoms are you aware of any other triggers which may have caused the uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms
10,10,ok,ok,ok
