,Unnamed: 0,refs,trans,model_corrected
0,0,hello my names amy kousha im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please ,hello primeaux my names amy kousha im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please,hello my names amy im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please
1,1,my name is bide and my date of birth is first of january of 1990 ,my name is bide beside and my date of birth is ms. first merced of january of 1990,my name is bide beside and my date of birth is first of january of 1990
2,2,so bide i understand that you went to see your gp with some changes in your bowel habit can you tell me some more about those symptoms ,so bide i understand that you went to see your gp with some changes in your bowel kowall habit can you tell shirrell me some more about those symptoms,so i understand that you went to see your gp with some changes in your bowel habit can you tell me some more about those symptoms
3,3,ive been having loose stools diarrhoea for the past few months and i went to my gp ,ive been eskin having loose yous stools diarrhoea for the past few months and i went to thew my untie gp,ive been having loose stools diarrhoea for the past few months and i went to my gp
4,4,okay so prior to three months would you say that your bowel habit was normal ,okay so prior to three months month's would you say that your lore bowel habit was normal,okay so prior to three months would you say that your bowel habit was normal
5,5,and have you being passing any blood in your bowel motions ,and have you being passing any blood in your espectador bowel motions,and have you passing any blood in your bowel motions
6,6,yeah i do i do get blood in my bowel and my stool and its kind of mixed with the stool ,yeah i do i do get blood in my bowel and my stool and its kind of mixed with the stool,yeah i do get blood in my bowel and my stool and its kind of mixed with the stool
7,7,and has the blood passage of blood being going on for a few months as well or has that been a more recent change ,and has the blood passage of blood budd being going on for a few months as well or has that been a more recent change,and has the blood passage of blood being going on for a few months as well or has that been a more recent change
8,8,um that has been happening more recently ,um that has been happening more recently,um that has been happening more recently
9,9,okay and have you noticed any mucus as so that white stringy substance being passed in your stool ,okay and have you noticed any mucus as so that white slight stringy substance being passed in your stool,okay and have you noticed any mucus as so that white slight stringy substance being passed in your stool
10,10,yeah now that you mention it yeah i do i do noticed that ,yeah now that you mention it yeah pah i sly do overdo i do noticed that,yeah now that you mention it yeah i do i noticed that
11,11,and what about your weight ,and what about your weight,and what about weight
12,12,so yes it seems like ive lost a little bit of weight simply because my clothes are loosened i havent actually measured it but i people do tell me that ive lost weight ,so yes it savitt seems like ive lost a little bit of weight simply because my clothes oaths are ulaanbaatar loosened i havent actually measured it but i people do tell me that brat ive lost weight,so yes it seems like ive lost a little bit of weight simply because my clothes are loosened i havent actually measured it but i people do tell me that ives lost weight
13,13,okay and have you noticed any abdominal pain ,okay and have you noticed any abdominal phenomenal pain,okay and have you noticed any abdominal pain
14,14,yeah i do get a lot of abdominal cramps stomach cramps and thats been also getting worse recently ,yeah i do get pichette a lot slot of abdominal cramps stomach cramps and thats been also getting worse recently,yeah i do get a lot of abdominal cramps stomach cramp and thats been also getting worse recently
15,15,and can you tell me when your abdominal pain is worse ,and can you tell me when your abdominal pain is worse,and can you tell me when your abdominal pain is worse
16,16,it seems like its worse just before going to the toilet and then once i opened my bowels its better ,it seems like its worse curse just encrust before going to the toilet and then schwenn once i opened my bowels its better vetter,it seems like its worse just before going to the toilet and then once i opened my bowels its better
17,17,okay and is it very severe or is it just mild cramping ,okay and is it very merrie severe or is it just mild cramping,okay and is it very severe or is  it just mild cramping
