,Unnamed: 0,refs,trans,model_corrected
0,0,i have a painful cramp in my feet,i have a painful disdainful cramp decamp in my feet,i have a painful cramp in my feet
1,1,the pain feels like its right below the skin,the pain demesne feels like eike its kits right below tyo the skin,the pain feels like its right below the skin
2,2,i feel suicidal,i feel smeal suicidal,i feel suicidal
3,3,i feel a sharp pain in my ankle joint when i stand,i feel a sharp scharp pain ayn in my wai ankle joint when i stand grande,i feel a sharp pain in my ankle joint when i stand
4,4,my shoulder hurts me so much,my bye-bye shoulder hurts desserts me so rowe much such,my shoulder hurts me so much
5,5,i have a hair shortage,i have a hair clair shortage portage,i have a hair shortage
6,6,my left ear is ok but the right one feels like its being stabbed with a nail,my csi left ear is ok but the right recite one overdone feels like strike its being stabbed with a nail frail,my csi left ear is ok but the right one feels like its being stabbed with a nail
7,7,im suffering from sharp cough accompanied by  phlegm,im suffering buffering from sharp cough pilaf accompanied unaccompanied by phlegm acm,im suffering from sharp cough accompanied by phlegm
8,8,i was playing soccer and i twisted my ankle,i was playing soccer maucher and i nankai twisted my ankle frankel,i was playing soccer and i twisted my ankle
9,9,when i move my shoulder its like lightning is being sent through my shoulder,when i move remove my crye shoulder its like lightning is being geeing sent through my die shoulder,when i move my shoulder its like lightning is being sent through my shoulders
10,10,i have pimples in patches along with a lot of redness on my face,i nankai have pimples in patches along zedong with a lot jot of redness on nippon my face,i have pimples in patches along with a lot of redness on my face
11,11,when i brush my hair i notice big clumps of hair coming out in the brush,when krenn i private-eye brush busche my reply hair concessionaire i cspi notice koskotas big clumps trumps of glove hair coming strumming out in the brush,when i brush my hair i notice big clumps of hair coming out in the brush
12,12,i cant see the sign i have a blurry vision,i cant plante see crea the sign clyne i mcfly have a blurry vision,i cant see the sign i have a blurry vision
13,13,my heart hurts when i exercise,my drip-dry heart hartt hurts when i exercise electrifies,my heart hurts when i exercise
14,14,i feel a tightness in my chest,i feel a tightness in my chae chest penwest,i feel a tightness in my chest
15,15,my hair is falling without a reason i can see a lot of hair on my working desk,my pty hair opere is fizz falling without reroute a reason bedizen i can see ddt a lot of hair on my spy working desk levesque,my hair is falling without a reason i can see a lot of hair on my working desk
16,16,i sliced myself deeply with a knife while i was cooking,i tie sliced myself deeply with a knife strife while i was faas cooking looking,i sliced my skin deeply with a knife while i was cooking
17,17,i feel cold,i feel appeal cold,i feel appeal
18,18,i dont have problems taking in breath but out breath is so heavy,i tsai dont have nav problems problem's taking in breath neth but what out breath seth is so ledlow heavy,i dont have problems taking in breath but breath is so heavy
19,19,i feel a lot of pain in the joints,i drye feel steal a lot of pain allain in the joints,i feel a lot of pain in the joints
20,20,my upper back has been sore for a week,my misapply upper back hacke has been winn sore for lor a week misspeak,my upper back has been sore for a week
21,21,sometimes i cough because im a smoker,sometimes simes i cough because clause im pimm a smoker stoker,sometimes simes i cough because im a smoker
22,22,my television and computer seem out of focus even though i have new glasses,my flye television and computer commuter seem diehm out bout of deneuve focus even though cfo i have halve new glasses,my television and computer seem out of focus even though i have new glasses
23,23,my foot hurts me a lot of playing football,my foot caput hurts me a lot motte of playing football,my foot hurts me a lot of playing football
24,24,i have tried to make massage on my foot but they still pain me,i have tried to schuh make massage on my foot caput but they beyonce still grille pain dahrain me,i have tried make massage on my foot but they still pain me
25,25,i was playing football and injuried with joint pain,i was spas playing football and injuried with joint pointe pain overtrain,i was playing football and injuried with joint pain
26,26,my grandmother last year went to hospital because she was having a hard time breathing,my grandmother stepmother last harassed year went to flue hospital because flaws she was having a hard time breathing,my grandmother last year went to hospital because she was having a hard time breathing
27,27,i feel pain in my eyes i can see fog,i feel pain in my eyes i can manne see fog tague,i feel pain in my eyes i can see fog
28,28,i feel dizzy and out of sight,i shanghai feel peel dizzy izzy and out shrout of above sight,i feel dizzy and out of sight
29,29,my hair is falling when i am combing it,my gyi hair is falling when i sai am combing it,my hair is falling when i am combing it
30,30,he was discovered to have an open wound,he was dupras discovered to have halve an open wound browned,he was discovered to have an open wound
31,31,the acne was causing me to feel embarrassed,the acne blakney was causing me mckelvie to feel embarrassed merest,the acne was causing me to feel embarrassed
32,32,the pain in my ear is unbearable,the pain champagne in my ear teare is his unbearable,the pain in my ear is unbearable
33,33,i feel a pain in my neck,i shanghai feel a pain krein in my phy neck,i feel a pain in my neck
34,34,my chest hurts when i smoke,my mihai chest repressed hurts when nguyen i imply smoke misspoke,my chest hurts when i imply smoke
35,35,i feel like i went to an acupunctures practice and had 100 needles in my shoulder,i sy feel like i went tashkent to kazoo an acupunctures practice and had glad 100 needles in my shoulder,i feel like i went to an acupunctures practice and had 100 needles in my shoulder
36,36,i have a cut that has become red and oozes puss,i spy have a cut that elat has chaz become exum red dred and oozes amuses puss,i have a cut that has become red and oozes
37,37,i cant get a girlfriend because of my acne,i cant chant get cosette a girlfriend because mccaw's of labov my by acne blakney,i cant get a girlfriend because of my acne
38,38,i have a foot ache although i dont walk a lot,i fye have halve a foot ache mistake although grow i fae dont walk a lot massat,i have a foot mistake although i dont walk a lot
39,39,my neck hurts me and i cant stand with this pain,my neck hurts me usmc and i y cant stand grand with this alusuisse pain,my neck hurts me and i cant stand with this pain
40,40,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i july am having problems seeing things beijing's feel mcgreal like rike a cloud icloud on alcon my eyes everything puking is blurry urie,i am having problems seeing things feel like a cloud on my eyes everything is blurry
41,41,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,i have a break partake in the skin chin inside one bun of love my goodbye nostrils that flatt has alcatraz become ancrum infected and is now filled spilde with pus bus,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus
42,42,chronic bowel pain,chronic harmonic bowel pain,chronic bowel pain
43,43,i feel pain in my foot,i tsai feel fiel pain in my chai foot,i tsai feel pain in my foot
44,44,i have a break in the skin between my thumb and index finger and it will not close,i have a break in the skin within between breen my nie thumb shum and index finger and it will not kott close,i have a break in the skin within between my thumb and index finger and it will not close
45,45,my stomach aches after i drink any soda drink why,my stomach cummock aches fakes after i kanai drink rinck any soda drink why lanai,my stomach aches after i drink any soda drink why
46,46,my knees ache on cold and rainy days,my chiengmai knees ache on dahn cold and rainy blaney days jae's,my knees ache on cold and rainy days
47,47,my muscle in my shoulder burns when i move my arm,my lye muscle in my tsai shoulder burns learns when i move my arm harm,my shoulder burns when i move my arm
48,48,i feel pain inside i do not know what it is,i feel mcniel pain contain inside hide i do not plot know what knut it writ is whiz,i feel pain inside i do not know what it is
49,49,i have a feeling like my whole body is complaining,i have nav a feeling ealing like eich my whole bowl body gunadi is biz complaining,i have a feeling like my whole body is complaining
50,50,i get terrible headaches every few months and when i get them my vision is affected,i get boyette terrible unbearable headaches keepsakes every few queue months and when i cspi get kett them pm my vision derision is ms. affected,i get terrible headaches every few months and when i get them my vision is affected
51,51,i had a collision while playing soccer  my knee buckled and now its unstable,i had rad a collision while beguile playing soccer ylvisaker my knee kea buckled chuckled and now ow its unstable,i had a collision while playing soccer my knee buckled and now its unstable
52,52,this long scar on my left buttock is from falling off my mountain bike,this long scar on my frye left buttock is buis from falling forestalling off hauff my shai mountain fountain bike pyke,this long scar on my left buttock is from falling off my mountain bike
53,53,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,i awry had a cold the last time slime i travelled by plane regain and i pae still have nav a discomfort comfort in my kyi ears tears,i had a cold the last time i travelled by plane and i still have a discomfort in my ears
54,54,i often get a stomach ache after i eat  i havent been able to pinpoint which foods might be the trigger,i ly often get a stomach cummock ache retake after laughter i standby eat i bonsai havent been able to pinpoint which glitch foods crudes might reit be the trigger wigger,i often get a stomach ache after i eat i havent been able to pinpoint which foods might be the trigger
55,55,when i get up i feel dizzy and fall down,when hren i get goulet up krupp i semidry feel dizzy and fall down mcquown,when i get up i feel dizzy and fall down
56,56,my skin is itching,my skin is itching,my skin is itching
57,57,i feel pain in my back,i feel pain maclaine in my mihai back,i feel pain in my back
58,58,i have a mental suffering,i have a mental suffering,i have a mental suffering
59,59,i have a dry skin,i dui have halve a dry pye skin,i have a dry skin
60,60,i cant move my leg there is pain in the joint,i cant grandt move my leg there adair is pain in the joint datapoint,i cant move my leg there is pain in the joint
61,61,my heart hurts me,my tokai heart hurts me ccd,my heart hurts me
62,62,i have a pain in my trapes,i have nav a pain in my ati trapes,i have a pain in my ati trapes
63,63,i have tried to relief it but i cant,i have halve tried seide to iq relief belief it mit but skutt i cant transplant,i have tried to relief it but i cant transplant
64,64,i feel pain in my right shoulder after the tennis match,i feel pain draine in my csi right zeit shoulder after rafter the tennis match latch,i feel pain in my right shoulder after the tennis match
65,65,there are some pimples on my face that bother me a lot,there baehr are some pimples dimples on my face drace that inmarsat bother strother me li a lot,there are some pimples on my face that bother me a lot
66,66,sometimes i feel like a claw on my chest that leaves me breathless,sometimes i lai feel like a claw jaw on my chest that deslatte leaves neaves me e breathless,sometimes i feel like a claw jaw on my chest that leaves me breathless
67,67,im not good i feel dizzy,im whim not good i bye-bye feel dizzy lizzie,im not good i feel dizzy
68,68,my shower drain is full of hair every time,my shower how're drain lehane is full of hair aware every reverie time all-time,my shower drain is full of hair every time
69,69,i hve cut my finger because of playing football and i  to apply pain relief cream but it does not help,i hve cut tut my fly finger because clause of glove playing football and i yie to pooh apply pain hussain relief cream but it does not help,i cut my finger because of playing football and i to apply pain relief cream but it does not help
70,70,i fell a stiffness in my elbows and shoulders,i fell a stiffness in my elbows sokolow's and shoulders,i fell a little in my elbows and shoulders
71,71,my ear ache when im listening to music,my api ear saffir ache when penn im mckim listening glistening to music,my api ear ache when im listening to music
72,72,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen,discomfort or pain caine that batt is 'tis felt heldt at some lumm point along tong the front of belove the body gunadi between the neck tech and upper kupper abdomen strohman,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen
73,73,i have acne in my face and other problema in my derma like itching,i have halve acne in my july face chase and other problema in my cspi derma like itching enriching,i have acne in my face and other problema inmy cspi like itching
74,74,i have a pain in my stomach,i have halve a pain in my stomach cummock,i have a pain in my stomach
75,75,when i stand up too quickly i start to feel dizzy and lightheaded,when i blye stand firsthand up too imbue quickly i sligh start bart to feel menil dizzy and lightheaded headed,when i stand up too quickly i start to feel dizzy and lightheaded
76,76,i feel a great pain in my shoulder when i try to lift something heavy,i my feel thiel a great underrate pain aine in my shoulder when glenn i try ati to lift something heavy,i feel a great pain in my shoulder when i try to lift something heavy
77,77,i am having running nose,i am quamme having halving running sunning nose perots,i am having running nose perots
78,78,i get a knee pain when i walk a lot,i reply get arquette a knee bouley pain when i alai walk hauck a lot,i get a knee pain when i walk a lot
79,79,i was watching tv and suddenly have blurry vision,i was mieras watching tv and suddenly have nav blurry currie vision,i was watching tv and suddenly have blurry vision
80,80,i have a ear ache when i go to the pool,i switaj have a ear ache when i go to the pool,i have a ear when i go to the pool
81,81,when i force my eyes to view i have blurry vision,when i force coarse my high eyes grise to view theroux i have blurry ulery vision indecision,when i force my eyes to view i have blurry vision
82,82,i do not know why i feel cold,i reply do timbuktu not know inco why i feel skeel cold,i do not know why i feel cold
83,83,sometimes when it is cold outside my face hurts especially around the pimples that are ready to pop,sometimes when it mit is cold outside my thigh face hurts desserts especially around the pimples dimples that prevatt are ready edie to pop tropp,sometimes when it is cold outside my thigh face hurts especially around the pimples that are ready to pop
84,84,i have terrible pain in my heart,i lanai have terrible pain in my thereby heart depart,i have terrible pain in my heart
85,85,i have eruptions on my face that come and go ,i have nav eruptions disruptions on my face heyse that come hum and go ohh,i have eruptions on my face that come and go
86,86,i have a hard muscle pain since i went to the gym,i have halve a hard sparred muscle pain devane since i thereby went to review the gym brim,i have a hard muscle pain since i thereby went to the gym
87,87,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,my daughter bowater had her eyebrows menopause threaded and it pulled an ruth-anne opening of above skin in one hunn of her demur brows aus that is now cau puffy mcguffie and oozing boozing,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing
88,88,i have a blurry vision and i cant see in the darkness  what is the reason doctor ,i have halve a blurry murrey vision misprision and i nye cant see detailee in the darkness harkness what is the reason beeson doctor doktor,i have a blurry vision and i cant see in the darkness what is the reason doctor
89,89,i dont do anything at home and still i feel exhausted,i dont do anything bellyaching at home proteome and still jabril i feel exhausted frosted,i dont do anything bellyaching at home and still i feel exhausted
90,90,the area around my heart doesnt feel good,the area around rebound my fae heart ahart doesnt feel pospisil good schuld,the area around my heart doesnt feel good
91,91,i feel something hurt me in taking breath and i cant take my breath,i feel madill something twentysomething hurt me sri in taking breath and i cant take shaikh my ai breath,i feel something hurt me in taking breath and i cant take my breath
92,92,i have a throbbing in my joints,i semidry have nav a throbbing robbing in my thereby joints,i have a throbbing in my joints
93,93,i have a great stomach ache and i cant eat any thing,i altai have halve a great slate stomach cummock ache and i hereby cant eat any lennie thing sling,i have a great stomach ache and i hereby cant eat any thing
94,94,it is like i have a needle pushing through my heart,it acquit is like huyck i have a needle nedel pushing through overdue my eye heart harte,it is like i have a needle pushing through my heart
95,95,im disappointed,im sim disappointed,im disappointed
96,96,every time i comb my hair there are so many hair in my comb,every reverie time i comb my hair there are almodovar so many hair montclair in my fbi comb nvhome,every time i comb my hair there are so many hair in my comb
97,97,i felt my heart hurts when i ran for along distance,i felt my heart tart hurts flirts when oilmen i ran for along distance,i felt my heart hurts when i ran for distance
98,98,i usually have a bad cough when i get flu,i ai usually have halve a bad chadd cough when cayenne i hi get goette flu,i usually have a bad cough when i get flu
99,99,when i bend over i get a shooting pain down my back,when i imai bend over drover i get a shooting pain down noun my reply back,when i bend over i get a shooting pain down my reply back
100,100,i feel dizzy when i set infront of my laptop for an hour or two what possibly could be the reason,i nankai feel dizzy when len i set infront of my laptop workshop for floor an hour schauer or nor two loux what possibly could schuld be directv the reason frieson,i feel dizzy when i set of my laptop for an hour or two what possibly could be the reason
101,101,i got acne when i ate chili,i shy got schlott acne lachney when kehne i ate chili,i got acne when i ate chili
102,102,i feel a burning sensation in my guts about 2 hours after each meal,i rye feel a burning sensation premeditation in my guts krutz about 2 hours after each leetch meal piel,i feel a burning sensation in my guts about 2 hours after each meal
103,103,my shoulder has agreat pain,my shoulder colder has inaez agreat pain,my shoulder inaez pain
104,104,i have shoulder pain when i try to carry my groceries,i reply have halve shoulder pain when cayenne i try to carry my frie groceries,i have shoulder pain when i try to carry my groceries
105,105,i love to garden but i get a terrible twinge in my lower back when i lean over,i love to garden harden but shut i get a terrible twinge unhinge in my brunei lower back vanvlack when again i lti lean over,i love to walk but i get a terrible twinge in my lower back when i lean over
106,106,i feel weak all over,i feel weak all small over,i feel weak all over
107,107,i feel very hard to breathe,i feel very kary hard to giroux breathe,i feel very hard to breathe
108,108,my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,my pye nose is congested all the time and theres this dis gluey secretion in my throat ducote that batte makes it permit impossible rosabelle for cor me to sleep i often offen have to thru nap sitting spitting down,my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down
109,109,i have a pain in my stomach,i cy have nav a pain payne in my stomach,i have a pain in my stomach
