,Unnamed: 0,refs,trans,model_corrected
0,0,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,hello Hawaii um should we start yeah ok hello how sir um good morning sir how can i you this morning,hello hai um should we start yeah ok hello sir um good morning sir how can i greet you this morning
1,1,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,sorry to hear that um and and when you say diarrhea whatd diarrhea you mean by diarrhea do you mean youre going to the toilet more often or more loose,sorry to hear that um and when you say diarrhea whatd do you mean youre going to the toilet more often or more loose
2,2,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do we mean you've been having uh and have you been experiencing feverish symptoms for example
3,3,you measure your temperature then,you measure your temperature then,you measure your temperature then
4,4,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok ok any other symptoms like sweating night or um night night sweats um no and uh any vomiting at all,ok ok any other symptoms like sweating night or um night sweats no and uh any vomiting at all
5,5,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you stopped vomiting ok and was your vomit i know information_technology not a nice thing to talk about but was it a just normal food colour yeah and there was no blood in vomit is that right,you stopped vomiting ok and was your vomit i know it not a nice thing to talk about but was it just normal food colour yeah and there was no blood in the vomit is that right
6,6,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,no ok um and um any any other symptoms at all so you mentioned tummy pain you you mentioned diarrhea you mentioned your vomiting anything else that comes to mind,no ok um and um any any other symptoms at all so you mentioned tummy pain you  mentioned diarrhea vomiting or any else that comes to mind
7,7,ok,ok,ok
8,8,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so youre drinking fluids um foods what what kind of foods have you managed eat if anything,ok so youre drinking fluids um what kind of foods have you managed to eat if anything
9,9,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms,ok fine um and sir these started three sidereal_day ago the symptoms are you aware of any triggers which may have caused caused the symptoms uh symptoms to kick on so for example think like foods or eating out or being around other people with similar symptoms,ok fine um and sir these started three years ago the symptoms are you aware of any triggers which may have caused the uh symptoms to kick on so for example think like foods or eating out or being around other people with similar symptoms
10,10,ok,ok,ok
11,11,do you remember where you ate,perform you remember where remember ate,perform you remember where you ate
12,12,ok anyone else unwell with similar symptoms,ok anyone else unwell unwell with symptoms,ok anyone else unwell with symptoms
13,13,ok ok fine um alright and uh in terms of your your overall health are you normally fit and well or uh,very_well ok fine um alright and uh in terms of your your overall health are you normally fit and or uh,very ok fine um alright and uh in terms of your overall health are you normally fit and healthy or uh
14,14,ok and is your asthma well controlled,ok and is your well controlled,ok and is your well controlled
15,15,fine and you dont have any other tummy problem bowel problems i should be aware of,finely and you dont have any other tummy problem bowel problems i be aware of,finely and you dont have any other tummy problem bowel problems i should be aware of
16,16,no ok um and apart from the inhalers do you take any other medications,no ok um and apart apart from the the inhalers do you take any other medicine,no ok um and apart from the inhalers do you take any other medicine
17,17,ok fine and in terms of just your day to day life you said its been affecting your life um in what way has it been affecting your life,ok fine and in terms of equitable your day to day life you said been its been affecting your life in what way has affecting your life,ok fine and in terms of equitable your day to day life you said its been affecting your life in what way has it been adversely affecting the quality of life
18,18,ok,ok,ok
19,19,yeah,yeah,yeah
20,20,and have you are you currently working at the moment,and have you are you you currently working at the moment,and have you are you currently working at the moment
21,21,ok and how many times a day are you going lets say in the last couple of days,ok and how many times a day are you going lets say in the last couple of,ok and how many times a day are you going lets say in the last couple of years
22,22,would would work,would would work,would would work
23,23,ok have you been going into work the last three days or have you been at home,ok have you been going into work the last three work days or have you been at home,ok have you been going into work the last three work days or have they been at home
24,24,ok that must be difficult for you then,ok that must be for you then,ok that must be for you then
