,Unnamed: 0,refs,trans,model_corrected
0,0,i have a painful cramp in my feet,I have a painful painful cramp my foot,I have a painful cramp of my foot
1,1,the pain feels like its right below the skin,the pain feels like right its its right skin,the pain feels like its origin on its right skin
2,2,i feel suicidal,one feel suicidal,one felt suicidal
3,3,i feel a sharp pain in my ankle joint when i stand,i feel A sharp pain in pain my my ankle my joint,i experienced a sharp pain in my ankle and my joint
4,4,my shoulder hurts me so much,my shoulder hurts me much,my shoulder hurts too much
5,5,i have a hair shortage,i have a hair shortage,i have a hair shortage
6,6,my left ear is ok but the right one feels like its being stabbed with a nail,my left ear be ok but the the right one one feels like its being with A nail,the right ear is ok but the right one feels like its being punctured with a nail
7,7,im suffering from sharp cough accompanied by  phlegm,im distress from from sharp cough accompanied by phlegm,im distress from sharp cough accompanied by phlegm
8,8,i was playing soccer and i twisted my ankle,i be playing soccer soccer and soccer i i twisted ankle,i was playing soccer and i twisted my ankle
9,9,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder lightning its like like lightning lightning through my shoulder,when i move my shoulder its like lightning going through my right shoulder
10,10,i have pimples in patches along with a lot of redness on my face,i have pimple in patches along patches with a a of on my face,i have pimple in patches along with a lot of red on my face
11,11,when i brush my hair i notice big clumps of hair coming out in the brush,when one brush my hair i i notice big notice clumps of notice hair out brush,when one brush my hair i noticed big clumps of hair sticking out of the brush
12,12,i cant see the sign i have a blurry vision,one cant see the sign i i i have a blurry sight,one cant see the sign i have a blurry sight
13,13,my heart hurts when i exercise,my heart hurts when when exercise,my heart hurts when walking when exercise
14,14,i feel a tightness in my chest,i feel a a tightness my breast,i felt a tightness in my breast
15,15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair constitute falling without vitamin_A reason a i can see lot a lot hair on my,as a reason a i can see a lot of hair on my scalp
16,16,i sliced myself deeply with a knife while i was cooking,iodine slice myself deeply with with a i Washington cook,iodine slices myself deeply with a i was cooked
17,17,i feel cold,i feel cold,i felt cold
18,18,i dont have problems taking in breath but out breath is so heavy,I dont induce problem taking but in but breath but breath is so heavy,I dont induce problem taking in breath but my chest is so heavy
19,19,i feel a lot of pain in the joints,i feel ampere lot of of pain lot joints,i feel a lot of pain in joints
20,20,my upper back has been sore for a week,my upper back has been been sore for,my upper back has been sore for over a decade
21,21,sometimes i cough because im a smoker,sometimes i cough because because cough a smoker,sometimes i cough because of a smoker
22,22,my television and computer seem out of focus even though i have new glasses,my television_receiver and computer seem of out of focus even have new glasses,my television and computer seem of out of focus even when they have new glasses
23,23,my foot hurts me a lot of playing football,my infantry suffering me a a lot me of,my infantry suffering a lot reminds me of my childhood
24,24,i have tried to make massage on my foot but they still pain me,i have try to make massage on my they still pain me,i have tried making massage on my hands but they still pain me
25,25,i was playing football and injuried with joint pain,I be playing football injuried and injuried joint pain,I was playing football and had joint pain
26,26,my grandmother last year went to hospital because she was having a hard time breathing,my grandma last year went to hospital hospital because hospital she she was breathing,my grandma last year went to hospital because she was not breathing
27,27,i feel pain in my eyes i can see fog,one feel pain in my my eyes my can fog,one felt pain in my eyes and my nose can fog
28,28,i feel dizzy and out of sight,one feel dizzy and dizzy of sight,one felt dizzy and out of sight
29,29,my hair is falling when i am combing it,my hair be falling when i i combing it,my hair was falling when i was combing it
30,30,he was discovered to have an open wound,he be discovered to have open wound,he was discovered to have open wound
31,31,the acne was causing me to feel embarrassed,the acne was causing causing was me to feel abashed,the acne was causing me to feel nauseous
32,32,the pain in my ear is unbearable,the pain in in my my ear unbearable,the pain in my ear was unbearable
33,33,i feel a pain in my neck,i feel a pain pain in my neck,i experienced a pain in my neck
34,34,my chest hurts when i smoke,my breast hurts hurts when smoke,my breast hurts when smoking
35,35,i feel like i went to an acupunctures practice and had 100 needles in my shoulder,i feel wish i proceed to to an acupunctures practice acupunctures and had 100 in my shoulder,i felt wish to proceed to an acupunctures practice and had nearly 100 cm in my shoulder
36,36,i have a cut that has become red and oozes puss,I suffer ampere cut that has that become red and oozes kitty,I have a cut that has become red and oozes kitties
37,37,i cant get a girlfriend because of my acne,I cant scram a because girlfriend a because girlfriend of my acne,I cant scram because a girlfriend complained of my acne
38,38,i have a foot ache although i dont walk a lot,i take a foot ache ache foot although foot walk a Lot,i had a foot ache  although foot walk a lot 
39,39,my neck hurts me and i cant stand with this pain,my neck hurts me and and i me with this pain,my neck hurts and i am presented with this pain
40,40,i am having problems seeing things feel like a cloud on my eyes everything is blurry,one embody have problems seeing things feel feel like cloud a a cloud is bleary,one is having problems seeing things feel like a cloud and the other is feeling bleary
41,41,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,I suffer a break in the bark inside one of of has my of nostrils one that nostrils has is filled plutonium,I have a break in the bark inside one of my nostrils that has been filled with plutonium
42,42,chronic bowel pain,chronic bowel pain,chronic small bowel pain
43,43,i feel pain in my foot,I feel pain in in in my,I feel pain in my left knee
44,44,i have a break in the skin between my thumb and index finger and it will not close,i have ampere break in the skin thumb between thumb my and thumb between and index my will,i had a break in the skin between my thumb and index finger and my will
45,45,my stomach aches after i drink any soda drink why,my stomach aches after drink i drink drink after any why,my stomach aches after drink i drink any reason
46,46,my knees ache on cold and rainy days,my knee ache on on cold showery days,my knee ache on cold showery days
47,47,my muscle in my shoulder burns when i move my arm,my muscle inch my shoulder shoulder burns i move my arm,my muscle in my shoulder burns i moved my arm
48,48,i feel pain inside i do not know what it is,I feel pain inside i i inside do not know information_technology exist,I feel pain inside i do not know it exists
49,49,i have a feeling like my whole body is complaining,iodine have deoxyadenosine_monophosphate feeling my like my body complain,iodine had a feeling like my body complained
50,50,i get terrible headaches every few months and when i get them my vision is affected,iodine pay_back terrible headache every few months and when i get them vision is affected,iodine causes terrible headaches every few months and when i get them vision is often affected
51,51,i had a collision while playing soccer  my knee buckled and now its unstable,one had a collision while playing while soccer my while knee buckled now information_technology unstable,one had a fall while playing while my knee buckled and now it is unstable
52,52,this long scar on my left buttock is from falling off my mountain bike,this long scar on my left left buttock is my falling off my mountain bike,this long scar on my left buttock is my falling off my mountain bike
53,53,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,one had vitamin_A cold the last time i and travelled and by and plane and time have discomfort my ear,one had a cold the last time i and travelled by plane and did not have discomfort in my ear
