,Unnamed: 0,refs,trans,model_corrected
0,0,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,hello hi um should we start yeah ok hello how um good dawn Sir how can one help you this morning,hello hi um should we start yeah ok hello how um good morning sir how can one help you this morning
1,1,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do youmean youre going to the toilet more often or are your stools more loose
2,2,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok fine and you mentioned youve been feeling quite weak and shaky adenine well what do you mean by shaky do you mean youve been having uh have you be feeling feverish for example,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by weak do  you have been having uh have you been experiencing feverish for example
3,3,you measure your temperature then,you measure your temperature then,you measure your temperature then
4,4,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok ok any other symptoms like sweating or um night sweats no and uh any vomit at wholly,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all
5,5,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you check vomiting ok and be your vomit i know its not a nice thing to lecture approximately but was it just normal food color yeah and there was no blood in your vomit is that right,you checked vomiting ok and was your vomiting some but was it just normal food color yeah and there was no blood in your vomit is that right
6,6,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,nobelium ok um and um any any other symptom astatine wholly so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,so any any other symptoms at all so you mentioned tummy pain  you described diarrhoea  they mentioned vomiting  uh any else that comes to mind
7,7,ok,ok,ok
8,8,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so youre drink fluids um what kind of foods have you managed to eat if anything,ok so youre drinking fluids um what kind of foods have you managed to eat if anything
9,9,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms,ok all_right um and sir these begin trey days ago the symptoms be you aware of any triggers which may have cause the symptoms uh to kick_back on so for example think like takeaway foods or eating out or be around other people with similar symptoms,ok all um and sir these began three days ago the symptoms were you aware of any triggers which may have caused the symptom uh to reemerge on so for example eating foods or eating out or being around other people with similar symptoms
