,refs,trans,model_corrected
0,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,aglow hi bum should we start yeah ok hello how um good morning sir how can y help you this corning,oh hi bum should we start yeah ok hello how um good morning sir how can y help you this morning
1,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,sorry to  that um and Leptoglossus when you say anamaria whatd you by anamaria do you mean youre going to the  more offen or are your stools  tatty loose,sorry to say that um and whatd you by diarrhea do you mean youre going to the toilet more often or are your stools too loose
2,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,a. fine and you mentioned youve been feeling quite baek and shaky as well what do you mean by aikey millwork do you mean youve been having  have you been feeling feverish for example,as you mentioned youve been feeling quite weak and shaky as well what do you mean by aikey do they mean you have been having fever or have you been experiencing feverish for example
3,you measure your temperature then,you measure your temperature then,you measure your temperature then
4,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok a. any other symptoms bike sweating cor um night sweats and uh Tammerfors vomiting at all,ok a. any other symptoms like sweating or um night sweats and uh vomiting at all
5,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you stopped vomiting ok and was your vomit i aglo its  a sweeper nice bring to about but was it bust unforfeitable normal food colour pah and there ahs embarrassing no budde in your vomit ms that right,although your vomit i aglo its not a nice thing to bring to about but was it a normal food colour and there was no blood inyour vomit is that right
6,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,no ok um and um beni any other symptoms at all au you mentioned pain ado lentisk anamaria salamandriform you mentioned your vomiting uh  pizzeria else that comes to mind,no ok um and um any other symptoms at all no you mentioned pain ado lentisk anamaria salamandriform yamand you did mentioned your vomiting uh or else that comes to mind
7,ok,a.,a
8,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so youre drinking fluids um what kind of  have you managed if anything,ok so youre drinking fluids um what kind of fluids have you managed if anything
9,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms,ok fine um and bir these charted three days ago the symptoms are you aware of  chiggers  may have caused the ca GIGO do insolence kick bon so cor Carnegie example think  takeaway or eating out or geeing around other seiple  similar symptoms,ok fine um and if these symptoms started three days ago the symptoms are you aware of them or may have caused the ca to kick on so for example think about takeaway or eating out or being around other people with similar symptoms
10,ok,ok,ok
11,do you remember where you ate,do ado remember where you ate,do you remember where you ate
12,ok anyone else unwell with similar symptoms,ok MP else unwell similar symptoms,ok no one else had similar symptoms
13,ok ok fine um alright and uh in terms of your your overall health are you normally fit and well or uh,ok ok fine bum alright and uh in terms of your your overall health  ischium ado formally fit and well cor uh,ok ok fine bum alright and uh in terms of your your overall health you are very fit and well for uh
14,ok and is your asthma well controlled,ok is your asthma well,ok is your asthma well tolerated
15,fine and you dont have any other tummy problem bowel problems i should be aware of,fine and you dont have any tummy problem bowel problems i should be abair gov,fine and you dont have any tummy problem bowel problems i should be aware of
16,no ok um and apart from the inhalers do you take any other medications, ok um and apart from the inhalers do you take any other medications, ok um and apart from the inhalers do you take any other medications
17,ok fine and in terms of just your day to day life you said its been affecting your life um in what way has it been affecting your life,ok fine and in terms of just abor day do bluetick day life you said its adin defecting unctuous abor life um in what has been affecting your life,ok fine and in terms of just one day to day life you said its been more life um in what has been affecting your life
18,ok,,
19,yeah,yeah,yeah
20,and have you are you currently working at the moment,and have you are you currently working at the moment,and have you are you currently working at the moment
21,ok and how many times a day are you going lets say in the last couple of days,ok and how  unselfconsciousness times a day are you going bets say in the last couple of days,ok and how many times a day are you going to say in the last couple of days
22,would would work,would would work,it would work
23,ok have you been going into work the last three days or have you been at home,ok have you been going into work the last three days or have you been at home,ok have you been going into work the last three days or have they been at home
24,ok that must be difficult for you then,ok that must be difficult for then,ok that must be difficult for then
25,fine and you said you mentioned you live with your wife and two children is that right,fine and ado said  bruising contentioned ado live with your  Jackson and two children ms that right,fine and who said you live with your wife and two children is that right
26,right alright um just a couple of other question we need to ask sir um do you smoke at all,right alright um just a couple of other question we need to ask sir um  ado smoke at all,right alright um just a couple of other question we need to ask sir um if you smoke at all
27,and do you drink much in the way of alcohol,and do you much the way of alcohol,and to you much in the way of alcohol
28,ok so um er normally at this stage i like to um examine you if thats ok but um um but but having listened to your story sir i think uh um just to recap for the last three days youve been having loose stool diarrhea a bit of tummy pain uh mainly on the left hand side um and vomiting and fever and youre quite weak and lethargic um you mentioned you had this chinese takeaway as little as three days ago and i wondered whether that might be the cause of your problems,ok au bum er normally at this i like do daily um yamin you if thats ok but um but but to your story sir  think uh um  former to recap cor merge the last three days been having loose stool diarrhea a bit of tummy pain uh mainly on the left hand um and vomiting and fever and youre bight weak and lethargic Ogalala you contentioned indistinctly you had this adorees takeaway as baz three  manticora and i wondered  digital might ab engage the cause of abor problems,ok so if you like to eat daily um yamin you if thats ok but um but but to your story sir i think uh um is the former to recap for the last three days been having loose stool diarrhea a bit of tummy pain uh mainly on the left hand um and vomiting and fever and youre very weak and lethargic you complained indistinctly you had this disease as well as three others and i wondered if digital might be the cause of more problems
29,um it seems like you may have something uh called gastroenteritis which essentially just a tummy bug or infection of your uh of your tummy,um it  like you aaa have something uh called gastroenteritis which essentially just a tummy bug cor infection of your ca cease gov  tummy,um it sounds like you may have something uh called gastroenteritis which essentially just a tummy bug or infection of your ca because of a stomachmy
30,uh mainly caused by viruses but there can be a possibility of bacteria uh causing its symptoms um,uh ainley caused ai viruses but can be a agonizingly gist of uh causing its symptoms um,uh ainley caused by viruses but can be a major gist of uh causing its symptoms um
31,at this stage uh what what wed recommend is just what we say conservative management so um i dont think you need anything like antibiotics its really just um making sure youre well hydrated so drinking fluids,at biss solubility stage uh abut what wed recommend ms just what ab Fowler  conservative management so um y dont think   anything like  its really just um making  licenser youre well hydrated drinking fluids,thus uh what wed recommend is just what we recommend conservative management so um y dont think you need to do anything like that its really just um making sure youre well hydrated drinking fluids
