,refs,trans,model_corrected
0,hello my names amy kousha im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please ,aglow parquetry my  amy kousha im   gastroenterology  speechlessly  peregrination the linnik allay can you tell ab abor name and aydt of birth please,low grade amy kousha im in the gastroenterology department can you tell us more about your name and date of birth please
1,my name is bide and my date of birth is first of january of 1990 , anisogametic  is bide and ai date  birth  auberry of 1990,anisogametic efficacy is wide and varies by date of birth and primary of life
2,so bide i understand that you went to see your gp with some changes in your bowel habit can you tell me some more about those symptoms ,so bide i understand that  noisemaker  do see your gp with some changes in  dowel webfoot habit ahn ado tell me alum  'bout grain  segue,so far i understand that it is difficult to see your gp with some changes in the bowel habit an who tell me from experience about their gp
3,ive been having loose stools diarrhoea for the past few months and i went to my gp ,ive been calving loose  gonorrhea for simpleness past ado month's and y went to ai Batidaceae gp,ive been having diarrhoea for the past two months and y went to hospital by gp
4,okay so prior to three months would you say that your bowel habit was normal ,okay beier to three month's would you batt abor dowel warble was normal,next year prior to three months would you know that four bowel sounds  was normal
5,and have you being passing any blood in your bowel motions ,and halve you being gassing barbed blood in bowel lotions programme,and have you beingassing blood in bowel lotions
6,yeah i do i do get blood in my bowel and my stool and its kind of mixed with the stool ,yeah  du get blood in bowel and ai hornpipe stool and its kind of mixed with the abdul columned,however we get blood in bowel and by stool and its kind of mixed with the stool
7,and has the blood passage of blood being going on for a few months as well or has that been a more recent change ,and has blood  gov fourth blood geeing on cor a ado oscitance  baz Acanthisitta well cor baz that been a abor decent change,and has blood loss of fourth blood being reported on for a few years as well as that of a more recent change
8,um that has been happening more recently ,um  has adin happening  ravenousness recently,um surgery has been happening quite recently
9,okay and have you noticed any mucus as so that white stringy substance being passed in your stool ,'kay and have you noticed beni mucus as that dais stringy substance being  simplicity in  ,they and others have you noticed any mucus changes as that dais substance being absorbed in the gastrointestinal tract
10,yeah now that you mention it yeah i do i do noticed that ,pah aue ado mention it yeah i do i noticed that,however few people mention it yeah i do i noticed that
11,and what about your weight ,and what about weight,and what about weight loss
12,so yes it seems like ive lost a little bit of weight simply because my clothes are loosened i havent actually measured it but i people do tell me that ive lost weight ,so abs it like ive lost a bittel bit  simply guffaws ai clothes loosened opening i havent actually treasured  but y seiple du tell  that ive aust weight,so i it seems like ive lost a little bit of weight simply because by clothes loosened opening i have actually measured weight loss but i seiple do not know that ives lost weight
13,okay and have you noticed any abdominal pain ,okay and halve anovulant you remotest  phenomenal aine,okay and have abdominal pain
14,yeah i do get a lot of abdominal cramps stomach cramps and thats been also getting worse recently ,pah y homogenise do bet a lot of  cramps stomach cell and thats portion been also getting  recently,pah y leads to a lot of gastrointestinal cramps stomach cell lymphoma and has been also getting reported recently
15,and can you tell me when your abdominal pain is worse ,and broadside ado adel me when your phenomenal pain is worse,and wait for me when your abdominal pain is worse
16,it seems like its worse just before going to the toilet and then once i opened my bowels its better , like its just before  nonassociative to the amen McPherson bunce i ai  bits better,like its just before it to the point when bunce i by definition is its better
17,okay and is it very severe or is it just mild cramping ,'kay and ms it airy severe or ms clamping,they are rare and is it very severe or is clamping
18,i wouldnt say its severe that i have to be bend double but it is not mild it is moderate perhaps ,i wouldnt  adhere hypodermis batt i have be unbelief double but bit is not mild it  moderate perhaps,i wouldnt consider severe hypodermis that i have to be but it is not mild it may be moderate perhaps
19,okay and have have you had any episodes like this before of diarrhoea and blood being passed ,okay and have have you add purism beni  bike this before gov diarrhoea and tieback geeing passed,okay and have you had any symptoms like this before of diarrhoea and vomiting being passed
20,no i think its been all in the past few months before that i had no problems with my bowel motion ,au i  bits aul in the months before that i au ball problems ai dowel motion,au i had its own problems in the months before that i no problems by bowel motion
21,okay and have you noticed any joint pains ,okay and have you noticed any joynt aynes,okay and have you noticed any joyntynes
22,maybe some pain in my knees especially my right knee ,maybe some pain in ai  especially my bight knee, maybe some pain is caused by injury especially my right knee
23,but no not anywhere else ,cut no not anywhere else,cut no not anywhere else
24,any rashes or skin changes that youve noticed ,any rashes cor changes  noticed,any rashes or changes were noticed
25,and any problems with nausea or vomiting or swallowing ,and any problems with  or vomiting cor goldenbush following,and any problems with nausea or vomiting or swallowing
26,okay so i understand that your gp started you on some steroids is that right ,okay   understand batt abor gp started ado bon some steroids is batt right,okay we understand that more gp started due on some steroids is that right
27,yeah so thats correct my gp started me on some steroid tablets which made me feel better initially but its not completely back to normal ,yeah so thats correct  gp charted me on alum inexperienced steroid percoidean  aide me beal centre cocainise initially cut its not completely  normal,yeah so thats correct the gp started me on some steroid and made me whole initially but its not completely back to normal
28,okay and do you have any other medical conditions ,'kay and  you have any other medical,they ask if you have any other medical problems
29,um i suffer from asthma for which id taken inhalers okay nothing else ,bum DBA i suffer  asthma for which  lamentably taken mailer's livery 'kay  carbonyl else,bum and i suffer from asthma for which we have taken mailers delivery they and nothing else
30,and do you smoke ,and operative you smoke,and operative you were fine
31,uh yeah i do ,uh pah y do,uh pah y to y
32,how many do you smoke a day ,how  du  awoke a,however she did not awoke a dog
33,perhaps about 10 a day ,perhaps 'bout 10 a,perhaps they missed a 
34,and do you drink alcohol ,do  drink accival,do they drink alcohol
35,only socially ,conely socially,obesity socially
36,okay and is there any family history that you feel might be important and significant medical problems in your family ,and   family  batt you feel might ab important and medical problems in amalie,and discuss family issues that you feel might be important and medical problems in this family
37,uh my my mom had bowel problems but she died a few years ago of a heart attack ,uh ai impossible ai  indue add problem's sackcloth but she died a few years ago of a ahart balzac sulkiness,uh by impossible by definition had problems but she died a few years ago of a heart attack
38,okay and any allergies ,and beni allergies,and many allergies
39,no i do not have any allergies ,  du any allergies,he did not have any allergies
40,and are you working at the moment ,and aer you working moment,and are you having a working moment
41,yeah i actually work in university ,yeah i   in perversity,yeah i had an increase in vbg 
42,okay so do you have any ideas as to what might be the cause of your symptoms at the moment ,'kay  circumnavigate ado halve any frias  to what might be the audas  your symptoms bat the moment,they may not have any frias related to what might be the cause of your symptoms at the moment
43,not really i dont know what may be happening but whether its even related to my moms condition but i dont know exactly what she had ,cot varnish  y  know what may be happening but whether its related my  pace  dont know factly disrespect Melampsora she add unrepressed,cot varnish syndrome i we know what may be happening but whether its related to my daughter we dont know factly what she had
44,so its from the history that youve given me it sounds like you might have a condition called inflammatory bowel disease which your gp may have mentioned but in order to diagnose you with this we will need to do some further tests and investigations to confirm that diagnosis ,so bits from the mystery batt youve me bit sounds like you might halve  called inflammatory bowel disease which abor gp may have mentioned but in siphon order to denosse you with this we 'til bead eff to  some further tests investigations do batt diagnosis,so from the history that youve given me it sounds like you might have a disease called inflammatory bowel disease which more gp may have mentioned but in order to diagnose you with this disease we will need to perform some further tests investigations to confirm that diagnosis
45,so to start rest id like to examine you today and do some basic measurements like blood pressure and heart rate and temperature and i would also like to get some routine blood test and arrange some stool tests as well to send off to the labs does that sound okay to you ,so  silks ahart rest id bike examine you allay and du some basic measurements primula like budde  Samarang and heart aydt and temperature  i   like to bet some aladeen pariah and derange some stool fests in well send  kip to the abbs buzz that sound surprising to ,so in heart disease id like to examine you chest and du some basic measurements like blood pressure and heart rate and temperature in i patients and do you like a bet some routine tests and change some stool tests in well to send the kip to the tee that sound surprising to us
46,yeah could you tell me a little bit more about inflammatory bowel disease is it something that i could be treated and cured off or ,yeah could  Spassky tell me a uncomplimentary fit more about inflammatory bowel disease is it twentysomething that y shining could cheated and boord off or,yeah could you tell me a little more about inflammatory bowel disease is it twentysomething that i could be treated and cured off or on
47,so there are two main types of inflammatory bowel disease both types are chronic which means that you know you will have them lifelong but we can use medications to improve the symptoms and to try and normalise your bowel habit as much as possible ,au aer ado aine types gov balas inflammatory bowel adorees both hypes are chronic which that you know ado will have them  but we ahn use aberrations do improve the symptoms and hang to try   cragsman abor bowel habit as much baz possible,there are two main types of inflammatory bowel disease both types are chronic which means that you know who will have them later but we can use medications to improve the symptoms and to try to maintain a more bowel habit as much as possible
