,refs,trans,model_corrected
0,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,hello hi um before we stop yeah ok hello um good morning sir how can i help you this morning,refine the sentence: hello hi um before we stop yeah ok hello um good morning sir how can i help you this morning to: 
1,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,yeah im sorry to hear that um uh and and when you say diarrhea what do you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,refine the sentence: yeah im sorry to hear that um uh and and when you say diarrhea what do you mean by diarrhea do they mean youre going to the toilet more often or are your stools more loose to: 
2,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok all right and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,refine the sentence: ok all right and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do they mean you've been having uh have you been felt feverish for example to: 
3,you measure your temperature then,you measure your temperature then,refine the sentence: you measure your temperature then to: 
4,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,refine the sentence: ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all to: 
5,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you stopped vomiting ok and was your vomit i know its not nice things to talk about but was it just normal food color yeah and there was no blood in your vomit is that right,refine the sentence: you stopped vomiting ok and was your vomit i know its not nice things to talk about but was it just normal food color yeah and there was no blood in your vomiting is that right to: 
6,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned the vomiting uh anything else that comes to mind,refine the sentence: no ok um and um any any other symptoms at all so you mentioned tummy pain you had diarrhea you said the vomiting uh anything else that comes to mind to: 
7,ok,ok,refine the sentence: ok to: 
8,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so youre drinking fluids um what kind of foods have you managed to eat anything,refine the sentence: ok so youre drinking fluids um what kind of foods have you managed to eat anything to: 
9,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms,ok fine um and so uh uh this started three days ago the symptoms are you aware of any triggers which may have caused your symptoms to uh to kick on so for example things like takeaway food or eating out or being around other people with similar symptoms,refine the sentence: ok fine um and so uh uh this started three days ago the symptoms are you aware of any triggers which may have caused your symptoms to uh to kick on so for example things like takeaway food or eating out or being around other people with similar symptoms of: 
10,ok,thank you,refine the sentence: thank you to: 
11,do you remember where you ate,do you remember what you ate,refine the sentence: do you remember what you ate to: 
12,ok anyone else unwell with similar symptoms,ok anyone else unwell with similar symptoms,refine the sentence: ok anyone else unwell with similar symptoms to: 
13,ok ok fine um alright and uh in terms of your your overall health are you normally fit and well or uh,ok ok fine um right and uh in terms of your your overall health are you normally fitting well or uh,refine the sentence: ok ok fine um right and uh in terms of your your overall health are you normally fitting well or uh to: 
14,ok and is your asthma well controlled,ok and is your asthma well controlled,refine the sentence: ok and is your asthma well controlled to: 
15,fine and you dont have any other tummy problem bowel problems i should be aware of,fine and you dont have any other tummy problem bowel problems i should be aware of,refine the sentence: fine and you dont have any other tummy problem bowel problems i should be aware of to: 
16,no ok um and apart from the inhalers do you take any other medications,no ok um and apart from the inhalers do you take any other medications,refine the sentence: no ok um and apart from the inhalers do you take any other medications to: 
17,ok fine and in terms of just your day to day life you said its been affecting your life um in what way has it been affecting your life,ok fine and in terms of just your your day to day life you said its been affecting your life um in what way has it been affecting your life,refine the sentence: ok fine and in terms of just your your day to day life you said its been affecting your life um in what way has it been affected yourlife to: 
18,ok,ok,refine the sentence: ok to: 
19,yeah,yeah,refine the sentence: yeah to: 
20,and have you are you currently working at the moment,and have you are you currently working at the moment uh,refine the sentence: and have you are you currently working at the moment uh to: 
21,ok and how many times a day are you going lets say in the last couple of days,ok and how many times a day are you going lets say in the last couple of days,refine the sentence: ok and how many times a day are you going lets say in the last couple of days to: 
22,would would work,to work,refine the sentence: to work to: 
23,ok have you been going into work the last three days or have you been at home,ok have you been going to work the last three days or youve been at home,refine the sentence: ok have you been going to work the last three days or youve been at home to: 
24,ok that must be difficult for you then,ok that must be difficult for you then,refine the sentence: ok that must be difficult for you then to: 
