,refs,trans,model_corrected
0,when i stand up too quickly i start to feel dizzy and lightheaded,when i stand up too quickly i start to feel dizzy and lightheaded,when i stand up too quickly i start to feel dizzy and lightheaded
1,i feel dizzy whenever i stand up,i feel dizzy whenever i stand up,i feel dizzy whenever i stand up
2,when i stand up too quickly i feel as though im going to faint,when i stand up too quickly i feel as though im going to faint,when i stand up too quickly i feel as though im going to faint
3,i feel a boneonbone pain in my knees when i climb stairs,i feel a bone on bone pain in my knees when i climb stairs, i feel a bone on bone pain in my knees when i climb stairs
4,i cannot get warm no matter how much i wrap up or how high i put the heating on,i cannot get warm no matter how much i wrap up or how high i put the heating on,i cannot get warm no matter how much i wrap up or how high i put the heating on
5,i think theres something wrong with my wound it does not seem to heal like it should,i think there is something wrong with my wound it does not seem to heal like it should, i think there is something wrong with my wound but it does not seem to heal like it should
6,my foot hurts and i cant turn it  maybe its broken,my foot hurts and i cant turn it maybe its broken,my foot hurts and i cant turn it maybe its broken
7,is my cut infected or just healing,it might get in fact or just healing,it might get in fact useful or just healing
8,i was very active in sports but now my body is feeling pain,i was very active in sports but now my body is feeling pain,i was very active in sports but now my body is feeling pain
9,i cant hear out of my ear properly i feel like there is something in it causing irritation,i cant hear out of my ear properly i feel like there is something in it causing irritation,although i cant hear out of my ear properly i feel like there is something in it causing irritation
10,i have front head pain and when i get it the light bothers me,i have front head pain and when i get it the light bothers me, i have front head pain and when i get it the light bothers me
11,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better
12,i cut myself and im bleeding,i cut myself and i am bleeding,i cut myself and i am bleeding
13,when i eat too much sugar my body gets weak and dizzy,when i do my sugar my body gets weak and dizzy,when i do my sugar intake my body gets weak and dizzy
14,my head hurts and i lose the sensation in my face then lose sight in my eye,my head hurts and i lose sensation in my face i lose sight in my eye,my head hurts and i lose sensation in my face and  i regain sight in the eye
15,even if the temperature is high in the house  my body is always cold,even if the temperature is high in the house my body is always cold,even if the temperature is high in the house my body is always cold
16,i broke my ankle while doing rock climbing in the carpathians,i broke my ankle while doing rock climbing in car at the end,i broke my ankle while doing rock climbing in a car at the end
17,i have a sharp pain in my lower stomach,i have a sharp pain in my lower stomach, i have a sharp pain in my lower stomach
18,i cant turn my neck to the left without feeling a stabbing pain,i cant turn my neck to the left without feeling a stabbing pain, i cant turn my neck to the left without feeling a stabbing pain
19,my hair is falling out in bunches,my hair is falling out in bunches,my hair is falling out in bunches
20,i have some terrible problems when im breathing during the night,i have some terrible problems when im breathing during the night,i have some terrible problems when im breathing during the night
21,my heart feels like its going to explode,my heart feels like its going to explode,my heart feels like its going to explode
22,it feels like my heart is going to leap out of my body it hurts,it feels like my heart is going to leap out of my body it hurts,it feels like my heart is going to leap out of my body and it hurts
23,im having a hard time hearing,i am having a hard time hearing,i am having a hard time hearing
24,my body feels weak after my first day in the gym why,my body feels weak after my first day in the gym why,my body feels weak after my first day in the gym why
25,after walking i have some pain under my foot,after walking i had some pain under my foot,after walking i had some pain under my foot
26,when i eat sugar i notice my vision blurs,when i had sugar i noticed my vision blurred,when i had sugar i noticed my vision blurred
27,there is a tingling sensation in my neck,there is a tingling sensation in my neck,there is a tingling sensation in my neck
28,my sore isnt healing well and its been like this for two weeks,my sore isnt healing well and its been like this for two weeks,my sore isnt healing well and its been like this for two weeks
29,there is pain in my joints i can not bear pain,there is pain in my joints i cannot be a pain,there is pain in my joints but i cannot be a pain
30,my skin is itchy and inflamed,my skin is itchy and inflamed,my skin is itchy and inflamed
