,refs,trans,model_corrected
0,never,never,i feel pain in my shoulder when i try to lift five pounds
1,and was there anything you were doing recently which you think may have contributed to it have you have you been doing lots of exercise been dehydrated um been having regular sexual intercourse or anything,and was there anything you were doing recently which you think may have contributed to it have you been have you been doing lots of exercise been dehydrated um been having regular sexual intercourse or anything,i feel a sharp pain in my stomach
2,no ok and any any other symptoms any vaginal discharge or anything like that,no ok and any any other symptoms any vaginal discharge or anything like that,i have a sharp pain in my stomach
3,no do you have regular periods,ok do you have regular periods,i have a sharp pain in my stomach
4,ok,ok,i feel pain in my back
5,um and in the past have you had any medical problems at all,um and uh in the past have you had any medical problems at all,i feel pain in my head when i think too hard
6,have you had any problems with your kidneys or any urine infections,have you had any problems with your kidneys or any urine infections,i have a headache every time i eat ice cream
7,ok,ok,i have a dull ache in my stomach
8,and hows that been recently any change in your bowel habit any blood when you pass stool,and how has that been recently any change in your bowel habit any blood when you pass stool,i have a sharp pain in my stomach
9,in your ok um any change in your bowel habit any weight loss or anything,in your ok um any change in your bowel habit any weight loss or anything,i have a sharp pain in my stomach
10,ok are you in a private place so you can have a consultation today,ok are you in a private place so you can have a consultation today,i have a dull ache in my stomach
11,any other medical problems or surgery in the past,any other medical problems or surgery in the past,i cant move my head up and down
12,do you take regular medications,do you take regular medications,i have a sharp pain in my stomach
13,pardon no birth,pardon no bye,i have a sharp pain in my stomach
14,do you take that regularly,do you take that regularly,i have a sharp pain in my stomach
15,ok and it do you take it three times a day,ok and it do you take it three times a day,i feel pain in my head with vertigo
16,two hundred milligrams,200 mg,i have a dull ache in my stomach
17,any allergies,any allergies,i have a dull ache in my stomach
18,any allergies,any allergies,i feel a great amount of pressure of my head
19,youre allergic to clindamycin ok,youre allergic to clindamycin ok,i have a sharp pain in my stomach
20,and anyone in your family had any medical problems,and anyone in your family had any medical problems,i feel a sharp pain in my stomach after eating
21,ok what can i do for you,ok what can i do for you,i feel pain in my neck after waking up
22,thats fine and whereabouts do you live do you live with friends family,thats fine and whereabouts do you live do you live with friends family,i feel pain in my knee when i climb stairs
23,ok and where do you work whats your job,ok and where do you work whats your job,i have a sharp pain in my stomach
24,ok do you drink alcohol at all,ok do you drink alcohol at all,i feel a great amount of pressure of my head
25,so how much in a average week,so how much in an average week,i feel pain in my neck after waking up
26,ok and do you smoke,ok do you smoke,my body feels weak although i take my vitamins regularly
27,ok um it sounds very much like you might have an infection in your urine did you say you havent felt feverish,ok um it sounds very much like you might have an infection in your urine did you say you havent felt feverish,i feel a great amount of pressure of my head
28,have you got a thermometer at home,have you got a thermometer at home,i have a dull ache in my stomach
29,ok it would be helpful if you could get a thermometer from the pharmacy and do check your temperature just to make sure that it isnt going up and down,ok it would be helpful if you could get a thermometer from the pharmacy and do check your temperature just to make sure that it isnt going up and down,i have a dull ache in my stomach
30,um normally we can treat this infection without having to test your urine uh with with a course of antibiotics,um normally we can treat this infection without having to test your urine uh with with a course of antibiotics,i have a sharp pain in my stomach
31,um how do you feel about that are you happy to take a course of antibiotics,um how would you feel about that are you happy to take a course of antibiotics,i have a sharp pain in my stomach
32,ok and how long has that been going on for,ok and how long has that been going on for,i feel pain in my neck after waking up
33,it would just be for three days,it would just be for three days,i have a headache every time i eat ice cream
34,um,um,i have a sharp pain in my stomach
35,yes so i can send a prescription through to your requested pharmacy for that if you take them as soon as you can get them pick them up as soon as you can and start taking them,yes so i can send a prescription through to your requested pharmacy for that if you take them as soon as you can get them pick them up as soon as you can and start taking them,i have a dull ache in my stomach
36,the other thing which is important to do is to drink lots of water so two and a half to three litres a day,the other thing which is important to do is to drink lots of water so 25 to 3 liters a day,i have a sharp pain in my stomach
