,refs,trans,model_corrected
0,when i stand up too quickly i start to feel dizzy and lightheaded,when i stand up too quickly i start to feel dizzy and lightheaded,i have a sharp pain in my stomach
1,i feel dizzy whenever i stand up,i feel dizzy whenever i stand up,i have a sharp pain in my stomach
2,when i stand up too quickly i feel as though im going to faint,when i stand up too quickly i feel as though im going to faint,i feel pain in my stomach after eating
3,i feel a boneonbone pain in my knees when i climb stairs,i feel a bone on bone pain in my knees when i climb stairs,i have a sharp pain in my stomach
4,i cannot get warm no matter how much i wrap up or how high i put the heating on,i cannot get warm no matter how much i wrap up or how high i put the heating on,i have a sharp pain in my stomach
5,i think theres something wrong with my wound it does not seem to heal like it should,i think there is something wrong with my wound it does not seem to heal like it should,i have a break in the skin inside one of my nostrils that has become infected
6,my foot hurts and i cant turn it  maybe its broken,my foot hurts and i cant turn it maybe its broken,i have a break in the skin between my thumb and index finger and it will not close
7,is my cut infected or just healing,it might get in fact or just healing,i feel pain in my head with vertigo
8,i was very active in sports but now my body is feeling pain,i was very active in sports but now my body is feeling pain,i feel a sharp pain in my stomach after eating
9,i cant hear out of my ear properly i feel like there is something in it causing irritation,i cant hear out of my ear properly i feel like there is something in it causing irritation,i feel a sharp pain in my stomach after eating
10,i have front head pain and when i get it the light bothers me,i have front head pain and when i get it the light bothers me,i feel pain in my neck after waking up
11,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better,i feel pain in my neck after waking up
12,i cut myself and im bleeding,i cut myself and i am bleeding,i feel a great amount of pressure of my head
13,when i eat too much sugar my body gets weak and dizzy,when i do my sugar my body gets weak and dizzy,i feel a great amount of pressure of my head
14,my head hurts and i lose the sensation in my face then lose sight in my eye,my head hurts and i lose sensation in my face i lose sight in my eye,i have a sharp pain in my stomach
15,even if the temperature is high in the house  my body is always cold,even if the temperature is high in the house my body is always cold,i feel pain in my knee when i climb stairs
16,i broke my ankle while doing rock climbing in the carpathians,i broke my ankle while doing rock climbing in car at the end,i feel pain in my knee when i climb stairs
17,i have a sharp pain in my lower stomach,i have a sharp pain in my lower stomach,i feel a sharp pain in my stomach
18,i cant turn my neck to the left without feeling a stabbing pain,i cant turn my neck to the left without feeling a stabbing pain,i have a dull ache in my stomach
19,my hair is falling out in bunches,my hair is falling out in bunches,i have a sharp pain in my stomach
20,i have some terrible problems when im breathing during the night,i have some terrible problems when im breathing during the night,i have a sharp pain in my stomach
21,my heart feels like its going to explode,my heart feels like its going to explode,i have a pain in my stomach
22,it feels like my heart is going to leap out of my body it hurts,it feels like my heart is going to leap out of my body it hurts,i have a pain in my back
23,im having a hard time hearing,i am having a hard time hearing,i feel a great amount of pressure of my head
24,my body feels weak after my first day in the gym why,my body feels weak after my first day in the gym why,i have an ear ache when showering
25,after walking i have some pain under my foot,after walking i had some pain under my foot,i have a sharp pain in my stomach
26,when i eat sugar i notice my vision blurs,when i had sugar i noticed my vision blurred,i have a sharp pain in my stomach
27,there is a tingling sensation in my neck,there is a tingling sensation in my neck,i have a cut that is red and swollen
28,my sore isnt healing well and its been like this for two weeks,my sore isnt healing well and its been like this for two weeks,i feel pain in my neck after waking up
29,there is pain in my joints i can not bear pain,there is pain in my joints i cannot be a pain,i have a sharp pain in my stomach
30,my skin is itchy and inflamed,my skin is itchy and inflamed,i feel a sharp pain in my stomach after eating
31,i had a cut that was stitched together but it is not healing  it is oozing green puss and burns,i had a cut that was stitched together but it is not healing it is bruising green pus and burns,i have a sharp pain in my stomach
32,i feel a great amount of pressure of my head,i feel a great amount of pressure of my head,i feel a sharp pain in my stomach after eating
33,my stomach feels full and upset  and bloating after big meals,my stomach feels full and upset and blotting after big meals,i have a sharp pain in my stomach
34,my heart is beating fast and it scares me,my heart is beating fast and it scares me,i have a sharp pain in my stomach
35,i have a dull ache in my stomach  it gets worse after i eat,i have a dull ache in my stomach it gets worse after i eat,i feel pain in my knee when i climb stairs
36,my right shoulder clicks when i move my arm,my right when i move my eye,i feel pain in my knee when i climb stairs
37,i think my wound is infected,i think my,i have a dull ache in my stomach
38,i feel great pain in the head,i feel great pain in the hip,i have a sharp pain in my stomach
39,my wound opened up again,my older one,i have a dull ache in my head
40,i am worried how cold intolerant i am i am always shivering even out in the sun,i dont know how,my shoulder hurts when i try to reach up
41,when i stand i feel dizzy i do not know why,when i stand i feel dizzy i do not know,i have a pain in my stomach
42,i hit the ground when trying to shoot a basketball,i hate the ground when trying to se the room,i have a blurry vision after my head was hit yesterday
43,my son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected,my son and nick is not with the become pain,i feel pain in my head when i think too hard
44,i feel fluid trying to come up when i cough,and she was going to,i cant move my leg there is pain in the joint
45,i have dark spots on my skin,i have that spot on my skin,i have a sharp pain in my stomach
46,my back hurts me a lot,my back hurts me a lot,i feel pain in the knee when walking
47,there is a sharp pain in my bicep,there is a heart,i have a pain in my stomach i cannot eat or sleep
48,there is a constant tickle in my throat,cardio and,i feel pain in my head when i think too hard
49,i can hardly breathe,i can hardly breath,i have a sharp pain in my stomach
50,i have a problem in my back i cannot extend it,i have a problem in my that i can,i have an ear ache when showering
51,i cant move my shoulder because of pain,i should have,i have a sharp pain in my stomach
52,my skin color on my back is red i dont know why,my skin color on my bag is there i dont know,i have a sharp pain in my stomach
53,my hair is falling out in huge amount,my head is doctor,i have a blurry vision after my head was hit yesterday
54,my muscles feel tired,when you touch,i feel a sharp pain in my stomach after eating
55,my head is spinning when i get up,my head is saying,i have a split on my thumb that will not heal
56,laceration rupture or opening in the skin,yeah depression a lot of,i have a dull ache in my stomach
57,my son has a lot of acne,my son has a daughter,i have a sharp pain in my stomach
58,i have a foot ache after running 500m with my running shoes,i work four days after running five m uh with my running,i feel pain in my head when i think too hard
59,my head hurts me badly,my head hurts,i have a sharp pain in my stomach
60,i feel back pain when i carry heavy things,i feel back pain when i,i feel a great amount of pressure of my head
61,feels like there are pins and needles sticking in my joints,his like that in,i have a sharp pain in my stomach
62,i have a rash on my skin,i will also,i have a sharp pain in my stomach
63,i have a problem in seeing objects it is too difficult to see,i have a problem i i see,i have a dull ache in my stomach
64,all of a sudden i felt dizzy when i stood up,one,i have a cut that is red and oozes puss
65,i feel like the world goes round and round,i know they wont go on there,i have a cut that is red and swollen
66,ive tried reading books but nothing can cheer me up,i have tried reading books but nothing can catch me up,i have a cut that is red and oozes puss
67,my head hurts me badly,my head has my,i have a blurry vision after my head was hit yesterday
68,my son has a lot of acne,my son has a lot of it,i have a sharp pain in my stomach
69,it started as a tinnitus but today the pain is throbbing and unbearable,i started as a dizziness but today the pain is coming on,i feel a great amount of pressure of my head
70,i have a foot ache after running 500m with my running shoes,i have short as 500 minutes running,i have a cut that is red and oozes puss
71,there is a constant tickle in my throat,there is a concentrate in me,i have a sharp pain in my stomach
72,i have dark spots on my skin,yeah thats what,i feel pain in my neck after waking up
73,my cough is very heavy and i have mucus,my cough is very heavy i have cough,i feel a sharp pain in my stomach after eating
74,the feeling of coughing increases in winters reach,the feeling of the the,i have a cut that is red and oozes puss
75,i wish this excruciating feeling of loss could go away,i always dis a feeling of the cop,i feel pain in my heart when i wake up
76,my joints feel swollen,i see,i have a sharp pain in my stomach
77,when i stand i feel dizzy i do not know why,when i stand i i know,i have a foot ache when i walk a lot
78,my son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected,my son nick neck with an old razer that spot has become inflamed and looks like an insect,i feel a great amount of pressure of my head
79,i cannot bear this squeezing sensation i have in my chest,i cannot wear that i have in my check,i feel pain in my knee when i climb stairs
80,my muscles feel tired,when we press,i have a sharp pain in my stomach
81,the arches of my feet hurt when i wear heels,that was on my feet hold on,i have a sharp pain in my stomach
82,my shoulder is hurting me,my in the heart,i have a sharp pain in my stomach
83,i stopped sports because i get injury from sports,that for because i can from for,i have a sharp pain in my stomach
84,i can hardly breathe,i can hardly breath,i have a sharp pain in my stomach
85,i have general discomfort in my torso,i have,i feel pain in my head when i think too hard
86,ive noticed my hair falling out a lot lately,i have noticed my ear coming out a lot,i have a sharp pain in my stomach
87,when i stand up too quickly i start to feel dizzy and lightheaded,when i turned up too quickly i had to,i have a foot ache when i walk a lot
88,i have a rash on my skin,i have a rash on my skin,i have a sharp pain in my stomach
89,my right shoulder clicks when i move my arm,my right shoulder keep on moving,i have a cut that has become red and oozes puss
90,pain in the large neck,when in the last time,i feel pain in my head when i think too hard
91,i feel severe itching in the skin with redness,i feel something the skin with redness,i have a sharp pain in my stomach
92,i have a very bad cough,i have a per head cough,i have a sharp pain in my stomach
93,my hair is falling out in huge amount,my hair is falling up in here so,i have a dull ache in my stomach
94,cramps along the whole abdomen,sounds along the,i feel pain in my neck after waking up
95,i toppled over while jumping to catch the ball,i thought we were jumping the in the work,i feel a sharp pain in my stomach
96,my skin color on my back is red i dont know why,my skin color on my back in red i dont know,i have a cut that is red and swollen
97,i feel back pain when i carry heavy things,i feel that in when i hit,i have a sharp pain in my stomach
98,my son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected,and the skin around it,i have a sharp pain in my stomach
99,i cant move my shoulder because of pain,i cannot remember,i feel pain in my shoulder when i try to lift five pounds
100,i feel sad like hurt or pain,i feel sad like hard,i have a sharp pain in my stomach
101,i think my wound is infected,i think my i do too,i feel pain in my neck after waking up
102,i feel pain in my back,i feel pain in my back,i have a sharp pain in my stomach
103,i feel pain in my ears with tinnitus,i feel pain in my ears with fetus,i have a break in the skin between my thumb and index finger and it will not close
104,i feel fluid trying to come up when i cough,i trying to count your liver,my back hurts when i bend
105,i cant work good i have a pain in my knee,i cannot but i have pain in my knee,i have a sharp pain in my stomach
