,refs,trans,model_corrected
0,i have a painful cramp in my feet,i have a painful cramp in my feet,i have a painful cramp in my feet
1,the pain feels like its right below the skin,the pain feels like its right below the skin,the pain feels like its right below the skin
2,i feel suicidal,i feel suicidal,i feel suicidal
3,i feel a sharp pain in my ankle joint when i stand,i feel a sharp pain in my ankle joint when i stand,i feel a sharp pain in my ankle joint when i stand
4,my shoulder hurts me so much,my shoulder hurts me so much,my shoulder hurts me so much
5,i have a hair shortage,i have a hair shortage,i have a hair shortage
6,my left ear is ok but the right one feels like its being stabbed with a nail,my left ear is ok but the right one feels like it is being stabbed with a nail,my left ear is ok but the right one feels like it is being stabbed with a nail
7,im suffering from sharp cough accompanied by  phlegm,i am suffering from sharp cough accompanied by phlegm,i am suffering from sharp cough accompanied by phlegm
8,i was playing soccer and i twisted my ankle,i was playing soccer and i twisted my ankle,i was playing soccer and i twisted my ankle
9,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder it is like lightning is being sent through my shoulder,when i move my shoulder it is like lightning is being sent through myoulder
10,i have pimples in patches along with a lot of redness on my face,i have pimples and patches along with a lot of redness on my face,i have pimples and patches along with a lot of redness on my face
11,when i brush my hair i notice big clumps of hair coming out in the brush,when i brush my hair i notice big clumps of hair coming out in the brush,when i brush my hair i notice big clumps of hair coming out in the brush
12,i cant see the sign i have a blurry vision,i cant see the sign i have a blurry vision, i cant see the sign i have a blurry vision
13,my heart hurts when i exercise,my heart hurts when i exercise,my heart hurts when i exercise
14,i feel a tightness in my chest,i feel a tightness in my chest,i feel a tightness in my chest
15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is falling without a reason i can see a lot of hair on my working dust,my hair is falling without a reason i can see a lot of hair on my working dust
16,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife vial i was cooking,i sliced myself deeply with a knife vial i was cooking
17,i feel cold,i feel cold,i feel cold
18,i dont have problems taking in breath but out breath is so heavy,i don t have problems taking n breath but out breath is so heavy,i don t have problems taking n breath but out breath is so heavy
19,i feel a lot of pain in the joints,i feel a lot of pain in the joints,i feel a lot of pain in the joints
20,my upper back has been sore for a week,my upper back has been sore for a week,my upper back has been sore for a week
21,sometimes i cough because im a smoker,sometimes i cough because i am a smoker,sometimes i cough because i am a smoker
22,my television and computer seem out of focus even though i have new glasses,my television and computer seem out of focus even though i have new glasses,my television and computer seem out of focus even though i have new glasses
23,my foot hurts me a lot of playing football,my foot hurts me a lot playing football,my foot hurts me a lot playing football
24,i have tried to make massage on my foot but they still pain me,i have tried to make massage on my foot but they still pain me,i have tried to make massage on my foot but they still pain me
25,i was playing football and injuried with joint pain,i was playing football and injured with joint pain,i was playing football and injured with joint pain
26,my grandmother last year went to hospital because she was having a hard time breathing,my grandmother last year went to hospital because she was having a hard time breathing,my grandmother last year went to hospital because she was having a hard time breathing
27,i feel pain in my eyes i can see fog,i feel pain in my eyes i can see fog,i feel pain in my eyes i can see fog
28,i feel dizzy and out of sight,i feel dizzy and out of sight,i feel dizzy and out of sight
29,my hair is falling when i am combing it,my hair is falling when i am combing it,my hair is falling when i am combing it
30,he was discovered to have an open wound,he was discovered to have an open wound,he was discovered to have an open wound
31,the acne was causing me to feel embarrassed,the acne was causing me to feel embarrassed,the acne was causing me to feel embarrassed
32,the pain in my ear is unbearable,the pain in my ear is unbearable,the pain in my ear is unbearable
33,i feel a pain in my neck,i feel a pain in my neck,i feel a pain in my neck
34,my chest hurts when i smoke,my chest hurts when i smoke,my chest hurts when i smoke
35,i feel like i went to an acupunctures practice and had 100 needles in my shoulder,i feel like i went to an acupuncturist practice and had 100 needles in my shoulder,i feel like i went to an acupuncturist practice and had 100 needles in my shoulder
36,i have a cut that has become red and oozes puss,i have a cut that has become red and oozes pus,i have a cut that has become red and oozes pus
37,i cant get a girlfriend because of my acne,i cant get a girlfriend because of my acne,i cant get a girlfriend because of my acne
38,i have a foot ache although i dont walk a lot,i have a foot ache adult i dont walk a lot, i have a foot ache adult i dont walk a lot
39,my neck hurts me and i cant stand with this pain,my neck hurts me and i cant stand with this pain,my neck hurts me and i cant stand with this pain
40,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problems seeing things feel like a cloud on my eyes everything is blurry
41,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus
42,chronic bowel pain,chronic bowel pain,chronic bowel pain
43,i feel pain in my foot,i feel pain in my foot,i feel pain in my foot
44,i have a break in the skin between my thumb and index finger and it will not close,i have a break in the skin between my thumb and index finger and it will not close,i have a break in the skin between my thumb and index finger and it will not close
45,my stomach aches after i drink any soda drink why,my stomach aches after i drink any soda why,my stomach aches after i drink any soda why
46,my knees ache on cold and rainy days,my knees ache on cold and rainy days,my knees ache on cold and rainy days
47,my muscle in my shoulder burns when i move my arm,my muscle in my shoulder burns when i move my arm,my muscle in my shoulder burns when i move my arm
48,i feel pain inside i do not know what it is,i feel pain inside i dont know what it is, i feel pain inside i dont know what it is
49,i have a feeling like my whole body is complaining,i have a feeling like my whole body is complaining,i have a feeling like my whole body is complaining
50,i get terrible headaches every few months and when i get them my vision is affected,i get terrible headaches every few months and what not get dumb my vision is affected, i get terrible headaches every few months and what not get dumb my vision is affected
51,i had a collision while playing soccer  my knee buckled and now its unstable,i had a collision while playing soccer my knee buckled and now is unstable,i had a collision while playing soccer my knee buckled and now is unstable
52,this long scar on my left buttock is from falling off my mountain bike,this long scar on my left buttocks is from falling off my mountain bike,this long scar on my left buttocks is from falling off my mountain bike
53,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,i had a cold the last time i traveled by plane and i still have discomfort in my ears,i had a cold the last time i traveled by plane and i still have discomfort in my ears
54,i often get a stomach ache after i eat  i havent been able to pinpoint which foods might be the trigger,i often get a stomach ache after i eat i havent been able to pinpoint which foods might be the trigger, i often get a stomach ache after i eat i havent been able to pinpoint which foods might be the trigger
55,when i get up i feel dizzy and fall down,when i get up i feel dizzy and fall down,when i get up i feel dizzy and fall down
56,my skin is itching,my skin is itching,my skin is itching
57,i feel pain in my back,i feel pain in my back,i feel pain in my back
58,i have a mental suffering,i have a mental suffering,i have a mental suffering
59,i have a dry skin,i have dry skin,i have dry skin
60,i cant move my leg there is pain in the joint,i cant move my leg there is a pain in the joint,i cant move my leg because there is a pain in the joint
61,my heart hurts me,my heart hurts me,my heart hurts me
62,i have a pain in my trapes,i have a pain in my traps,i have a pain in my traps
63,i have tried to relief it but i cant,i have tried to relieve it but i cant,i have tried to relieve it but i cant
64,i feel pain in my right shoulder after the tennis match,i feel pain in my right shoulder after the tennis match,i feel pain in my right shoulder after the tennis match
65,there are some pimples on my face that bother me a lot,there are some pimples on my face that bother me a lot,there are some pimples on my face that bother me a lot
66,sometimes i feel like a claw on my chest that leaves me breathless,sometimes i feel like a clot on my chest that leaves me breathless,sometimes i feel like a clot on my chest that leaves me breathless
67,im not good i feel dizzy,im not good i feel dizzy,im not good i feel dizzy
68,my shower drain is full of hair every time,my shower drain is full of hair every time,my shower drain is full of hair every time
69,i hve cut my finger because of playing football and i  to apply pain relief cream but it does not help,i have cut my finger because of playing football and i apply pain relief cream but it does not help,i have cut my finger because of playing football and i apply pain relief cream but it does not help
70,i fell a stiffness in my elbows and shoulders,i feel a stiffness in my elbows and shoulders,i feel a stiffness in my elbows and shoulders
71,my ear ache when im listening to music,my ear ache when i am listening to music,my ear ache when i am listening to music
72,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen, discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen
73,i have acne in my face and other problema in my derma like itching,i have acne in my face and other problem uh in my derma like itching, i have acne in my face and other problem uh in the derma like itching
74,i have a pain in my stomach,i have a pain in my stomach,i have a pain in my stomach
75,when i stand up too quickly i start to feel dizzy and lightheaded,when i stand up too quickly i start to feel dizzy and lightheaded,when i stand up too quickly i start to feel dizzy and lightheaded
76,i feel a great pain in my shoulder when i try to lift something heavy,i feel a great pain in my shoulder when i try to lift something heavy,i feel a great pain in my shoulder when i try to lift something heavy
77,i am having running nose,i am having runny nose,i am having runny nose
78,i get a knee pain when i walk a lot,i get a knee pain when i walk a lot, i get a knee pain when i walk a lot
79,i was watching tv and suddenly have blurry vision,i was watching tv and suddenly have blurry vision,i was watching tv and suddenly have blurry vision
80,i have a ear ache when i go to the pool,i have an earache when i go to the pool,i have an earache when i go to the pool
81,when i force my eyes to view i have blurry vision,when i force my eyes to view i have blurry vision,when i force my eyes to view i have blurry vision
82,i do not know why i feel cold,i do not know why i feel cold, i do not know why i feel cold
83,sometimes when it is cold outside my face hurts especially around the pimples that are ready to pop,sometimes when its cold outside my face hurts especially around the pimples that are ready to pop,sometimes when its cold outside my face hurts especially around the pimples that are ready to pop
84,i have terrible pain in my heart,i have terrible pain in my heart,i have terrible pain in my heart
85,i have eruptions on my face that come and go ,i have eruptions on my face that come and go,i have eruptions on my face that come and go
86,i have a hard muscle pain since i went to the gym,i have a hard muscle pain since i went to the gym,i have a hard muscle pain since i went to the gym
87,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is oozing,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is oozing
88,i have a blurry vision and i cant see in the darkness  what is the reason doctor ,i have a blurry vision and i cant see in the darkness what is the reason doctor,i have a blurry vision and i cant see in the darkness what is the reason doctor
89,i dont do anything at home and still i feel exhausted,i dont do anything at home and i still feel exhausted, i dont do anything at home and i still feel exhausted
90,the area around my heart doesnt feel good,the area around my heart doesnt feel good,the area around my heart doesnt feel good
91,i feel something hurt me in taking breath and i cant take my breath,i feel something hurt me in taking breath and i cant take my breath,i feel something hurt me in taking breath and i cant take my breath
92,i have a throbbing in my joints,i have a throbbing in my joints,i have a throbbing in my joints
93,i have a great stomach ache and i cant eat any thing,i have a great stomach ache and cant eat anything,i have a great stomach ache and cant eat anything
94,it is like i have a needle pushing through my heart,it is like i have a needle pushing through my heart,it is like i have a needle pushing through my heart
95,im disappointed,im disappointed,im disappointed
96,every time i comb my hair there are so many hair in my comb,every time i comb my hair there are so many hair in my comb,every time i comb my hair there are so many hair in my comb
97,i felt my heart hurts when i ran for along distance,i felt my heart hurts when i ran for a long distance,i felt my heart hurts when i ran for a long distance
98,i usually have a bad cough when i get flu,i usually have a bad cough when i get flu,i usually have a bad cough when i get flu
99,when i bend over i get a shooting pain down my back,when i bend over i get a shooting pain down my back,when i bend over i get a shooting pain down my back
100,i feel dizzy when i set infront of my laptop for an hour or two what possibly could be the reason,i feel dizzy when i sit in front of my laptop for an hour or two what possibly could be the reason,i feel dizzy when i sit in front of my laptop for an hour or two what possibly could be the reason
101,i got acne when i ate chili,i got acne when i ate chili,i got acne when i ate chili
102,i feel a burning sensation in my guts about 2 hours after each meal,i feel a burning sensation in my guts about two hours after each meal,i feel a burning sensation in my guts about two hours after each meal
103,my shoulder has agreat pain,my shoulder has a great pain,my shoulder has a great pain
104,i have shoulder pain when i try to carry my groceries,i have shoulder pain when i try to carry my groceries,i have shoulder pain when i try to carry my groceries
105,i love to garden but i get a terrible twinge in my lower back when i lean over,i love to garden but i get a terrible twinge in my lower back when i lean over, i love to garden but i get a terrible twinge in my lower back when i lean over
106,i feel weak all over,i feel weak all over,i feel weak all over
107,i feel very hard to breathe,i feel very hard to breathe,i feel very hard to breathe
108,my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down
109,i have a pain in my stomach,i have a pain in my stomach,i have a pain in my stomach
110,my entire body is freezing,my entire body is freezing,my entire body is freezing
111,yesterday i had a shouder pain,yesterday i had a shoulder pain,Yesterday i had a shoulder pain
112,i got injured exercising,i got injured exercising,i got injured exercising
113,i dont have full range of motion with my arms,i dont have full range of motion with my arms,i dont have full range of motion with my arms
114,i feel muscle pain every time i make an extra effort,i feel muscle pain every time i make an extra effort,i feel muscle pain every time i make an extra effort
115,my neck is annoying me i cant sleep bacause of it,my neck is annoying me i cant sleep because of it,my neck is annoying me i cant sleep because of it
116,i have acne in my face and other problems in my derma like itching,i have acne in my face and other problems in my derma like itching,i have acne in my face and other problems inmy derma like itching
117,i started taking swimming lessons and i guess i swallowed too much water through my nose because this sinusitis is killing me now,i started taking swimming lessons and i guess i swallow too much water through my nose because the sinti is killing me now,i started taking swimming lessons and i guess i swallow too much water through my nose because the sinti is killing me now
118,i feel a soreness in my knees when i walk,i feel a soreness in my knees when i walk,i feel a soreness in my knees when i walk
119,when i raise my hand i feel pain in my shoulder,when i raise my hand i feel pain in my shoulder,when i raise my hand i feel pain in my shoulder
120,my stomach aches after i drink any soda drink why,my stomach aches after i drink any soda drink why,my stomach aches after i drink any soda drink why
121,i feel a clicking sensation in my knee each time i step,i feel a clicking sensation in my knee each time i step,i feel a clicking sensation in my knee each time i step
122,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder its like lightning is being sent through my left shoulder
123,i have acne all over my face,i have acne all over my face,i have acne all over my face
124,my son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected,my son had his lip pierced and it is swollen and the skin inside on his lip is gray and looks infected,my son had his lip pierced and it is swollen and the skin inside on his palate is gray and looks infected
125,i feel depressed when i see my hair falling out,i feel depressed when i see my hair falling out,i feel depressed when i see my hair falling out
126,i get clusters of pimples on my face that never go away,i get clusters of pimples on my face that never go away,i get clusters of pimples on my face that never go away
127,i complain alot with my neck pain and i really need to be better,i complain a lot with my neck pain and i really need to be better,i complain a lot with my neck pain and i really need to be better
128,when i do hard exercises i feel great pain in my muscles,when i do hard exercises i feel great pain in my muscles,when i do hard exercises i feel great pain in my muscles
129,my heart hurts me,my heart hurts me,my heart hurts me
130,i cant see the sign i have a blurry vision,i cant see the sign i have a blurry vision, i cant see the sign i have a blurry vision
131,i have difficulty moving my neck,i have difficulty moving my neck,i have difficulty moving my neck
132,i fell a stiffness in my elbows and shoulders,i feel a stiffness in my elbows and shoulders,i feel a stiffness in my elbows and shoulders
133,i have a hair shortage,i have a hair shortage,i have a hair shortage
134,i was diagnosed with  b12deficiency anemia which explains why i always felt cold,i was diagnosed with b 12 deficiency anemia which explains why i always felt cold,i was diagnosed with b 12 deficiency anemia which explains why i always felt cold
135,using hair tonic,using hair tonic,using hair tonic
136,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife while i was cooking
137,my foot hurts me a lot of playing football,my foot hurts me a lot of playing football,my foot hurts me a lot of playing football
138,im having a hard time reading because the letters are all fuzzy,im having a hard time reading because the letters are all fuzzy,im having a hard time reading because the letters are all fuzzy
139,i have tried to make massage on my foot but they still pain me,i have tried to make massage on my foot but they still pain me,i have tried to make massage on my foot but they still pain me
140,i cant breathe,i cant breathe,i cant breathe
141,i have cut my finger because of playing football and i have to apply pain relief cream but it does not help,i have cut my finger because of playing football and i have to apply pain relief cream but it does not help,i have cut my finger because of playing football and i have to apply pain relief cream but it does not help
142,i feel a pain in my neck,i feel a pain in my neck,i feel a pain in my neck
143,i have a split on my thumb that will not heal,i have a split on my thumb that will not heal,i have a split on my thumb that will not heal
144,i feel pain in my back,i feel pain in my back,i feel pain in my back
145,i was playing football and injuried with joint pain,i was playing football and injured with joint pain,i was playing football and injured with joint pain
146,i think my body temperature is very low,i think my body temperature is very low,i think my body temperature is very low
147,i feel discomfort throughout the body in general,i feel discomfort throughout the body in general,i feel discomfort throughout the body in general
148,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is falling without a reason i can see a lot of hair on my working desk
149,i have a pain in my joint,i have a pain in my joint,i have a pain in my joint
150,when i get up i feel dizzy and fall down,when i get up i feel dizzy and fall down,when i get up i feel dizzy and fall down
151,im not good i feel dizzy,i am not good i feel dizzy,i am not good i feel dizzy
152,i cant get a girlfriend because of my acne,i cant get a girlfriend because of my acne,i cant get a girlfriend because of my acne
153,i cant carry anything i have a pain in my shoulder,i cant carry anything i have a pain in my shoulder, i cant carry anything i have a pain in my shoulder
154,whenever i stand up i feel dizzy,whenever i stand up i feel dizzy,whenever i stand up i feel dizzy
155,my skin is itching,my skin is itching,my skin is itching
