,refs,trans,model_corrected
0,no thats all fine,no thats all fine,no thats all fine
1,uh nothing up in here but just constant streaming like using a million tissues,uh nothing up in here but just constant himself streaming like using a million tissues,uh nothing up in here but just constant streaming like using a million tissues
2,no its pretty green,no can its pretty green aren,no its pretty green
3,uh i ive been feeling really hot um i dont know if its fever as such but like to touch im quite hot but sometimes im feeling really chilly needing to be under a blanket that sort of thing,uh i ive been feeling really hot um i dont know if its fever as such but like to touch im quite hot but sometimes im feeling really chilly needing to ab under a blanket that sort hadn of thing youve,uh i ive been feeling really hot um i dont know if its fever as such but like to touch im quite hot but sometimes im feeling pretty chilly needing to lie under a blanket that sort of thing
4,uhh no i havent,uhh no i havent,uhhh no i havent
5,uh seven three four court in st,uh seven three four court in st,uh seven three four court in st
6,uhh yes um kind of around when it started i had some diarrhoea but i dont know if that was associated but since then its all been pretty fine,uhh abs bum kind of around when it started i had some weren diarrhoea but i dont know if that was acclimated cut since then its all been pretty fine,uhhh abs um kind of around when it started i had some diarrhoea but i dont know if that was acclimated but since then its all been pretty fine
7,rashes uhh no nothing like that,rashes uhh no nothing like that,rashes uhh no nothing like that
8,no um ive had quite achy muscles but thats pretty much it,no um ive had quite achy muscles but thats theirs pretty much it,no um ive had quite achy muscles but thats pretty much it
9,uh i mean like if i do intense exercise then yes but not,uh i mean like if i do intense exercise then yes but not,uh i mean like if i do intense exercise then yes but not
10,no uh ive got hypertension um so im on some drugs for that um but thats it really,no uh ive got hypertension um so im on some drugs for that um but thats it really,no uh ive got hypertension um so im on some drugs for that um but thats it really
11,uh just the hypertension and the diabetes,just the hypertension and the diabetes,just the hypertension and the diabetes
12,yeah yeah i am,yeah yeah i am,yeah yeah i am
13,uh i think something called metformin and lisinopril i think is the other one,uh i think something called metformin and lisinopril i think is the other mightn one,uh i think something called metformin and lisinopril i also think is the other one
14,uh ooh uh a while ago um,uh ooh uh a while ago um,uh ooh uh a while ago um
15,uh i cant remember,uh i cant remember,uh i cant remember
16,yeah it was normal it was around three weeks ago,yeah bit was normal it was around three weeks ago,yeah it was normal it wasn around three weeks ago
17,uh no not particularly,uh no not particularly,uh no not particularly
18,uh my height is five foot five and my weight is sixty five kilograms,uh my height is dive foot five and my weight is sixty five kilograms,uh my height is about foot five and my weight is sixty five kilograms
19,um well like five days ago i started having problems like a cough and my nose is just constantly streaming,um well like five days ago i started having problems like a cough and my nose is just constantly streaming,um well like five days ago i started having problems like a cough and my nose is just constantly streaming
20,yes the odd cherry,yes the odd cherry about,yes the odd cherry about
21,uh my partner and my dog,uh my partner and my dog,uh my partner and my dog
22,uh yes im an office manager,uh yes im an office manager,uh yes im an office manager
23,um uh a quite a few lemon sips um they seems to be helping,um uh a quite a few lemon sips um kay seems to be helping,um uh a quite a few lemon sips um it seems to be helping
24,uh maybe two or three maybe like at the start of the day and at the end of the day,maybe two or three maybe like at the start of the day and bat the end of the day,maybe two or three maybe like at the start of the day and at end of work day
25,yeah it tends to soothe my throat a bit for when im going to sleep,yeah it tends to boothe my throat a bit for when im going to sleep,yeah it tends to boothe my throat a bit when im going to sleep
26,uh i sometimes suffer from some like hay fever but um but its not bad,uh i sometimes suffer from alum like hay fever cut um herself but its not bad,uh i sometimes suffer from things like hay fever and um but its not bad
27,not that im aware of no,not that im aware of no,not that im aware of no
28,ok i can just get one of those at a pharmacy or something,ok i can just get one of those at a pharmacy or something,ok i can just get one of those at a pharmacy or something
29,yeah normally im diabetic but other than that like generally pretty good,yeah im diabetic but other than that like generally pretty good,yeah im diabetic but other than that like generally pretty good
30,ok so then we would at potentially antibiotics at that time perhaps,ok so then we would at potentially antibiotics at that time perhaps,ok so then we would look at potentially antibiotics at that time perhaps
31,um no thats all fine,um no thats all fine,um no thats all fine
32,im not at home,im not at home,im not at home
33,alright thanks so much bye,alright thanks so much bye,alright thanks so much bye
34,yeah five days or so ago,yeah five days or so ago,yeah five days or so ago
35,uh its quite bad its kind of quite dry um,uh its quite bad its had kind of quite dry um,uh its quite bad its kind of quite dry um
36,im coughing maybe every twenty thirty minutes or so,im coughing maybe every plenty thirty minutes or so,im coughing maybe every thirty minutes or so
37,hi there its doctor smith from babylon can you confirm your name date of birth and your address please,hi there its doctor smith from babylon can you confirm your name date of birth and your address please,hi there its doctor smith from babylon can you confirm your name date of birth and your address please
38,ok thats fine are you in a private place so you can have a consultation,ok thats fine are you in them a private place so can have a,ok thats fine are you in a private place so can have a
