,refs,trans,model_corrected
0,when i get up i see my skin vague,when i get up y see my skin you vague,when i get up i see my skin vague
1,my lungs feel heavy like they are filled with mucus,lungs feel heavy like they are filled with mucus,my lungs feel heavy like they are filled with mucus
2,i carried a heavy bag yesterday and when i get up today i felt a great shoulder pain,i carried a heavy bag yesterday and when i up today i belt a great shoulder pain,i carried a heavy bag yesterday and when i woke up today i felt a great shoulder pain
3,my knee is hurting so badly,my knee is so badly,my knee is hurting so badly
4,every time i look to left i feel a sharp pain in my neck,every time i look who to i feel a sharp pain in my neck,every time i look to i feel a sharp pain in my neck
5,my hair is falling out after i take a shower,my hair ms falling out after i take a shower,my hair is falling out after i take a shower
6,i feel joint pain every time i move,i feel joint pain every time i move,i feel joint pain every time i move
7,when i force my eyes to view i have blurry vision,when i force my ayes to view i have blurry vision,when i force my eyes to view i have blurry vision
8,i was travelling by ship and i feel dizzy,i was travelling by ship and i feel dizzy,i was travelling by ship and i feel dizzy
9,when i played football i dislocated my shoulder,when i played football i dislocated my shoulder,when i played football i dislocated my shoulder
10,i have a blurry vision and i cant see in the darkness  what is the reason doctor ,i have a own blurry vision and cant see in the darkness what is the reason doctor,i have a blurry vision and cant see in the darkness  what is the reason doctor 
11,i am always cold even when i am wearing layers,i am always cold hers even when i wearing layers,i am always cold even when i am wearing layers
12,i had an accident and my wound was open when i arrived to hospital,i had an accident and my wound was copen when i arrived to hospital,i had an accident and my wound was open when i arrived to hospital
13,i have a hard muscle pain since i went to the gym,i have a hard muscle pain since i went to the gym,i have a hard muscle pain since i went to the gym
14,there is a sharp pain in my bicep i have tried to apply pain relief cream but it does not help,there is a sharp aine in my bicep i have abide apply pain relief cream but it does not help,there is a sharp pain in my bicep i have tried to apply pain relief cream but it does not help
15,redness swelling and difficulty walking,redness swelling there and difficulty walking,redness swelling and difficulty walking
16,i do not know why i feel cold,i do not know why i feel cold,i do not know why i feel cold
17,my knees swell right below the knee cap and hurt when i put weight on them,my knees swell right below the knee cap and hurt when i put weight shouldnt on them,my knees swell right below the knee cap and hurt when i put weight on them
18,i have cloudy eyes,i have cloudy ayes,i have cloudy vision
19,the nerves were so damaged during the operation on my ankle that i cannot stand being touched on the scar,the curves were so damaged during the operation on my ankle whom that i cannot stand being touched on werent the scar,the curves were so damaged during the operation on my ankle that i cannot stand being touched on the scar
20,i got acne when i ate chili,i got acne when i ate chili,i got acne when i ate chili
21,my entire body is freezing,my entire body is freezing,my entire body is freezing
22,i feel very hard to breathe,i feel very hard to breathe,i feel very hard to breathe
23,i have muscle pain at my left leg,i have muscle pain at my left leg,i have muscle pain at my left leg
24,it is like i have a needle pushing through my heart,it is like i have a needle pushing through my heart,it is like i have a needle pushing through my heart
25,i had alot of exercise yesterday so i feel sharp muscle pains,i had of exercise breakaway so i sharp muscle pains,i had an exercise breakaway so i have sharp muscle pains
26,the area around my heart doesnt feel good,the area around my doesnt feel good,the area around my neck doesnt feel good
27,i feel a pain on the left side of my chest where my heart is,i such feel from a pain on the left side of my chest where my heart is,i feel a pain on the left side of my chest where my heart is
28,my abdominal muscles have great pain since i was at gym,ai abdominal muscles have pain since i was at gym,my abdominal muscles have pain since i was at gym
29,when i extend my leg there is pain in knee joint,when i extend my leg there is pain in knee joint,when i extend my leg there is pain in knee joint
30,i have a great stomach ache and i cant eat any thing,i have a great stomach ache and i cant eat any thing,i have a great stomach ache and i cant eat any thing
31,i have pain but i cant specify place,i have pain but i cant specify place,i have pain but i cant specify place
32,i cannot breathe because of this dull ache below my left shoulder,i cannot breathe because of this dull ache below my left ours shoulder,i cannot breathe because of this dull ache below my left shoulder
33,i feel a pain in my back when i sit on a chair for long,i feel a pain in my back when i sit on a their for long,i feel a pain in my back when i sit on a chair for long
34,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,my daughter had her eyebrows by threaded and it pulled an opening of skin in one of her brows that is now did puffy and oozing,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing
35,had i stepped on a needle it wouldnt have hurt so much like this damned spur in my heel,had i stepped on a needle it wouldnt hurt much like this damned spur in my heel,had i stepped on a needle it wouldnt hurt much like this damned spur in my heel
36,i have some pain when im walking around my knees,i have some pain when im walking around knees,i have some pain when im walking around my knees
37,i cut myself and im bleeding,i cut myself and im bleeding,i cut myself and im bleeding
38,my hair is coming out in chunks especially when i wash it,my ayre is coming out in chunks especially when i wash bit,my hair is coming out in chunks especially when i wash it
39,there are lots of hairs on my pillow in the morning,there are lots of hairs on my pillow in the morning,there are lots of hairs on my pillow in the morning
40,i have a head pain every single day,i have a head pain every single day,i have a head pain every single day
41,when i get out of bed in the morning my body feels very weak,when i get out of bed in the my body feels very weak,when i get out of bed in the morning my body feels very weak
42,when i play sports  i have some burning sensation in my spine,when i play sports i have some burning sensation in my spine their,when i play sports  i have some burning sensation in my spine
43,my foot hurts and i cant turn it  maybe its broken,my foot hurts won and i cant turn wont it maybe its broken,my foot hurts and i cant turn it  maybe its broken
44,i have a dull ache in my stomach  it gets worse after i eat,have once dull ache in my stomach it gets worse after i eat,i have a dull ache in my stomach  it gets worse after i eat
45,my knee doesnt want to bend well,my ad doesnt want to bend well he,my knee doesnt want to bend well
46,in the morning my respiration is loud,in the my respiration is loud,in the shower my respiration is loud
47,i was very active in sports but now my body is feeling pain,i was very active in but now my body is wont feeling pain,i was very active in sports but now my body is feeling pain
48,i cant hear out of my ear properly i feel like there is something in it causing irritation,i cant hear out of my ear properly i feel like there is something in it causing irritation wasn,i cant hear out of my ear properly i feel like there is something in it causing irritation
49,i can hardly move my neck  it hurts,i can hardly move my neck it hurts,i can hardly move my neck  it hurts
50,i have a sharp pain in my lower stomach,i have a sharp pain in my lower stomach,i have a sharp pain in my lower stomach
51,it feels like my heart is going to leap out of my body it hurts,it feels like my heart is going to leap out of my body hurts,it feels like my heart is going to leap out of my body and hurts
52,im having a hard time hearing,im having a hard time hearing when,im having a hard time hearing
53,there is a tingling sensation in my neck,there is a sensation both in neck,there is a sensation in my neck
54,i have shooting pains up and down my back,y have shooting aynes up and down my back,i have shooting pains up and down my back
55,i have a sharp pain in my abdomen,i have a sharp pain in my abdomen,i have a sharp pain in my abdomen
56,is my cut infected or just healing,is my cut affected or just healing,is my cut affected or just healing
57,my knee feels weak and it gave way the other day at the top of the stairs  luckily there was a rail to hold on to,my knee feels weak and it gave way the other day at the top of the luckily its there was it a rail to hold on do,my knee feels weak and it gave way the other day at the top of the stairs  luckily its there was a rail to hold on to
58,mr hair is falling out just by combing it,mr hair is colling out this just combing it before,mr hair is falling out just combing it before
