,refs,trans,model_corrected
0,and any vomiting or problems with swallowing ,on any vomiting or problems were swallowing ,on examination any vomiting or problems were swallowing
1,and any other medical conditions that you have ,on dh any other medical conditions that you have ,on dh any other medical conditions that you have
2,okay you are on any medications from your gp ,okay you on any medications from your gp , okay you aren’t on any medications from your gp
3,not that i know of ,know that i know , know that i know 
4,no okay and any family history of anything ,i know on any family history of anything , i know no family history of anything
5,yeah my moms got ulcerative colitis ,yeah my moms got ulcerated claytor , yeah my moms got ulcerated claytor 
6,okay and is she well with that or is she on medications ,okay andi is she well with that or shell just take medications for that , okay andi is she well with that or will she just take medications for that
7,okay and so whats your understanding of of whats been going on so far ,okay on dh so whats your understanding ofthe off whats been going on so far , okay on dh so whats your understanding ofthe whats been going on so far
8,so im worried that ive got colitis as well ,so im worried that ive got quite a okay okay ,so im worried that ive got quite a okay okay
9,does your moms experience make you more concerned about that or ,does your moms expedient to make you more concerned by that ,does your moms expedient to make you more concerned by that
10,a little bit because she sometimes has a flare ups ,are im a little bit because she sometimes flare ups ,are im missing a little bit because she sometimes flare ups
11,and that could be quite unwell with that so im quite worried but thats whats going to happen to me as well ,could be quite a while with that so im quite worried that thats whats going on ,it could be quite a while with that so im quite worried that whats going on
12,okay so at the moment we need to take some stool cultures from you i think youve had some sent but we need to send a couple more just to exclude any infection we also need to arrange an urgent colonoscopy for you so that im sure your mom have had one of those before so its basically a camera test it goes into your bowel and has a look and we take photographs and take biopsies to try and diagnose you with what we think is inflammatory bowel disease okay there are a couple of different types of inflammatory bowel disease so one is called ulcerative colitis like your mom has and the other one is called crohns disease and so they are similar in many ways but there are key differences in terms of how we manage people so thats what well do at the moment for today well start you on something called pentesia which is to try and help reduce any inflammation in the bowel and then once we get a formal diagnosis from biopsies and things well hopefully aim to start you on some steroids to reduce the inflammation okay does that sound okay ,so at the moment we need to take some stew cultures from you i think youve had some scent but we need to send a couple more just to exclude any infection and we also need to arrange an urgent colonoscopy for u s o that said im sure your mum both had one of those before so its basically a camera test it goes in to your bow and has a look and we take photographs and take biopsies to try and and diagnose you with what we think is inflammatory bowel disease ok there are a couple of different types of inflammatory bowel disease no one is called ulcer to collect us like your mom has and the other ones cole croons disease and so they are similar in many ways but there are key differences in terms of how we manage people and so thats what well be at the moment for today well start you on something called fantasia which is to try and help reduce any inflammation in the barrel on dh then once we get a formal diagnosis from biopsies and things well hopefully in to start you on some steroids to reduce the inflammation does that sound okay ,so at the moment we need to take some stew cultures from you because i think youve had some scent but we also have to send a couple more just to exclude any infection andwe also needto arrange an urgent colonoscopy for u s o that said im sure your mum both had one of those before so its basically a camera test it goes in to your bow and has a look and we take photographs and take biopsies to try and and diagnose you with what we think is inflammatory bowel disease ok there are a number of different types of inflammatory gastrointestinal disease no one is called ulcer to collect us like us
13,yeah that sounds okay ,yeah that sounds okay , yeah that sounds okay
14,do you have any questions about all of that or ,do you have any questions about old that are so well ,do you have any questions about old age that are so well understood
15,so do i have to be on medications forever ,i have to be on medications forever ,i have to be on medications forever
16,so its very dependent on the patient or on the person who some people respond very well to initial therapy and they might remain well for years with a normal bowel habit and will kind of see you or speak to you from clinic you know maybe every six months for a year to see how youre getting on and decides if you can come off medication so some people stay on medication lifelong and some people manage to come off it ,so its very dependent on the patient or on the persons who some people respond very well to initial sad api and they might remain well for years with a normal bow habit on will kind of see you are speaking from clinic you know maybe you every six months or a year to see how youre getting on and decides if you can come off medication to some people stay on medication lifelong and some people managed to come off it ,so its very dependent on the patient or on  the persons who some people respond very well to initial sad mri and they might remain well for years with a normal bow habit on kind of see you are speaking from clinic you know maybe you visit every six months or a year to see how youre getting on and decide if you can come off medication to some patients who stay on medication lifelong andsome people managed to come back off it
17,okay that sounds fine ,yeah that sounds fine , yeah that sounds fine
18,so ill go and arrange your series of investigations,so i got rangers videos investigations,so i got rangers videos investigations
19,hello my names amy im one of the gastroenterology doctors at the ibd clinic can i take your name ,hello my names amy yemen is a gastroenterology doctors at the i v d clinic can i take your name , hello my names amy yemen is a gastroenterology doctors at the i v d clinic can i take your name
20,nice to meet you rachel so i know that youre quite well known to our clinic so we see every year or so but were seeing you slightly earlier than usual can you tell me why that is whats been going on ,nice to meet you rachel so i know that youre quite well known to our clinic so we see you every year or so but were seeing you slightly earlier than usual can you tell me why that is whats been going on , nice to meet you rachel so i know that youre quite well known to our clinic so we see you every year or so but were seeing you slightly earlier than usual can you tell me why that is whats been going on
21,so for the past kind of probably two months i noticed my bowels are going more frequently and its lot more watery than it used to be ,so for the past kind of probably two months i move my bowels are going more frequently and its a lot more watery than it used to be ,so for the past kind of probably two months i move my bowels are going more frequently and its a lot more watery than it used to be
22,i havent noticed any blood but just the frequency is starting to become quite concerning ,i havent noticed any blood but just the frequency is starting to become quite concerning ,i have noticed any blood loss but the frequency is starting to become quite concerning
23,okay and if so have you noticed any blood at all or ,okay and you should have you noticed any bloody toll or , okay and you should have noticed any bloody toll 
24,no no blood but ive just been feeling very tired all the time quite lethargic ,no logic but ive just been feeling very tired all the time quite look far yet ,no logic but ive been feeling very tired all the time and dont quite look far yet
25,okay and have you been to see your gp about any of this ,okay and have you been to see your gp about any of this , okay and have you been to see your gp about any of this
26,okay if you had any blood check recently or ,okay if you had any blood checked recently or , okay if you had any blood checked recently
