,refs,trans,model_corrected
0,no thats all fine,no thats all fine,no thats all fine
1,uh nothing up in here but just constant streaming like using a million tissues,uh nothing up in here but just constant nonblanching like using a million tissues,uh nothing up in here but just constant nonblanching like using a million tissues
2,no its pretty green,no its pretty green,no its pretty green
3,uh i ive been feeling really hot um i dont know if its fever as such but like to touch im quite hot but sometimes im feeling really chilly needing to be under a blanket that sort of thing,uh i ive been feeling really hot um lax i dont know if its fever as such but like to touch im quite hot sometimes im feeling really chilly needing whi to be under a blanket that sort of thing,uh i ive been feeling really hot um i dont know if its fever as such but like to touch im quite hot sometimes im feeling rather chilly needing to be under a blanket that sort of thing
4,uhh no i havent,uhh no i havent,umhh no i havent
5,uh seven three four court in st,uh seven three four court in understand st,uh seven three four court in st
6,uhh yes um kind of around when it started i had some diarrhoea but i dont know if that was associated but since then its all been pretty fine,uhh yes um kind of around when it started i had some temperature diarrhoea iii i dont know if that was associated but since then its all been pretty fine,um yes um kind of around when it started i had some temperature diarrhoea i dont know if that was associated but since then its all been pretty fine
7,rashes uhh no nothing like that,rashes uhh no nothing like that,red rashes uhh no nothing like that
8,no um ive had quite achy muscles but thats pretty much it,no um ive had quite achy muscles but traveling thats wonder much it,no um ive had quite achy muscles but thats not it
9,uh i mean like if i do intense exercise then yes but not,uh i mean like if i do intense exercise then yes but not,uh i mean like if i do intense exercise then yes but not
10,no uh ive got hypertension um so im on some drugs for that um but thats it really,no uh ive got hypertension um so im on some drugs for stopped um but thats it really,no uh ive got hypertension um so im on some drugs for it um but thats it really
11,uh just the hypertension and the diabetes,uh just coco hypertension and the diabetes,uh just hypertension and the diabetes
12,yeah yeah i am,yeah ear i am,yeah i am
13,uh i think something called metformin and lisinopril i think is the other one,uh i think something called metformin and lisinopril i think is the other one,uh i think something called metformin and lisinopril i i dont think is the other one
14,uh ooh uh a while ago um,uh ooh uh a while ago um,uh ooh uh a while ago um
15,uh i cant remember,uh i cant remember,uh i cant remember
16,yeah it was normal it was around three weeks ago,yeah it was normal it was around three weeks ago,yeah it was normal it probably was around three weeks ago
17,uh no not particularly,uh no not particularly,uh no not particularly
18,uh my height is five foot five and my weight is sixty five kilograms,uh my height is five foot five and my weight is sixty five kilograms,uh my height is five foot five and my weight is sixty five kilograms
19,um well like five days ago i started having problems like a cough and my nose is just constantly streaming,um like five days ago i started having problems like a cough and my luck is just constantly streaming,um like five days ago i started having problems like a cough and my luck is just constantly streaming
20,yes the odd cherry,yes the odd cherry,yes the odd cherry
21,uh my partner and my dog,my partner and my dog,my partner and my dog
22,uh yes im an office manager,uh yes im an office manager,uh yes im an office manager
23,um uh a quite a few lemon sips um they seems to be helping,um uh a a few sips um they seems to be helping,um uh a a few sips um they seems to be helping
24,uh maybe two or three maybe like at the start of the day and at the end of the day,adrianna maybe is or hundred three maybe like at the test start of the day and at the end of the day rest,adrianna maybe is or hundred three maybe like at the start of the day and at that end of day rest
25,yeah it tends to soothe my throat a bit for when im going to sleep,it tends to soothe medical throat a bit deme when im because to sleep,it tends to soothe my throat a bit when im trying to sleep
26,uh i sometimes suffer from some like hay fever but um but its not bad,uh i sometimes suffer from some like hay fever but um but its not bad,uh i sometimes suffer from some like hay fever but um but its not bad
27,not that im aware of no,not that im aware of no,not that im aware of no
28,ok i can just get one of those at a pharmacy or something,ok i can just get one of those at works pharmacy or something,ok i can just get one of those at works pharmacy or something
29,yeah normally im diabetic but other than that like generally pretty good,yeah normally im diabetic but other than that like generally pretty good ca,yeah normally im diabetic but other than that like generally pretty good
30,ok so then we would at potentially antibiotics at that time perhaps,ok so then we would at potentially at that time perhaps,ok so then we would at potentially at that time perhaps
31,um no thats all fine,um no thats all fine,um no thats all fine
32,im not at home,im not at home,im not at home
33,alright thanks so much bye,alright thanks so much bye,alright thanks so much bye
34,yeah five days or so ago,yeah five days or ago,yeah five days or ago
35,uh its quite bad its kind of quite dry um,uh its quite bad its kind of quite dry um,uh its quite bad its kind of quite dry um
36,im coughing maybe every twenty thirty minutes or so,im coughing maybe every yourself thirty minutes or so,im coughing maybe every thirty minutes or so
37,hi there its doctor smith from babylon can you confirm your name date of birth and your address please,hi there its doctor smith from babylon can you confirm your name date of birth your please,hi there its doctor smith from babylon can you confirm your name date of birth please
38,ok thats fine are you in a private place so you can have a consultation,ok thats fine are you in a private place so you scottish have a consultation,ok thats fine are you in a private place so you can have a consultation
39,ok and when you were a child how bad was your asthma,ok and when you were a child how bad was box your asthma,ok and when you were a child how bad was your asthma
40,did you have to take medication,did you have to take medication,did you have to take medication
41,do you know which ones you took,do you know h which ones you took,do you know which ones you took
42,and did you ever have to go to hospital with it,and did you ever have to go to hospital with it,and did you ever have to go to hospital with it
43,did you ever get severely unwell have to be on intensive care unit or anything like that,did you ever severely unwell to be on intensive care unit or anything like that,did you ever be severely unwell to be on intensive care unit or anything like that
44,did you have to miss school,did you have to regularly miss school,did you have to regularly miss school
45,ok and when do you think it last when do you think that asthma stopped at what age did you get to a point where you werent taking medication anymore,ok and when do you think it last three do you think dear phone asthma stopped at what age what you get to a point where you werent taking medication anymore,ok and when do you think it last three years or so did you know that asthma stopped at what age what you get to a point where you werent taking medication anymore
46,and so this time how did it start did you have any other symptoms any chest pain temperature cold symptoms anything like that,and so this time how ti it some start did you have any other symptoms any releases chest pain temperature cold symptoms anything like when that,and so this time how did it some start did you have any other symptoms any chest pain temperature cold symptoms anything like that
47,right have you coughed any phlegm up or anything like that,right have you coughed any phlegm up or anything like that,right have you coughed any phlegm up or anything like that
48,what can i do for you today,what roughly can i both for you today,what can i do for you today
49,any any um blood in there when you cough,any ma any um blood in there when you cough,any um blood in there when you cough
50,ok and any chest pain,ok and any chest pain,ok and any chest pain
51,have you been woken up at night time at all,have seem been woken up at night time at all,have you been woken up at night time at all
52,have you been able to do any exercise,have you north able to do any exercise,have you been able to do any exercise
53,ok and do you have a peak flow meter at home where you measure your breathing,ok and do space you have a being flow meter g at home where you measure beers your breathing,ok and do you have a flow meter at home where you measure your breathing
54,you have whats called a peak flow meter which you breathe into to get a score on your breathing,you have whats called a peak flow meter which you breathe into to get a score on your breathing,you have whats called a peak flow meter which you breathe into to get a score on your breathing
55,and do you normally take any asthma inhalers over the last few years,and do you normally take any asthma inhalers over the last few years,and do you normally take any asthma inhalers over the last few years
56,you do so you said you stopped them three to four years ago,you do so you said you stopped them three to four years ago,you do so you said you stopped them three to four years ago
57,ok how about over the last three to four years,ok how about over the last three to four years,ok how about over the last three to four years
58,have you taken any medication,you taken medication,have you taken medication
59,ok and how long has that been going on for,ok and how long has that been going on for,ok and how long has that been going on for
60,ok so you you normally take that do you or is that just recently,ok more so you you normally take that do you or is that just recently,ok more so you you normally take that do you or is that just recently
61,ok and how often do you normally need it,ok and how often do you normally need it,ok and how often do you normally need it
62,ok what about when you exercise normally do you have to use medication uh inhalers,ok regular about food when you exercise normally do you have to use medication uh inhalers,ok regular about food when you exercise normally do you have to use medication uh inhalers
63,ok um and do you take any other medications,ok um and lunch do door you take any gonna other medications,ok um and do you take any other medications
64,any other medical problems,any other medical problems,any other medical problems
65,ok do you take anything for that,ok do you take anything for that,ok do you take anything for that
66,and any allergies to medications,and any allergies to medications,and any allergies to medications
67,do you drink any alcohol regularly,do you drink any alcohol regularly,do you drink any alcohol regularly
68,and have you ever had similar symptoms in the past,and have you ever similar symptoms in the past,and have you ever had similar symptoms in the past
69,how often have a glass of what,how have a po glass of what,how have a glass of milk
70,every how often did you say,every how often did you say,every how often did you say
71,and who do you live with at home,and who do you live with at home,and who do you live with at home
72,who do you live with at home,who do you live with at,who do you live with at all
73,who do you live with do you live on your own or do you live with,who do you three live with getting you live on your own or do you live with,who do you live with you either live on your own or are you living with
74,ok and whats your job day to day,ok and whats your job day to day the,ok and whats your job day to day
75,and have you been at work in the last few days,and have you been at work in the last few days,and have you been at work in the last few days
76,ok and when at the moment are you um feeling short of breath when youre sitting still or just when you walk,ok and when based at the moment are you um feeling short of breath when youre sitting eardrum or just when note walk,ok and when based at the moment are you um feeling short of breath when youre sitting eardrum or just when i walk
77,are you able to get up and down the stairs ok,are you able to meantime up and down the stairs ok,are you able to go up and down the stairs ok
78,right ok um and did you say you were finding it hard to complete your sentences,right ok um and did you say you were finding it hard to complete your sentences,right ok um and did you say you were finding it hard to complete your sentences
79,as was that as an adult or as a child,as was that as an adult like as a child,as was that as an adult like as a child
80,right ok um i mean it sounds like youve had a flare up of your asthma it could be um triggered by if theres more pollen around or there may be you may have a viral infection causing it to get worse,right ok um i may mean it sounds like had trigger a flare up of wake asthma it could be um triggered by if period clinical more pollen around or can there may be you may have a viral infection causing it to get worse,right ok um i may mean it sounds like you may trigger a flare up of asthma it could be um triggered by if you have more pollen around or can there may be you might have a viral infection causing it to get worse
81,did you say you checked your temperature already,did you say you checked your temperature already,did you say you checked your temperature already
82,what was your temperature,what was your temperature,what was your temperature
83,ok thats fine um have you got an asthma inhaler at home,ok thats fine um got an asthma inhaler at home,ok thats fine um got an asthma inhaler at home
84,ok so what i would suggest is you take it more regularly than you are doing at the moment have you got um a spacer at home,ok so what i would suggest is you take it more regularly than you are doing at the moment have you got um so spacer at hm home,ok so what i would suggest is you take it more regularly than you are doing at the moment have you got um so spacer at home
85,um do you have a spacer at home,um do you have sometimes spacer home,um do you have sometimes spacer pain
86,ok um what i can do is i can prescribe you a peak flow meter so we can check your breathing level and a spacer to use your inhaler a bit more efficiently which the pharmacist can show you how you use that when you pick it up,ok um what i can do is i can prescribe you a peak flow meter so we can probably your breathing level and a spacer to use head inhaler a bit more efficiently which the pharmacist can show you how you use that when you pick it up,ok um what i can do is ican prescribe you a peak flow meter so we can check your breathing level and a spacer to use a bit more efficiently which the pharmacist can show you how you use that when you pick it up
87,um and if you increase it so youre taking it two to four puffs like every four hours,um and if you piece it so youre taking it two to four like every four hours,um and if you piece it so youre taking it two to four like every four hours
88,how long ago was that,how long next ago was one,how long ago was one
89,initially um if you get a high temperature or your wheezing is getting worse you need to call us back straightaway so we can just advise you further with that,initially um if you get a high recurrently or your wheezing is regularly getting worse dosage you need to call us any back 4th straightaway i so we can just advise you further with that,um if you get a high recurrently or your wheezing is regularly getting worse you need to call us any back straightaway i so we can just advise you further with that
90,and it will be a good idea when youre feeling better if we can arrange just a review just to see how your asthma is because we may need to start some other medication for you,and it will be a good idea when youre feeling better if we hear arrange a review just to change see how your asthma is because we may need to start some other medication for you,and it will be a good idea when youre feeling better if we arrange a review just to see how your asthma is because we may need to start some other medication for you
91,you could arrange a review in a week or so um but but before that and if youre if youre feeling worse,you could arrange a review in a week or so but sometime before that and if youre day a youre feeling worse,you could arrange a review in a week or so but sometime before that and if youre day a day or two feeling worse
92,ok and the other thing to do would be to take a regular antihistamine,ok and the other thing do would be to take a regular antihistamine,ok and the other thing would be to take a regular antihistamine
93,which you can get from the pharmacy i can put a on your notes about what to take,which you can get he the pharmacy i can put a on your notes about sloan to take,which you can get from the pharmacy i can put a on your notes about sloan to take
94,and then if you when you get the peak flow meter if you can take the pharmacist can show you how to use it and if you can record a value first thing when you wake up,and then if you when you get the peak flow meter lightheadedness you can take the pharmacist can show you how to use it and if you can record a value first thing when you wake up,and then if you when you get the peak flow meter lightheadedness you can take the pharmacist can show you how to use it and if we can record a value first thing in the morning
95,and in the evening over the next week and then we can discuss that over the phone when we look at the figures and see whether you need to go on another inhaler as well,and in the evening over the next week and then we can discuss that over the phone when we look at in the quick figures and see whether you need to go on another inhaler as well,and in the evening over the next week and then we can discuss that over and over again when we look at the quick figures and see whether you need to go on another inhaler as well
96,have you got any questions,have you got any questions,have you got any questions
97,thanks a lot bye,thanks ninety a lot bye,thanks a lot bye
98,how long ago was that that you had similar symptoms,how long ago was that that you had similar symptoms,how long ago was that that you had similar symptoms
99,and any problems with wheezing when you were a child or any asthma,and any problems with wheezing when you were a child or any asthma,and any problems with wheezing when you were a child or any asthma
100,uh date of birth twenty second of december nineteen ninety uh address uh sixteen avenue,uh date of birth twenty second of december nineteen ninety uh address uh sixteen avenue,uh date of birth twenty second of december nineteen ninety uh address uh sixteen avenue
101,uh its quite bad,uh its quite bad,uh its quite bad
102,yeah i take the asthma inhaler,yeah i take the asthma inhaler,yeah i take the asthma inhaler
103,no i cant remember,no i cant remember,no i cant remember
104,no not that bad but still sometimes need to go to hospital to check if it goes well,no nose that bad but still diro sometimes need to go to hospital to co check if correct goes well,no nose that bad but still i sometimes need to go to hospital to check if it goes well
105,few years ago like three or four years ago i think yeah,few years ago like three or four years ago i mm yeah,long ago like three or four years ago i mm yeah
106,yeah so i have i have cough and cough a lot and i have a fever um i also used to walk to work but recently i cant because its i i feel like very short of breath and sometimes i feel like i cant even finish sentence is quite difficult to to complete the the the talking sometimes yeah occasionally,yeah before i trigger have i have cough cough lot and i have a fever um i also used to tie walk to echo work but recently i cant because its 1st i i feel like very short of breath and sometimes i feel like n cant even finish sentence back banta difficult to to complete the the gps talking sometimes yeah occasionally ques,yeah before i have i i had cough cough lot and i has a fever um i also used to walk to work but recently i cant because its the 1st ii feel like very short of breath and sometimes i just cant even finish sentence back banta difficult to to complete the the gps talking sometimes yeah occasionally
107,no i dont think so,no i dont think so,no i dont think so
108,no chest pain no,no chest pain no,no chest pain no
109,no just daytime working yeah,no just daytime working yeah,no just daytime working yeah
110,ohh um when i had asthma i used to take this inhaler yeah,ohh um when i had asthma i ever used to take this inhaler yeah,ohh um when i had asthma i ever used to take this inhaler yeah
111,so um recently im wheezy uh i have feel like kind of short of breath,so um recently im wheezy uh i have feel like kind of short old of breath,so um recently im wheezy uh i have feel like kind of short of breath
112,um i took salbutamol salbutamol yeah,um i my salbutamol salbutamol yeah,um i have my salbutamol and i take it yeah
113,every every few weeks im not sure,every relax every few weeks im not sure,every few weeks im not sure
114,yeah yeah a bit,yeah yeah a bit,yeah yeah a bit
115,uh i have uh hay fever as well,uh i have hay going fever as well,uh i have hay fever as well
116,no i dont smoke,no i dont fine smoke,no i dont smoke
117,mmm two three days yeah quite recently,mmm two three days yeah quite recently,mmm two three days yeah quite recently
118,uh one glass of wine,uh sometime glass ae of wine,uh sometime glass of wine
119,every two or three days depends yeah,every two or three days often pretty,every two or three days often pretty
120,i live with my partner,i live with my partner,i live with my partner
121,no i cant because i used to walk walk to work but recently i i work from home or sometimes i take sick leave yeah,no i cant because i used to walk walk to work but recently i suppo work from home or sometimes i take sick leave yeah,no i cant because i used to walk walk to work but recently i work from home or sometimes i take sick leave yeah
122,um i think so it was a while before yeah but i cant remember,um i think so it was a while before moving yeah but i cant remember,um i think so it was a while before moving yeah but i cant remember
123,just walk or sometimes but currently i feel i feel well,just walk or sometimes zero but currently i feel i well,just walk or sometimes stand but currently i feel i well
124,yes i checked i have fever,yes i checked i have fever,yes i checked i have fever
