,refs,trans,model_corrected
0,okay and so just tell me i know you are on adalimumab and how it has been for you ,okay and so just tell me i know you are on adalimumab and how it has been,okay and so just tell me i know you are on adalimumab and how it has been
1,so initially i felt that the adalimumab really made a big improvement kind of get my life back yeah now its i think its wearing off ,so initially i felt that telling the adalimumab really made a big improvement kind of get my life imperative yeah now its i think its greatest wearing off,so initially i felt that telling the adalimumab really made a big improvement kind of in my life yeah now its i think its wearing off
2,okay and are you pretty good at taking it ,okay still are you pretty good at taking harry,okay still are you pretty good at taking harry
3,yeah im good at taking it  i always take it at every fortnight ,yeah im pictureandi at taking boats i always take it wit every,yeah im good at taking boats i always take it with me
4,okay and any abdominal pain ,okay and any locked pain,okay and any pain
5,yeah i do get some pain but ive had that for quite a long time now ,yeah i do get some pain but ive grandma that quite a long time now,yeah i do get some pain but ive been doing that quite a long time now
6,its been getting any worse recently ,its mat getting any worse recently,its not getting any worse recently
7,okay and any other medical conditions that you have ,okay and any better medical conditions that you have,okay and any better medical conditions that you have
8,so ive got arthritis and hay fever and asthma as well ,so ive got arthritis and any att fever and asthma as well,so ive got arthritis and any fever and asthma as well
9,okay and are you on any medications for those things ,to imperative eaten you on any medications for those things,to ask you on any medications for those things
10,just ansaid for my arthritis ,just on my arthritis,just on my arthritis
11,okay are you taking those regularly or ,it are you seema thirty regularly adeline,it are you regularly adeline
12,just kind of as when i need them i dont really like taking them ,collect kind when i need them i dont really like taking them,and when i need them i dont really like taking them
13,sure okay and do you have any sort of questions at the moment as to what might be going on or ,sure okay and you have any sort of questions bowl at the moment as to what be going on or for,sure okay and you have any sort of questions at the moment as to what be going on or why
14,what do you think is causing my symptoms of the moment ,what do think is causing my symptoms mine the moment,what do you think is causing my symptoms at the moment
15,so theres a few different things that could be going on one of them could be that as you sort of alluded to yourself that you might be coming your bodys not responding as well to the adalimumab so one of the things that well do today is check the levels of the drug in your body to make sure that your body is handling it as it should be it could also be that your crohns disease is a bit more active than usual so one of the things that we can do for that is check up fecal calprotectin which you will probably have had done before ,so theres a few different things tessas be going on one of them could that as you sort of alluded to wait that you might be coming your bodys not came as well to the adalimumab so one of things that well do today todo the levels of the drug in your body to make sure that shell body is handling injured should be it isnt could also be that your crohns disease only a bit more active than usual so one isnt of the things that we can do for that is check up fecal calprotectin which you will you probably have ones done ive,so theres a few different things that could be going on one of them could that as you sort of alluded to that you might be coming your bodys not came as well to the adalimumab so one thing that we well do today todo the levels of the drug in your body to make sure that the body is handling it properly and it should be it isnt could also be that your crohns disease is only a bit more active than usual
16,and thats just a stool test to check the inflammation we also need to send some samples off to make sure theres no infection there as well and well do some bloods to make sure you are not a knee make or needing any sort of a placement of your electrolytes okay what how does that sound to you ,and thats just a stool test to youre check the inflammation we anne lifelong to machine some samples off to make safe theres no infection there absorbed and well some bloods to looser honest you are not a knee make or needing any plan of a placement of your electrolytes okay re how does have that sound to you,and thats just a stool test to youre check the inflammation we annecdotally tried to machine some samples off to make sure theres no infection there and well some bloods to looser honest you are not a knee make or needing any plan of a placement of your electrolytes okay
17,you know that sounds fine im just worried that ill need to change my medication and ive been getting on quite well with the adalimumab ,you sounds fine im just worried ill need change my ko medication and ive woman getting on off with the adalimumab,you sounds fine im just worried ill need change my medication and ive been getting on with the adalimumab
18,so just a bit worried about that ,just a bit worried about videos,just a bit worried about videos
19,must be a bit disappointing when its been working so well ,must be a bit disappointing when its been working so well,must be a bit disappointing when its been working so well
20,okay i think well first of all get these basic investigations off it might be that we need to go on and get some more imaging of your abdomen in terms of mri scans or ct scans and also do a camera test or a colonoscopy to have a look at the tail end but well start with the basic investigations first and then we can decide about medication after does that sound okay ,okay i think well first of all get these faa investigations off it might be that we need to go on and get mum need imaging of your abdomen in terms of mri scans moshe ct scans and also better soon camera and or found colonoscopy to have a look at the tail body end but well start isnt the basic investigations seema and then we mouthon decide about medication after does us sound okay,okay i think well first of all get these investigations off it might be that we need to go on and get some imaging of your abdomen in terms of mri scans moshe ct scans and also better imaging and or colonoscopy to have a look at the tail body end but well start isnt the basic investigations and then we decide about medication after does us sound okay
21,yeah that sounds fine just also worried that i might need more surgery again ,yeah that idol fine also worried that i might need more surgery again,yeah that was fine but i was also worried that i might need more surgery again
22,okay what what makes you worried about needing surgery in particular ,okay seema what makes you worried about needing other surgery in particular,okay so what makes you worried about needing other surgery in particular
23,just took me quite a long time to recover last time ,just took me quite a wit time if to recover last time,just took me quite a time to recover last time
24,i just dont want more surgery ,i stop dont beerfor more surgery,i dont want more surgery
25,well it usually is a last resort for the people with inflammatory bowel disease so well do what we can with medication and hopefully you respond there are things we can do with your adalimumab to increase its dose or increase the frequency as well so there there are definitely other options other than surgery at the moment ,well data it usually is o last resort on for boring people with bowel disease so well do adelaida what wit can with medication and hopefully you there are things we can do with youre to increase its dose or increase the frequency as well so there there are bow other options other than surgery at the moment,well it usually is the last resort on for people with bowel disease so well do what you can with medication and hopefully you there are things we can do with youre to increase its dose or increase the frequency as well so there there have other options other than surgery at the moment
26,yeah that sounds fine thank you ,that sounds fine thank you,that sounds fine thank you
