,refs,trans,model_corrected
0,when i get up i see my skin vague,when i get up i see iran my skin vague,when i get up i see my skin vague
1,my lungs feel heavy like they are filled with mucus,my lungs feel heavy like they are filled with mucus,my lungs feel heavy like they are filled with mucus
2,i carried a heavy bag yesterday and when i get up today i felt a great shoulder pain,i it carried a heavy has bag and when blurred get up today i felt a great shoulder pain,i carried a heavy bag and when i get up today i felt a great shoulder pain
3,my knee is hurting so badly,my strength is hurting so badly,my strength is hurting so badly
4,every time i look to left i feel a sharp pain in my neck,every time i look to left i feel a sharp pain in my neck,every time i look to left i feel a sharp pain in my neck
5,my hair is falling out after i take a shower,my hair is falling out after when i take a shower,my hair is falling out after when i take a shower
6,i feel joint pain every time i move,i feel joint pain every i move,i feel joint pain every time i move
7,when i force my eyes to view i have blurry vision,when i like force come eyes to view i have blurry hug vision,when i force my eyes to view i have blurry vision
8,i was travelling by ship and i feel dizzy,i was sciu ship and i feel bag,i was on a ship and i feel baggy
9,when i played football i dislocated my shoulder,i played football i dislocated my shoulder,when i played football i dislocated my shoulder
10,i have a blurry vision and i cant see in the darkness  what is the reason doctor ,i have a blurry vision and i cant see or in the darkness what is the reason doctor,i have a blurry vision and i cant see or in the darkness  what is the reason doctor 
11,i am always cold even when i am wearing layers,i am always feeling cold even when i am wearing layers,i am always feeling cold even when i am wearing layers
12,i had an accident and my wound was open when i arrived to hospital,i had an accident and my wound was stick when i arrived even to hospital,i had an accident and my wound was open when i arrived to hospital
13,i have a hard muscle pain since i went to the gym,i have a hard muscle senses pain since i went to the gym,i have a hard muscle pain since i went to the gym
14,there is a sharp pain in my bicep i have tried to apply pain relief cream but it does not help,there no is a sharp pain in my bicep i have to apply pain relief cream but it does not help,there is a sharp pain in my bicep i have to apply pain relief cream but it does not help
15,redness swelling and difficulty walking,redness swelling and difficulty walking,redness swelling and difficulty walking
16,i do not know why i feel cold,i do not know why i feel cold,i do not know why i feel cold
17,my knees swell right below the knee cap and hurt when i put weight on them,my knees swell just right below the knee cap and hurt when i put weight on hold,my knees swell just right below the knee cap and hurt when i put weight on them
18,i have cloudy eyes,i have cloudy eyes,i have cloudy eyes
19,the nerves were so damaged during the operation on my ankle that i cannot stand being touched on the scar,the nerves were so damaged during the operation on my ankle that i cannot stand being its sho on the scar,the nerves were so damaged during the operation on my ankle that i cannot stand being on the scar
20,i got acne when i ate chili,i got acne when i ate chili,i got acne when i ate chili
21,my entire body is freezing,my entire body is cough freezing,my entire body is freezing
22,i feel very hard to breathe,tissues feel very hard to breathe,i feel very hard to breathe
23,i have muscle pain at my left leg,i have muscle pain at my left leg,i have muscle pain at my left leg
24,it is like i have a needle pushing through my heart,it is like i have a needle needs pushing through heart,it is like i have a needle pushing through my heart
25,i had alot of exercise yesterday so i feel sharp muscle pains,i yeah had alot of exercise yesterday severe i feel sharp muscle pains,i yeah had alot of exercise yesterday and i feel sharp muscle pains
26,the area around my heart doesnt feel good,the area around my heart doesnt feel good they,the area around my heart doesnt feel good
27,i feel a pain on the left side of my chest where my heart is,i feel a pain on the left side of my where my heart is,i feel a pain on the left side of my heart where my chest is
28,my abdominal muscles have great pain since i was at gym,my abdominal muscles have great pain since i was at gym,my abdominal muscles have great pain since i was at gym
29,when i extend my leg there is pain in knee joint,when i extend my leg there is pain in knee joint,when i extend my leg there is pain in knee joint
30,i have a great stomach ache and i cant eat any thing,i have a great stomach ache and i cant eat any thing,i have a great stomach ache and i cant eat any thing
31,i have pain but i cant specify place,i have pain but i cant place,i have pain but i cant place it
32,i cannot breathe because of this dull ache below my left shoulder,i of this dull below my left shoulder,i have this dull pain below my left shoulder
33,i feel a pain in my back when i sit on a chair for long,i feel a pain in flash my back when i sit on a chair for long,i feel a pain in my back when i sit on a chair for long
34,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,my daughter had her and it pulled each an of skin in of her brows that is now puffy and oozing,my daughter had an operation and it pulled a lot of skin in of her brows that is now puffy and oozing
35,had i stepped on a needle it wouldnt have hurt so much like this damned spur in my heel,had use i stepped on a needle it wouldnt have hurt so much like this damned spur in my heel,had i stepped on a needle it wouldnt have hurt so much like this damned spur in my heel
36,i have some pain when im walking around my knees,co have some pain when im walking around my knees,i have some pain when im walking around my knees
37,i cut myself and im bleeding,i cut myself and im bleeding,i cut myself and im bleeding
