,refs,trans,model_corrected
0,when i get up i see my skin vague,i up see skin vague,when i stand up i see my skin vague
1,my lungs feel heavy like they are filled with mucus,heavy like they with,heavy things feel like they are filled with mucus
2,i carried a heavy bag yesterday and when i get up today i felt a great shoulder pain,i carried heavy bag yesterday when i get up today felt a great pain,i carried a heavy bag yesterday and when i get up today i felt a great shoulder pain
3,my knee is hurting so badly,my knee hurting so badly,my knee is hurting so badly
4,every time i look to left i feel a sharp pain in my neck,every look to left i feel sharp pain my neck,every time i look to my left i feel a sharp pain in my neck
5,my hair is falling out after i take a shower,my hair is falling after a,my hair is falling out after a shower
6,i feel joint pain every time i move,i feel joint i move,i feel joint pain whenever i move
7,when i force my eyes to view i have blurry vision,when force my,when i force my breath i feel dizzy
8,i was travelling by ship and i feel dizzy,was by ship and dizzy,i was travelling by ship and suddenly feel dizzy
9,when i played football i dislocated my shoulder,i football i dislocated my,when i played football i dislocated my shoulder
10,i have a blurry vision and i cant see in the darkness  what is the reason doctor ,have a vision i cant in the what is the doctor,i have a blurry vision and i cant see in the darkness what is the reason doctor 
11,i am always cold even when i am wearing layers,cold wearing,i feel cold when im wearing layers
12,i had an accident and my wound was open when i arrived to hospital,i an when i arrived hospital,i had an ear ache when i arrived to hospital
13,i have a hard muscle pain since i went to the gym,have a hard muscle since i went to the gym,i have a hard muscle pain since i went to the gym
14,there is a sharp pain in my bicep i have tried to apply pain relief cream but it does not help,a sharp in my bicep to apply pain but it does,i have a sharp pain in my bicep when i try to apply pain relief cream but it does not help
15,redness swelling and difficulty walking,redness difficulty walking,redness and difficulty walking
16,i do not know why i feel cold,not why feel,not sure why i feel this way
17,my knees swell right below the knee cap and hurt when i put weight on them,my right the and hurt i put weight on,my right shoulder is sore at the moment and it hurt when i put weight on it
18,i have cloudy eyes,i have eyes,i have blurry vision in my eyes
19,the nerves were so damaged during the operation on my ankle that i cannot stand being touched on the scar,the nerves were so damaged during the operation on my ankle that i stand touched the scar,the nerves were so damaged during the operation on my ankle that i cant stand when i touched the scar
20,i got acne when i ate chili,when i,when i stand up i feel dizzy
21,my entire body is freezing,entire is freezing,my entire body is freezing
22,i feel very hard to breathe,i very to,i feel very cold
23,i have muscle pain at my left leg,i have pain at my left leg,i have pain at my left leg
24,it is like i have a needle pushing through my heart,it is i needle pushing through my,it is like i have a needle pushing through my shoulder
25,i had alot of exercise yesterday so i feel sharp muscle pains,i had alot of exercise so feel sharp muscle,i had alot of exercise so i feel a sharp muscle pain
26,the area around my heart doesnt feel good,around my heart doesnt feel good,the area around my heart doesnt feel good
27,i feel a pain on the left side of my chest where my heart is,i feel pain the side my my is,i feel pain on the left side of my chest where my my heart is
28,my abdominal muscles have great pain since i was at gym,my abdominal have pain since gym,my abdominal muscles have been sore since i went to the gym
29,when i extend my leg there is pain in knee joint,when i extend is pain in joint,when i extend my arm there is pain in my joint
30,i have a great stomach ache and i cant eat any thing,have a stomach and i cant eat any,i have a stomach ache and i cant eat any food
31,i have pain but i cant specify place,i have pain i cant specify place,i have shoulder pain but i cant specify place
32,i cannot breathe because of this dull ache below my left shoulder,i cannot because of this ache below my left shoulder,i cannot walk because of this ache below my left shoulder
33,i feel a pain in my back when i sit on a chair for long,i feel back i a for long,i feel pain in my back when i walk a lot for long
34,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,daughter had eyebrows threaded and it pulled an opening one her brows is now puffy and oozing,my daughter had her eyebrows threaded and it pulled an opening in one of her brows that is now puffy and oozing pus
35,had i stepped on a needle it wouldnt have hurt so much like this damned spur in my heel,had on needle wouldnt like spur my heel,if i had to carry on a needle it wouldnt like to spur my heel
36,i have some pain when im walking around my knees,i some pain im walking around knees,i have some pain when im walking around my knees
37,i cut myself and im bleeding,cut bleeding,i have a cut that is bleeding
38,my hair is coming out in chunks especially when i wash it,my hair coming out chunks i wash it,my hair is coming out in chunks when i wash it
39,there are lots of hairs on my pillow in the morning,there are lots my pillow in the morning,there are lots of hairs on my pillow in the morning
40,i have a head pain every single day,i have a pain single,i have a pain every single day
41,when i get out of bed in the morning my body feels very weak,when get of bed in the morning my feels weak,when i get out of bed in the morning my body feels weak
42,when i play sports  i have some burning sensation in my spine,when i play sports i,when i play sports i have muscle pain
43,my foot hurts and i cant turn it  maybe its broken,my i cant turn it maybe,my head hurts and i cant turn it  maybe
44,i have a dull ache in my stomach  it gets worse after i eat,have a my stomach it gets worse after i,i have a pain in my stomach and it gets worse after i eat
45,my knee doesnt want to bend well,doesnt want well,my body doesnt want to bend well
46,in the morning my respiration is loud,the morning my loud,when i wake up in the morning my ears are loud
47,i was very active in sports but now my body is feeling pain,i was very in but is feeling pain,i was very active in sports but now my body is feeling pain
48,i cant hear out of my ear properly i feel like there is something in it causing irritation,i cant ear properly feel there in it,i cant hear out of my ear properly i feel pain there in it
49,i can hardly move my neck  it hurts,hardly move my neck hurts,i can hardly move my neck  it hurts
50,i have a sharp pain in my lower stomach,have sharp my lower stomach,i have a sharp pain in my lower stomach
51,it feels like my heart is going to leap out of my body it hurts,it feels like my to out of my body,it feels like my heart is going to leap out of my body
52,im having a hard time hearing,im having hard time,im having a hard time breathing
53,there is a tingling sensation in my neck,there a tingling in neck,there is a tingling in my neck
54,i have shooting pains up and down my back,i have shooting pains up and down back,i have shooting pains up and down my back
55,i have a sharp pain in my abdomen,i have pain my abdomen,i have pain in my abdomen
56,is my cut infected or just healing,is my cut or just healing,is my cut infected or just healing
57,my knee feels weak and it gave way the other day at the top of the stairs  luckily there was a rail to hold on to,my feels weak and it gave the other day at top the stairs there was a to hold,my body feels weak and it gave way the other day at the top of the stairs and there was a sharp pain to hold on to
58,mr hair is falling out just by combing it,mr is falling out combing it,my mr hair is falling out after combing it
59,my heart is pumping fast and im having a hard time to breath,my heart im a hard to,my heart hurts and im having a hard time to breath
60,i think theres fluid in my ears,think in my ears,i cant think with my ears
61,i hit myself and the would doesnt want to heal,i hit and to,i hit myself and it hurts
62,after eating  i have burning sensation inside of me,after eating have burning sensation of me,after eating  i have burning sensation in the back of me
63,even if the temperature is high in the house  my body is always cold,even if the temperature is high in the is always cold,even if the temperature is high in the house  it is always cold
64,my acne is really embarassing its so read,acne really embarassing so read,my acne is really embarassing so i read alot online
65,i have the impression of having no strength in my body,i have the having no strength,i have difficulty moving the knee having no strength
66,i have constant stomach pain and bloating,i stomach and bloating,i have a stomach ache and bloating
67,my sore isnt healing well and its been like this for two weeks,my sore isnt healing and been like this two,my sore isnt healing well and its been like this for two weeks
68,my head hurts in the back and the pain lasts all day,head hurts in the back pain lasts all day,my head hurts in the back and the pain lasts all day
69,i have a rash and it itches very bad,a rash and it itches bad,i have a rash and it itches so bad
70,i feel really sad all the time,i really the time,i feel really sad all the time
71,my husband left me for another woman my heart hurts so badly to the point i cant eat or sleep,husband left me another my heart hurts badly to i cant,my husband left me for another woman my heart hurts so badly to the point i cant stand anymore
72,when im driving my eyes see in double,im driving double,im driving double
73,i have some terrible problems when im breathing during the night,some terrible when breathing night,some terrible pain when youre breathing at night
74,i have pain in my chest that saddens me,i pain chest that saddens me,i have pain in my chest that saddens me
75,it itches inside my ears,it ears,it hurts my ears
76,my heart feels like its going to explode,my heart feels its to explode,my heart feels like its going to explode
77,is pimples a skin disease,is a skin disease,is there a skin disease
78,when i eat sugar i notice my vision blurs,when i eat sugar i notice blurs,when i eat sugar i notice my vision blurs
79,something dark is there on my arm,something dark my,something dark is in my eyes
80,i cant turn my neck to the left without feeling a stabbing pain,i turn to the left without feeling pain,i cant turn to the left without feeling pain
81,i get chills and aches all over,chills and aches all,i have chills and aches all over
82,after playing tennis  i had a powerful sensation close to my neck,after playing i powerful sensation close,after playing football i have a powerful sensation close to my neck
83,i cannot get warm no matter how much i wrap up or how high i put the heating on,i cannot get warm matter how much or how high i the heating on,i cannot get warm no matter how much or how high i put the heating on
84,my hair is falling out in bunches,is out bunches,my hair is falling out in bunches
85,my shoulder hurts when i try to reach something above my head,shoulder when i to head,my shoulder hurts when i try to turn my head
86,i knocked my foot and it really hurts,i knocked my and it really,i knocked my head and it really hurts
87,even though im an adult my face keeps breaking out in pimples,though im an adult face breaking out,even though im an adult my face is breaking out in pimples
88,when im tired i feel my head heavy,feel head heavy,i feel my head heavy
89,i have a scab on the back of my hand that just wont go away,i have scab on the back of my that wont go away,i have a scab on the back of my hand that wont go away
90,i have a cut that is red and swollen,i a cut is and swollen,i have a cut that is red and swollen
91,my skin is very dry and peeling,my skin is very and,my skin is very dry and peeling
92,i have a dull ache in  my lower back which makes it difficult to move,a dull in my which to,i have a dull ache in my foot which makes it difficult to walk
93,theres swelling in my neck and it hurts,theres swelling in my neck it hurts,theres swelling in my neck and it hurts
94,my sore looks like its not healing well,like not,i feel like im not good
95,i hit my head at the basketball game  could i have a concussion,i hit my head at basketball game could have a concussion,i hit my head at the basketball game i could have a concussion
96,my ear is ringing,my is ringing,my ear is ringing
97,when im doing sport i have pain under my skin,have pain skin,i have pain in my skin
98,i have a pain that radiates up from my right hip to my rib cage  it is at its worst when i urinate,i have a pain that radiates up to my it at worst when,i have a pain that radiates up to my neck and it is worse at worst when i stand up
99,my knees seem to grind as i go up or down stairs,my knees grind as i go up down,my knees grind as i go up or down stairs
100,when i eat too much sugar my body gets weak and dizzy,i eat my gets dizzy,when i eat too much sugar my body gets dizzy
101,my acne itches and oozes,oozes,my face oozes pimples
102,my stomach feels full and upset  and bloating after big meals,my feels and and after big,my head feels dizzy and lightheaded after big meals
103,my knees swell right below the knee cap and hurt when i put weight on them,my knees right below the knee and hurt them,my knees ache right below the knee and it hurt to bend them
104,i had alot of exercise yesterday so i feel sharp muscle pains,had of exercise i feel sharp muscle pains,after i had a lot of exercise i feel sharp muscle pains
105,i lose a lot of my hair,i lose a lot of my hair,i lose a lot of my hair
106,im not good im feeling so cold,im good im feeling so,im not good im feeling so cold
107,i have pain but i cant specify place,have but i cant specify place,i have pain but i cant specify place
108,i need a kind of cream wich make my muscles more relaxed,i need cream wich my muscles more relaxed,i need some cream wich make my muscles more relaxed
109,laceration rupture or opening in the skin,laceration rupture or skin,laceration rupture or opening in the skin
110,the nerves were so damaged during the operation on my ankle that i cannot stand being touched on the scar,during my ankle i cannot stand touched on scar,during the operation on my ankle i cannot stand being touched on the scar
111,i feel a pain in my back when i sit on a chair for long,i feel pain my when sit a,i feel pain in my back when i sit on a chair
112,when i wake up i am feeling cold,when i wake am feeling cold,when i wake up i am feeling cold
113,i have an ear ache when showering,i an showering,i have an ear ache after showering
114,my infected wound caused a fever,my wound caused a,my wound caused a skin rash
115,i have a pain in my elbow joint,have a in my joint,i have a pain in my joint
116,severe pain in the upper left side of chest and may have pain to back,severe pain in the side of may have to back,severe pain in the left side of my neck i may have to extend my arm back
117,when i lift my arms up i have a soreness in my shoulders,i my up i have a in my shoulders,when i stand up i have a pain in my shoulders
118,i feel a pain on the left side of my chest where my heart is,a left side my chest my heart,i have a pain on my left side of my chest where my heart is
119,my abdominal muscles have great pain since i was at gym,my abdominal muscles have great pain since i was at gym,my abdominal muscles have great pain since i was at the gym
120,my stomach has been sore since yesterday,my stomach has been sore yesterday,my stomach has been sore since yesterday
121,redness swelling and difficulty walking,redness swelling,redness swelling
122,i feel pain in my head with a vertigo,feel in with a vertigo,i feel pain in my head with a vertigo
123,i have a back pain since i fell on the floor,i have back pain i fell,i have back pain since i fell out of bed
124,i feel great pressure in my chest,i pressure in chest,i feel great pressure in my chest
125,my hand open wound got infected,my hand got infected,my hand got infected
126,i feel a sharp pain in my stomach,i a sharp pain in my stomach,i have a sharp pain in my stomach
127,i chopped off the tip of my finger while i was cutting some cardboard and i cannot stop the bleeding,i off the tip finger while was cutting some and stop the,i cut off the tip of my finger while i was cutting some cardboard and i cant stop the bleeding
128,i used to be out of breath after going up a dozen of stairs but now i struggle to breath even when i sit down,to be out of after up a of stairs but now i breath when sit,i used to be out of breath after going up a flight of stairs but now i cant breath when i sit down
129,my head hurts when im doing this,hurts when doing,my back hurts when doing sport
130,there is acne on my face,there is on,there is a sharp pain on my shoulder
131,i have a problem in the expiration because i have abronchial asthma,i have a in the expiration because asthma,i have a pain in the expiration because of my asthma
132,i have cloudy eyes,i have cloudy eyes,i have cloudy eyes
133,i have a lot of knee pain whenever i go running,have lot knee whenever i running,i have a lot of pain in my knee whenever i am running
134,i fell off my bike and since then i had hard  knee pain,i fell off and i had hard knee pain,i fell off my bike and i had a hard time walking with knee pain
135,why is my shoulder aching when i try to pick up the laundry,why shoulder aching when i try pick laundry,my shoulder is aching when i try to pick up my laundry
136,when i extend my leg there is pain in knee joint,i my leg there pain knee joint,when i bend my leg there is pain in the knee joint
137,when i played football i dislocated my shoulder,when i played,when i was young i played football
138,when i sneeze very hard i feel ear ache,sneeze hard ache,when i sneeze my chest has a hard ache
139,it feels like someone stuck a knife into my shoulder,feels someone a knife,it feels like someone stuck a knife into my throat
140,i feel like my heart is on fire,feel like my is fire,i feel like my chest is on fire
141,i read a book for along time and when i finished reading i feel head ache,read a book time i finished reading i feel head,i read a book and by the time i finished reading i feel dizzy in my head
142,i cant really jump on my left foot because my triple fracture of the ankle left me with neverending pains,i cant jump on my left foot my triple ankle me with,i cant jump on my left foot  my triple ankle is killing me with pain
143,i feel joint pain every time i move,feel joint pain every time move,i feel joint pain every time i move
144,i have a pain in my head,i have pain my,i have pain in my stomach
145,i feel great pain in my feet after playing one of the sports games,feel my feet after playing one games,i feel pain in my feet after playing one of my sports games
146,there is a red stain in my skin,red stain skin,red stain on my skin
147,i have disterbance in my emotion,in my emotion,there is a sharp pain in my emotion
148,stiffness inability to look right or left except by moving the whole body,stiffness to look right or left except by body,stiffness to look right or left except by moving the whole body
149,i have muscle pain at my left leg,muscle pain my,i have muscle pain in my back
150,i love to walk and be outside but the bottoms of my feet get sore so quickly,i love to walk and be outside but of sore quickly,i love to walk and be outside but the back of my foot is sore so quickly
