,refs,trans,model_corrected
0,no thats all fine,no thats all fine,no thats all fine
1,uh nothing up in here but just constant streaming like using a million tissues,uh up in but streaming like using,uh i woke up in the morning but i was still not streaming anything like i should be using
2,no its pretty green,pretty green,my hair is pretty green
3,uh i ive been feeling really hot um i dont know if its fever as such but like to touch im quite hot but sometimes im feeling really chilly needing to be under a blanket that sort of thing,feeling really um dont know fever as but like to touch im quite sometimes im really to under that sort of,um im feeling really um i dont know if the fever is as bad as it sounds but like when im trying to touch my face im quite dizzy sometimes and im really struggling to look under that sort of thing
4,uhh no i havent,uhh no i,uh no i dont think so
5,uh seven three four court in st,seven four court in,uh seven four five five six six seven seven eight in the court in front of me
6,uhh yes um kind of around when it started i had some diarrhoea but i dont know if that was associated but since then its all been pretty fine,um kind of it i but know that associated been fine,um i kind of thought it was i i but i dont know that associated with it ive been fine
7,rashes uhh no nothing like that,nothing,no nothing nothing
8,no um ive had quite achy muscles but thats pretty much it,um had quite achy muscles thats much it,um i had quite achy muscles but thats pretty much it
9,uh i mean like if i do intense exercise then yes but not,mean like i intense not,i mean like i feel intense but not necessarily physical
10,no uh ive got hypertension um so im on some drugs for that um but thats it really,no hypertension um so im on some that but thats,no hypertension um so im on some medication for that but thats ok
11,uh just the hypertension and the diabetes,the and,the pain is intense and it throbs
12,yeah yeah i am,yeah yeah i am,yeah yeah i am
13,uh i think something called metformin and lisinopril i think is the other one,i think called metformin think is one,i think its something called metformin i think that is one of them
14,uh ooh uh a while ago um,ooh uh a,ohh uh i work in a pharmaceutical company
15,uh i cant remember,uh i,uh no i dont think so
16,yeah it was normal it was around three weeks ago,it was was around three weeks,it was it was around three weeks
17,uh no not particularly,uh not,uh not really
18,uh my height is five foot five and my weight is sixty five kilograms,height is five five and my weight sixty,my height is five five and my weight is sixty
19,um well like five days ago i started having problems like a cough and my nose is just constantly streaming,five ago having like a cough my nose is just streaming,five days ago i was having like a cough and my nose is just streaming
20,yes the odd cherry,yes the,yes yes i can hear the clicking
21,uh my partner and my dog,my and dog,my husband and my dog are injured
22,uh yes im an office manager,uh im an office,uh im in an office
23,um uh a quite a few lemon sips um they seems to be helping,uh quite few sips to be helping,uh quite a few sips seem to be helping
24,uh maybe two or three maybe like at the start of the day and at the end of the day,or three like at the start of the and the day,um maybe two or three times a day like at the start of the week and throughout the day
25,yeah it tends to soothe my throat a bit for when im going to sleep,yeah it my a bit im sleep,yeah it hurts my ear a bit when im trying to sleep
26,uh i sometimes suffer from some like hay fever but um but its not bad,i fever not,i have a fever and i can not sleep
27,not that im aware of no,not aware of no,not aware of no
28,ok i can just get one of those at a pharmacy or something,or something,i feel dizzy or something
29,yeah normally im diabetic but other than that like generally pretty good,yeah than that good,yeah more than that thats good
30,ok so then we would at potentially antibiotics at that time perhaps,so we at potentially at that time,so we can look at something potentially at that time
31,um no thats all fine,um thats fine,um thats fine
32,im not at home,not at,not at all
33,alright thanks so much bye,alright so bye,alright so bye bye
34,yeah five days or so ago,yeah five days so,yeah five days so
35,uh its quite bad its kind of quite dry um,its kind of quite,its kind of quite annoying
36,im coughing maybe every twenty thirty minutes or so,coughing every twenty minutes,i have a coughing every twenty minutes
37,hi there its doctor smith from babylon can you confirm your name date of birth and your address please,doctor smith from babylon can you confirm name of and address please,hi doctor smith from babylon can you confirm your name and address please
38,ok thats fine are you in a private place so you can have a consultation,ok thats fine are you can have consultation,ok thats fine are you in a private place where you can have a consultation
39,ok and when you were a child how bad was your asthma,and were a child was,and when you were a child i was diagnosed with eczema
40,did you have to take medication,did have take medication,did you have to take any medication
41,do you know which ones you took,which took,which one did you take
42,and did you ever have to go to hospital with it,and ever have go with it,ok and ever have you tried to go with it
43,did you ever get severely unwell have to be on intensive care unit or anything like that,ever severely unwell be on intensive unit or,if you ever feel severely unwell you should be on an intensive care unit or hospital
