,refs,trans,model_corrected
0,okay and so just tell me i know you are on adalimumab and how it has been for you ,okay and so tell me i you are adalimumab and how has been for you,ok and so tell me i think you are using adalimumab and how has it been for you
1,so initially i felt that the adalimumab really made a big improvement kind of get my life back yeah now its i think its wearing off ,i felt that the really made improvement of get yeah think wearing,um i felt that the really made the improvement of my vision get a bit worse yeah i think i was wearing glasses
2,okay and are you pretty good at taking it ,okay you pretty good at,ok are you pretty good at sports
3,yeah im good at taking it  i always take it at every fortnight ,yeah im at always at every,yeah im at work always at the same time every day
4,okay and any abdominal pain ,abdominal,i have abdominal pain
5,yeah i do get some pain but ive had that for quite a long time now ,i do pain ive had for a long now,i do have pain in my back ive had it for a long time now
6,its been getting any worse recently ,its getting recently,its been getting worse recently
7,okay and any other medical conditions that you have ,okay and any other medical conditions have,ok and any other medical conditions have you had
8,so ive got arthritis and hay fever and asthma as well ,so got and asthma well,ok so youve got eczema and asthma as well
9,okay and are you on any medications for those things ,okay and are things,ok and are you allergic to any things
10,just ansaid for my arthritis ,just my arthritis,just my arthritis
11,okay are you taking those regularly or ,okay are you or,ok are you allergic to any medication or anything
12,just kind of as when i need them i dont really like taking them ,just as when need them i dont like them,just as when i need them i dont like them
13,sure okay and do you have any sort of questions at the moment as to what might be going on or ,sort of questions moment as what might be on or,ok and um any sort of questions at the moment as to what might be going on or
14,what do you think is causing my symptoms of the moment ,do moment,do you have any pets at the moment
15,so theres a few different things that could be going on one of them could be that as you sort of alluded to yourself that you might be coming your bodys not responding as well to the adalimumab so one of the things that well do today is check the levels of the drug in your body to make sure that your body is handling it as it should be it could also be that your crohns disease is a bit more active than usual so one of the things that we can do for that is check up fecal calprotectin which you will probably have had done before ,theres a few different things could be on you to might be coming bodys not as adalimumab so one that well do check levels drug in make sure that is it should could be that your crohns disease is a than usual can do for that is check which you will probably had done before,so theres a few different things that could be going on you know they seem to might be coming from bodys not as well as adalimumab so one thing that might well do is check the levels of the drug in your system to make sure that is ok it should be ok that your crohns disease is getting a bit worse than usual so something that we can do for you is well check your blood pressure which you will probably have done before
16,and thats just a stool test to check the inflammation we also need to send some samples off to make sure theres no infection there as well and well do some bloods to make sure you are not a knee make or needing any sort of a placement of your electrolytes okay what how does that sound to you ,check we also to off to sure as well well do make you are a knee make or sort of your electrolytes okay what how that,and check your blood pressure we also need to check off your urine to make sure as well well do we make you aware that you are having a knee ache do you make any sort of replenishment of your electrolytes okay what how much is that
17,you know that sounds fine im just worried that ill need to change my medication and ive been getting on quite well with the adalimumab ,you fine im just worried that ill need and getting on quite with adalimumab,youre fine im just worried that ill need to make sure that youre getting on quite well with adalimumab
18,so just a bit worried about that ,just a bit about,ok and just a little bit more about that
19,must be a bit disappointing when its been working so well ,must be a bit disappointing its been working,that must be a bit disappointing its not been working
20,okay i think well first of all get these basic investigations off it might be that we need to go on and get some more imaging of your abdomen in terms of mri scans or ct scans and also do a camera test or a colonoscopy to have a look at the tail end but well start with the basic investigations first and then we can decide about medication after does that sound okay ,okay well all these investigations it might be to go and get more of your terms of mri scans or scans and also do camera test colonoscopy a look at the end but well start with investigations and then we decide okay,ok well after all these investigations it might be advisable to go and get a bit more of your history in terms of mri scans or brain scans and also do a camera test colonoscopy a look at the end of the colon but well start with those investigations and then we decide whether youre okay
21,yeah that sounds fine just also worried that i might need more surgery again ,that fine just worried might need,that sounds fine i just worried that might need to be checked
22,okay what what makes you worried about needing surgery in particular ,what makes about needing in,what makes you worried about needing a treatment in the first place
23,just took me quite a long time to recover last time ,just a long to last,just a long time to last
24,i just dont want more surgery ,i just want more,i just want to know more about it
25,well it usually is a last resort for the people with inflammatory bowel disease so well do what we can with medication and hopefully you respond there are things we can do with your adalimumab to increase its dose or increase the frequency as well so there there are definitely other options other than surgery at the moment ,is a for the with disease so well can medication hopefully respond there are we can your adalimumab to increase its or frequency as well so there other than surgery the,is a treatment for the bone disease so well we can give you some medication and hopefully if you dont respond to that there are things that can be done which can increase your adalimumab to increase its dose or its frequency as well so there is no other options other than surgery at the moment
26,yeah that sounds fine thank you ,yeah sounds fine thank you,yeah that sounds fine thank you
