,refs,trans,model_corrected
0,okay and so just tell me i know you are on adalimumab and how it has been for you ,okay and so just ll tell me i know very you how are on adalimumab and how it has down been for you,ok and so just tell me i know you how are on adalimumab and how it has been for you
1,so initially i felt that the adalimumab really made a big improvement kind of get my life back yeah now its i think its wearing off ,so initially i him felt that herself the adalimumab really made a big improvement kind of get my re life had back yeah now its i think its wearing couldn off does,so initially i felt that the adalimumab really made a big improvement kind of get my life back yeah now i think its wearing off
2,okay and are you pretty good at taking it ,okay and are weren you pretty good at taking it,ok and are you pretty good at taking it
3,yeah im good at taking it  i always take it at every fortnight ,yeah ain im good at taking it i re always itself take it at every with fortnight,yeah im good at taking it i always take it at every fortnight
4,okay and any abdominal pain ,okay and shan any abdominal theirs pain,ok and any abdominal pain
5,yeah i do get some pain but ive had that for quite a long time now ,yeah i themselves do get some pain but ive had that for quite a long time now,yeah i do get some pain but ive had that for quite a long time now
6,its been getting any worse recently ,its been getting any worse recently,its been getting any worse recently
7,okay and any other medical conditions that you have ,okay and few any other medical some conditions that you dont have doesn,ok and any other medical conditions that you dont have
8,so ive got arthritis and hay fever and asthma as well ,so ive got arthritis and hay fever and asthma as their well,so ive got arthritis and hay fever and asthma as well
9,okay and are you on any medications for those things ,okay and are you on any more medications for those things youd,ok and are you on any more medications for those things
10,just ansaid for my arthritis ,just ansaid ma for my off arthritis,just ansaid for my arthritis
11,okay are you taking those regularly or ,okay are you taking those regularly isnt or,ok are you taking those regularly or
12,just kind of as when i need them i dont really like taking them ,just kind of as when i arent need them i dont really like taking them,just kind of when i need them i dont really like taking them
13,sure okay and do you have any sort of questions at the moment as to what might be going on or ,sure okay and do his you have any sort of questions at the nor moment before as to what was might be going on or,sure okay and do you have any sort of questions at the moment as to what was going on or
14,what do you think is causing my symptoms of the moment ,what do you think is causing my symptoms of the moment,what do you think is causing my symptoms of the moment
15,so theres a few different things that could be going on one of them could be that as you sort of alluded to yourself that you might be coming your bodys not responding as well to the adalimumab so one of the things that well do today is check the levels of the drug in your body to make sure that your body is handling it as it should be it could also be that your crohns disease is a bit more active than usual so one of the things that we can do for that is check up fecal calprotectin which you will probably have had done before ,so theres a few both different things that could be going on one yourself of them could havent be wouldnt that as you sort of alluded to yourself that you might be coming your bodys not responding it as were well to the those adalimumab so one few of the things that well do between today is check the levels werent of the drug in your body not to make sure that youll your body does is handling it as it should be it could these also be that your crohns disease is a bit more shant active than other usual so one of whom the things that we can do for that is check if up fecal calprotectin which you will probably have had done before had,so theres a few different things that could be going on one of them could also be that you sort of alluded to yourself that she might be your bodys not responding as well to the adalimumab so one few of the things we do today is check the levels of drug in your body to make sure that your system is handling it as it should be it could have also been that my crohns disease is a bit more active than other usual so this of course is the thing that we
16,and thats just a stool test to check the inflammation we also need to send some samples off to make sure theres no infection there as well and well do some bloods to make sure you are not a knee make or needing any sort of a placement of your electrolytes okay what how does that sound to you ,and its thats just havent a is stool test to check the inflammation we also shouldnt need to send some samples off mustn to make sure theres shouldn no infection there as about well and well do some herself bloods to make sure you are not a knee make or youll needing any sort of a placement of your electrolytes okay what his how does that sound to you ve,and thats just a stool test to check the inflammation we also need to send some samples off to make sure theres no infection there as well and well do some bloods to see sure you are not a knee make or needing any sort of a placement of your electrolytes okay what how does that sound to you
17,you know that sounds fine im just worried that ill need to change my medication and ive been getting on quite well with the adalimumab ,you know that sounds above fine his im me just worried that how ill need to change my medication and their ive been getting on quite well with the adalimumab,you know that sounds fine im just worried that ill need to change my medication and ive been getting on quite well with the adalimumab
18,so just a bit worried about that ,so mustnt just each a bit worried about that,so just a bit worried about that
19,must be a bit disappointing when its been working so well ,must be their a bit disappointing why when its been working so well,must be a bit disappointing why its been working so well
20,okay i think well first of all get these basic investigations off it might be that we need to go on and get some more imaging of your abdomen in terms of mri scans or ct scans and also do a camera test or a colonoscopy to have a look at the tail end but well start with the basic investigations first and then we can decide about medication after does that sound okay ,okay we i think well first of all get these just basic investigations off it ain might their be that down we hadn need to its go on and get in some more imaging some of your own abdomen in terms of mri scans or ct scans and ll also only do a didn camera test or a colonoscopy to have a look at the tail end but when well start with the should basic investigations am first and then thatll we can decide that about medication after does that through sound okay an,ok i think well first of all get these just basic investigations it might be that we need to go on and get some more imaging some of your abdomen in terms of mri scans or ct scans and also do a camera test or a colonoscopy to have a look at the tail end but well start with the basic Investigations first and then we can decide that about medication does that sound okay
21,yeah that sounds fine just also worried that i might need more surgery again ,yeah that their sounds fine just also worried that i might and need more surgery again can,yeah that sounds fine just also worried that i might need more surgery again
22,okay what what makes you worried about needing surgery in particular ,okay what what makes you hadn worried about re needing surgery in theirs particular,ok what what makes you worried about needing surgery in particular
23,just took me quite a long time to recover last time ,just took me quite a long time to are recover last time,just took me quite a long time to recover last time
24,i just dont want more surgery ,i just dont than want more they surgery,i just dont want more surgery
25,well it usually is a last resort for the people with inflammatory bowel disease so well do what we can with medication and hopefully you respond there are things we can do with your adalimumab to increase its dose or increase the frequency as well so there there are definitely other options other than surgery at the moment ,well it usually is a last resort for the people with inflammatory re bowel own disease so well do what we can with about medication and hopefully you respond there are out things we can shant do with your adalimumab to under increase its dose or increase the frequency as well so there there are definitely other options other than surgery at the moment,well it usually is a last resort for the people with inflammatory bowel disease so well do what we can with medication and hopefully you respond there are things we should do with your adalimumab to increase its dose or increase the frequency as well so there definitely other options other than surgery at the moment
26,yeah that sounds fine thank you ,yeah that sounds fine thank you,yeah that sounds fine thank you
