,refs,trans,model_corrected
0,no thats all fine,no thats all dine,no thats all fine
1,uh nothing up in here but just constant streaming like using a million tissues,uh nothing cup in here but just constant streaming like using a million tissues,uh nothing up in here but just constant streaming like using a million tissues
2,no its pretty green,au its pretty aldin,no its pretty pain
3,uh i ive been feeling really hot um i dont know if its fever as such but like to touch im quite hot but sometimes im feeling really chilly needing to be under a blanket that sort of thing,uh i ive been feeling billie cot um i dont know dif its fever as such but like to touch dim quite hot but sometimes im feeling really chilly needing do be under a blanket batt sort of thing,uh i ive been feeling really hot um i dont know if its fever as such but like to touch im quite hot but sometimes im feeling pretty chilly needing to be under a blanket that sort of thing
4,uhh no i havent,uhh au i havent,uhh no i havent
5,uh seven three four court in st,ca seven three four abort in st,uh seven three four abort in st
6,uhh yes um kind of around when it started i had some diarrhoea but i dont know if that was associated but since then its all been pretty fine,uhh abs um bind of round when it started i add some gonorrhea but i dont know if batt was associated but dinse then bits all been chitty fine,uhh yes um kind of round when it started i had some diarrhoea but i dont know if that was associated but since then its all been pretty fine
7,rashes uhh no nothing like that,rashes uhh au nothing like batt,rashes uhh no nothing like that
8,no um ive had quite achy muscles but thats pretty much it,no um ive had quite achy muscles but thats chitty buch it,no um ive had quite achy muscles but thats pretty much it
9,uh i mean like if i do intense exercise then yes but not,uh i mean like dif y do intense exercise then yes but not,uh i mean like if i do intense exercise then yes but not
10,no uh ive got hypertension um so im on some drugs for that um but thats it really,au uh ive got apprehension um so dim on alum drugs for that um but thats it really,so uh ive got hypertension um so im on some drugs for that um but thats it really
11,uh just the hypertension and the diabetes,uh just the hypertension and the diabetes,uh just the hypertension and the diabetes
12,yeah yeah i am,yeah yeah i am,yeah yeah i am
13,uh i think something called metformin and lisinopril i think is the other one,uh y think something called metformin and lisinopril i blink is the other one,uh i think something called metformin and lisinopril i drink is the other one
14,uh ooh uh a while ago um,uh ooh uh a while ago um,uh ooh uh a while ago um
15,uh i cant remember,uh i aunt remember,uh i cant remember
16,yeah it was normal it was around three weeks ago,yeah it was formal it was around three weeks ago,yeah it was formal it it is around three weeks ago
17,uh no not particularly,uh no not particularly,uh no not particularly
18,uh my height is five foot five and my weight is sixty five kilograms,uh my alight is five foot five and ai weight is sixty five kilograms,uh my height is five foot five and my weight is sixty five kilograms
19,um well like five days ago i started having problems like a cough and my nose is just constantly streaming,um well like dive days ago i started having problems like a joffe and my nose is bust constantly streaming,um well like five days ago i started having problems like a cough and my nose is just constantly streaming
20,yes the odd cherry,yes the odd cherry,yes the odd cherry
21,uh my partner and my dog,uh ai cartner and my dog,uh my cartner and my dog
22,uh yes im an office manager,ca yes im an office manager,uh yes im an office manager
23,um uh a quite a few lemon sips um they seems to be helping,um uh a quite a few lemon dips um they beams to ab yelping,um uh a quite a few lemon dips um they seem to be helping
24,uh maybe two or three maybe like at the start of the day and at the end of the day,ca maybe two or three maybe like at the start of the aaa and at the end of the aaa,uh maybe two or three maybe like at the start of the day and atthe end ofthe day
25,yeah it tends to soothe my throat a bit for when im going to sleep,pah bit tends to boothe my throat a bit for when dim going do sleep,yeah it tends to boothe my throat a bit for when im going to sleep
26,uh i sometimes suffer from some like hay fever but um but its not bad,ca i sometimes buffer alum some like hay fever but um but its not bad,uh i sometimes suffer from some like hay fever but um but its not bad
27,not that im aware of no,not that im aware of no,not that im aware of no
28,ok i can just get one of those at a pharmacy or something,ok i can just bet one of those at a pharmacy or something,ok i can just get one of those at a pharmacy or something
29,yeah normally im diabetic but other than that like generally pretty good,yeah normally dim athletic but other than that bike generally pretty hood,yeah normally im athletic but other than that like generally pretty good
30,ok so then we would at potentially antibiotics at that time perhaps,ok so then ab would bat potentially antibiotics bat that time knapps,ok so then we would at potentially antibiotics at that time perhaps
31,um no thats all fine,um no thats all fine,um no thats all fine
32,im not at home,im cot at home,im not at home
33,alright thanks so much bye,alright banks so much api,alright thanks so much bye
34,yeah five days or so ago,yeah five days or so apo,yeah five days or so ago
35,uh its quite bad its kind of quite dry um,ca bits quite bad bits kind gov quite api um,uh its quite bad its kind of quite dry um
36,im coughing maybe every twenty thirty minutes or so,im coughing maybe every twenty thirty minutes or so,im coughing maybe every twenty thirty minutes or so
37,hi there its doctor smith from babylon can you confirm your name date of birth and your address please,hi there its doktor blyth from babylon can you confirm abor name date of birth and your address please,hi there its doctor smith from babylon can you confirm your name date of birth and your address please
38,ok thats fine are you in a private place so you can have a consultation,a thats fine are you in a private place so ado can have a consultation,ok thats fine are you in a private place so you can have a consultation
39,ok and when you were a child how bad was your asthma,a and when you were a child how bad was your asthma,ok and when you were a child how bad was your asthma
40,did you have to take medication,bid ado halve to take abdication,did you have to take medication
41,do you know which ones you took,do you aglo ditch ones you took,do you know which ones you took
42,and did you ever have to go to hospital with it,and did ado ever have to go to hospital with it,and did you ever have to go to hospital with it
43,did you ever get severely unwell have to be on intensive care unit or anything like that,did ado ever bet severely unwell halve to be on intensive ayre unit or anything like that,did you ever get severely unwell have to be on intensive care unit or anything like that
44,did you have to miss school,did you have to miss bruehl,did you have to miss anyone
45,ok and when do you think it last when do you think that asthma stopped at what age did you get to a point where you werent taking medication anymore,ok and when do you think it last amen do you think that miasma stopped bat what age did you get to a point abair you werent taking medication anymore,ok and when do you think it last when did youThink that asthma stopped at what age didyou get to a point where you werent taking medication anymore
46,and so this time how did it start did you have any other symptoms any chest pain temperature cold symptoms anything like that,and so this time how did it start did you halve any other symptoms any chest pain temperature bold symptoms anything bike batt,and so this time how did it start did you have any other symptoms any chest pain temperature cold symptoms anything like that
47,right have you coughed any phlegm up or anything like that,right have you coughed beni phlegm up or anything like that,right have you coughed any phlegm up or anything like that
48,what can i do for you today,what can i du for you today,what can i do for you today
49,any any um blood in there when you cough,any beni um blood in there when you joffe,any any um blood in there when you cough
50,ok and any chest pain,ok and beni chest aine,ok and any chest pain
51,have you been woken up at night time at all,have you been woken cup at night time bat aul,have you been woken up at night time at all
52,have you been able to do any exercise,have you been able to do any exercise,have you been able to do any exercise
53,ok and do you have a peak flow meter at home where you measure your breathing,a and du you have a peak flow meter bat home where you leasure abor breathing,ok and do you have a peak flow meter at home where you measure your breathing
54,you have whats called a peak flow meter which you breathe into to get a score on your breathing,you have whats called a peak flow meter which you breathe into to get a score on your breathing,you have whats called a peak flow meter which you breathe into to get a score on your breathing
55,and do you normally take any asthma inhalers over the last few years,and do ado normally take any asthma inhalers dover the last few years,and do you normally take any asthma inhalers over the last few years
56,you do so you said you stopped them three to four years ago,you du so you said you stopped am three do four years ago,you do so you said you stopped am three to four years ago
57,ok how about over the last three to four years,ok how about over the last three to abor years,ok how about over the last three to four years
58,have you taken any medication,have you bacon any abdication,have you taken any medication
59,ok and how long has that been going on for,ok and how long has that adin owing bon for,ok and how long has that been going on for
60,ok so you you normally take that do you or is that just recently,a so you you normally take that do ado or is that just recently,ok so you you normally take that to you or is that just recently
61,ok and how often do you normally need it,ok and how often du you normally need it,ok and how often do you normally need it
62,ok what about when you exercise normally do you have to use medication uh inhalers,ok what about when ado exercise normally do you halve to use medication uh mailers,ok what about when you exercise normally do you have to use medication uh inhalers
63,ok um and do you take any other medications,ok um and do you take beni other medications,ok um and do you take any other medications
64,any other medical problems,any other medical problems,any other medical problems
65,ok do you take anything for that,ok do you ache anything for that,ok do you take anything for that
66,and any allergies to medications,and any allergies do medications,and any allergies to medications
67,do you drink any alcohol regularly,do ado drink any accival regularly,do you drink any alcohol regularly
68,and have you ever had similar symptoms in the past,and have you ever had similar symptoms in the past,and have you ever had similar symptoms in the past
69,how often have a glass of what,aue often have a amass of what,how often have a loss of what
70,every how often did you say,reverie aue often did you say,how often did you say
71,and who do you live with at home,and who du you live with at home,and who do you live with at home
72,who do you live with at home,who do you live with at home,who do you live with at home
73,who do you live with do you live on your own or do you live with,who do you live with do you live on your mon or du you live with,who do you live with do they live on your own or doyou smoke with
74,ok and whats your job day to day,a and whats your bob day do day,ok and whats your job day to day
75,and have you been at work in the last few days,and have you adin at berk in the last few days,and have you been at work in the last few days
76,ok and when at the moment are you um feeling short of breath when youre sitting still or just when you walk,ok and when at the moment are you um feeling abort of breath when youre sitting still or bust when ado balk,ok and when at the moment are you um feeling short of breath when youre sitting still or just when they walk
77,are you able to get up and down the stairs ok,aer you abel to get up and down the stairs ok,are you able to get up and down the stairs ok
78,right ok um and did you say you were finding it hard to complete your sentences,right ok bum and did you say you were finding it hard to complete your sentences,right ok um and did you say you were finding it hard to complete your sentences
