,refs,trans,model_corrected
0,when i get up i see my skin vague,amen y get up i abd my adin vague,when i get up i see my skin vague
1,my lungs feel heavy like they are filled with mucus,my rungs feel heavy bike they are filled with mucus,my lungs feel heavy like they are filled with mucus
2,i carried a heavy bag yesterday and when i get up today i felt a great shoulder pain,y intermarried a levee bag breakaway and amen y bet up allay y felt a great beholder pain,i carried a heavy bag yesterday and when i get up today i felt a great shoulder pain
3,my knee is hurting so badly,my knee is hurting au adley,my knee is hurting so badly
4,every time i look to left i feel a sharp pain in my neck,every beim i look to deft i beal a harpe pain in my neck,every time i look to left i feel a sharp pain in my neck
5,my hair is falling out after i take a shower,my hair is colling out after i take a shower,my hair is falling out after i take a shower
6,i feel joint pain every time i move,y beal joint aine reverie beim i duve,i feel joint pain every time i move
7,when i force my eyes to view i have blurry vision,when i borse ai ayes to view y halve blurry divison,when i force my eyes to view i have blurry vision
8,i was travelling by ship and i feel dizzy,i ahs travelling by ship and i feel dizzy,i was travelling by ship and i feel dizzy
9,when i played football i dislocated my shoulder,when y played birdsall y dislocated my shoulder,when i played football i dislocated my shoulder
10,i have a blurry vision and i cant see in the darkness  what is the reason doctor ,y halve a churry divison and i aunt see in the darkness abut ms the reason doctor,i have a blurry vision and i cant see in the darkness  what is the reason doctor 
11,i am always cold even when i am wearing layers,y bam always cold beavin when i am bearing bayers,i am always cold even when i am wearing layers
12,i had an accident and my wound was open when i arrived to hospital,i had an accident and ai bound ahs open when y arrived do hospital,i had an accident and my wound was open when i arrived to hospital
13,i have a hard muscle pain since i went to the gym,i have a bard muscle pain since i went to the gym,i have a hard muscle pain since i went to the gym
14,there is a sharp pain in my bicep i have tried to apply pain relief cream but it does not help,there ms a harpe pain in ai bicep i have tried do apply pain relief cream cut it buzz cot delp,there is a sharp pain in my bicep i have tried to apply pain relief cream but it does not help
15,redness swelling and difficulty walking,redness dwelling and difficulty balking,redness swelling and difficulty walking
16,i do not know why i feel cold,i do not aglo api i beal bold,i do not know why i feel cold
17,my knees swell right below the knee cap and hurt when i put weight on them,ai apcs abele bight aglow the knee cap and bert when i put weight bon am,my knees swell right below the knee cap and hurt when i put weight on them
18,i have cloudy eyes,y halve cloudy ayes,i have cloudy eyes
19,the nerves were so damaged during the operation on my ankle that i cannot stand being touched on the scar,the curves were so damaged during the operation bon ai ankle batt y cannot bland geeing touched bon the scar,the curves were so damaged during the operation on my ankle that i cannot stand being touched on the scar
20,i got acne when i ate chili,i got blakney amen i aydt chili,i got acne when i ate chili
21,my entire body is freezing,ai attire oddi ms pleasing,my attire oddi is pleasing
22,i feel very hard to breathe,y beal airy bard do sheathe,i feel very hard to breathe
23,i have muscle pain at my left leg,i halve muscle pain bat my deft leg,i have muscle pain at my left leg
24,it is like i have a needle pushing through my heart,it is bike y have a needle pushing carilou ai ahart,it is like i have a needle pushing through my heart
25,i had alot of exercise yesterday so i feel sharp muscle pains,y had alot of exercise breakaway so i feel sharp muscle aynes,i had alot of exercise yesterday so i feel sharp muscle pains
