,refs,trans,model_corrected
0,okay and so just tell me i know you are on adalimumab and how it has been for you ,okay and so just tell me i aglo ado aer on adalimumab and aue it baz adin cor ado,ok and so just tell me i know you are on adalimumab and how it has been for you
1,so initially i felt that the adalimumab really made a big improvement kind of get my life back yeah now its i think its wearing off ,so judicially y belt batt the adalimumab really made a big improvement kind of get my fife adak yeah now bits y think bits wearing boff,so initially i felt that the adalimumab really made a big improvement kind of get my wife back yeah now its i think its wearing off
2,okay and are you pretty good at taking it ,kay and are ado chitty good bat aching bit,kay and are you pretty good at taking it
3,yeah im good at taking it  i always take it at every fortnight ,yeah dim hood at aching bit i always ache bit bat every allbright,yeah im good at taking it i always take it at every meal
4,okay and any abdominal pain ,okay and any phenomenal aine,ok and any abdominal pain
5,yeah i do get some pain but ive had that for quite a long time now ,yeah y du get some aine cut ive had batt cor quite a aung time aue,yeah i do get some pain but ive had that for quite a long time now
6,its been getting any worse recently ,its adin getting beni burse recently,its been getting any worse recently
7,okay and any other medical conditions that you have ,kay and any other medical conditions that you halve,kay and any other medical conditions that you have
8,so ive got arthritis and hay fever and asthma as well ,so ive cot arthritis and hay fever and miasma as well,so ive got arthritis and hay fever and asthma as well
9,okay and are you on any medications for those things ,okay and are you on beni medications cor arose things,ok and are you on any medications or those things
10,just ansaid for my arthritis ,bust inlaid for my gastritis,just hoped for my arthritis
11,okay are you taking those regularly or ,okay aer you taking those irregularly or,ok are you taking those regularly or
12,just kind of as when i need them i dont really like taking them ,just kind of as when i bead them y dont billie like taking them,just kind of as when i need them i dont really like taking them
13,sure okay and do you have any sort of questions at the moment as to what might be going on or ,sure kay and du ado halve any sort of questions at the moment as to abut might be going on or,sure they and do you have any sort of questions at the moment as to what might be going on or
14,what do you think is causing my symptoms of the moment ,what du you blink ms causing my symptoms of the moment,what do you think is causing my symptoms of the moment
15,so theres a few different things that could be going on one of them could be that as you sort of alluded to yourself that you might be coming your bodys not responding as well to the adalimumab so one of the things that well do today is check the levels of the drug in your body to make sure that your body is handling it as it should be it could also be that your crohns disease is a bit more active than usual so one of the things that we can do for that is check up fecal calprotectin which you will probably have had done before ,so theres a few different things batt goode ab going bon bun gov them goode ab that baz ado bort gov brooded do themself that you might be coming your bodys not absconding as well do the adalimumab so bun of the things that adel du today ms check the levels gov the drug in abor oddi to make sure batt your oddi ms shandling it baz it schuld ab bit could also ab batt abor crohns disease ms a fit more active than usual au bun gov the brings that ab ahn du for batt ms blech cup fecal calprotectin which ado will amphorae halve add done before,so theres a few different things that could be going on one of them could me that has you sort of brooded to yourself that you might be coming your bodys not responding as well to the adalimumab so that of course is check the levels of the drug in your body
16,and thats just a stool test to check the inflammation we also need to send some samples off to make sure theres no infection there as well and well do some bloods to make sure you are not a knee make or needing any sort of a placement of your electrolytes okay what how does that sound to you ,and thats just a abdul test do check the inflammation we also bead do bend alum examples off do make sure theres au advection abair baz well and well do alum bloods do ache sure you aer cot a knee make or beading any sort gov a basement gov abor overexcites okay abut aue does that sound to ado,and thats just a stool test to check the inflammation we also need to send some samples off to make sure theres no infection there as well and well to some bloods to take sure you are not a knee make or playing any sort of a basement of your overexcites okay what how does that sound to you
17,you know that sounds fine im just worried that ill need to change my medication and ive been getting on quite well with the adalimumab ,you know that sounds dine im bust curried that ill need to grange ai abdication and ive adin betting bon bight adel with the adalimumab,you know that sounds fine im just worried that ill need to arrange my medication and ive been getting on quite well with the adalimumab
18,so just a bit worried about that ,au just a bit worried about that,no just a bit worried about that
19,must be a bit disappointing when its been working so well ,bust ab a bit appointing when bits adin working so well,just be a bit concerned when its been working so well
20,okay i think well first of all get these basic investigations off it might be that we need to go on and get some more imaging of your abdomen in terms of mri scans or ct scans and also do a camera test or a colonoscopy to have a look at the tail end but well start with the basic investigations first and then we can decide about medication after does that sound okay ,okay i blink adel first of all bet these hesik accommodations boff bit might be that ab bead do au bon and get alum abor imaging of your frohman in berms gov api scans cor ort anns and also du a camera test cor a colonoscopy to halve a book bat the bail end cut adel ahart with the basic investigations first and then ab ahn allied bout medication after does batt sound kay,ok i think well first of all get these medications first it might be that we need to go on and get some more imaging of your abdomen in terms of eye scans or ort anns and also do a camera test or a colonoscopy to have a look at the bail end but well start with the basic investigations first and then we can decide about medication after does that sound good
21,yeah that sounds fine just also worried that i might need more surgery again ,pah that sounds fine just also curried that i bight need more surgery again,yeah that sounds fine just also worried that i might need more surgery again
22,okay what what makes you worried about needing surgery in particular ,kay what what makes you worried bout needing perjury in testicular,ay what what makes you worried about needing surgery in particular
23,just took me quite a long time to recover last time ,just book me quite a aung beim to uncover bast time,just book me quite a long time to book last time
24,i just dont want more surgery ,y just dont font abor surgery,i just dont want more surgery
25,well it usually is a last resort for the people with inflammatory bowel disease so well do what we can with medication and hopefully you respond there are things we can do with your adalimumab to increase its dose or increase the frequency as well so there there are definitely other options other than surgery at the moment ,adel it usually is a bast resort cor the seiple with inflammatory dowel adorees au well du what ab can with abdication and hopefully ado abscond there aer things we can do with abor adalimumab to brocious its gros or increase the frequency baz well au there there aer indefinitely uther options other anne perjury at the moment,well it usually is a last resort for the person with inflammatory bowel disease so well do what we can with medication and hopefully you know there are things we could do with your adalimumab to replenish its levels or increase the frequency as well so there there were definitely other options other than medication at the moment
26,yeah that sounds fine thank you ,yeah that bounds dine banke ado,yeah that sounds fine thank you
