,refs,trans,model_corrected
0,um and have you had a temperature do you feel like youve been feverish or had a temperature with this,um and have you had a temperature do you feel like youve been feverish or had a temperature with this,um and have you had a temperature do you feel like youve been feverish or had an temperature with this
1,um and any did you you said you didnt have any lower back pain,um and then did you you said you didnt have any low back pain,um and then did you you said you didnt have any low back pain
2,ok and have you had these symptoms before,ok and have you had these symptoms before,ok and have you had these symptoms before
3,and your date of birth,and your date of birth,and your date of birth
4,and was there anything you were doing recently which you think may have contributed to it have you have you been doing lots of exercise been dehydrated um been having regular sexual intercourse or anything,and was there anything you were doing recently which you think may have contributed to it have you been have you been doing lots of exercise been dehydrated um been having regular sexual intercourse or anything,and was there anything you were doing recently which you think may have contributed to it have you been have your been doing lots of exercise been dehydrated um been having regular sexual intercourse or anything
5,no ok and any any other symptoms any vaginal discharge or anything like that,no ok and any any other symptoms any vaginal discharge or anything like that,no ok and any any other symptoms any vaginal discharge or anything like that
6,no do you have regular periods,ok do you have regular periods,ok do you have regular periods
7,um and in the past have you had any medical problems at all,um and uh in the past have you had any medical problems at all,um and uh in the past have you had any medical problems at all
8,have you had any problems with your kidneys or any urine infections,have you had any problems with your kidneys or any urine infections,have you had any problems with your kidneys or any urine infections
9,and hows that been recently any change in your bowel habit any blood when you pass stool,and how has that been recently any change in your bowel habit any blood when you pass stool,and how has that been recently any change in your bowel habit any blood when you pass stool
10,in your ok um any change in your bowel habit any weight loss or anything,in your ok um any change in your bowel habit any weight loss or anything,in your ok um any change in your bowel habit any weight loss or anything
11,ok are you in a private place so you can have a consultation today,ok are you in a private place so you can have a consultation today,ok are you in a private place so you can have a consultation today
12,any other medical problems or surgery in the past,any other medical problems or surgery in the past,any other medical problems or surgery in the past
13,do you take regular medications,do you take regular medications,do you take regular medications
14,do you take that regularly,do you take that regularly,do you take that regularly
15,ok and it do you take it three times a day,ok and it do you take it three times a day,ok and it do you take it three times a day
16,youre allergic to clindamycin ok,youre allergic to clindamycin ok,youre allergic to clindamycin ok
17,and anyone in your family had any medical problems,and anyone in your family had any medical problems,and anyone in your family had any medical problems
18,ok what can i do for you,ok what can i do for you,ok what can i do for you
19,thats fine and whereabouts do you live do you live with friends family,thats fine and whereabouts do you live do you live with friends family,thats fine and whereabouts do you live doyou live with friends family
20,ok and where do you work whats your job,ok and where do you work whats your job,ok and where do you work whats your job
21,ok do you drink alcohol at all,ok do you drink alcohol at all,ok do you drink alcohol at all
22,so how much in a average week,so how much in an average week,so how much in an average week
23,ok and do you smoke,ok do you smoke,ok do you smoke
24,ok um it sounds very much like you might have an infection in your urine did you say you havent felt feverish,ok um it sounds very much like you might have an infection in your urine did you say you havent felt feverish,ok um it sounds very much like you might have an infection in your urine did you say you havent felt feverish
25,have you got a thermometer at home,have you got a thermometer at home,have you got a thermometer at home
26,ok it would be helpful if you could get a thermometer from the pharmacy and do check your temperature just to make sure that it isnt going up and down,ok it would be helpful if you could get a thermometer from the pharmacy and do check your temperature just to make sure that it isnt going up and down,ok it would be helpful if you could get a thermometer from the pharmacy and to check your temperature just to make sure that it isnt going up and down
27,um normally we can treat this infection without having to test your urine uh with with a course of antibiotics,um normally we can treat this infection without having to test your urine uh with with a course of antibiotics,um normally we can treat this infection without having to test your urine uh with with a course of antibiotics
28,um how do you feel about that are you happy to take a course of antibiotics,um how would you feel about that are you happy to take a course of antibiotics,um how would you feel about that are you happy to take a course of antibiotics
29,ok and how long has that been going on for,ok and how long has that been going on for,ok and how long has that been going on for
30,it would just be for three days,it would just be for three days,it would just be for three days
31,yes so i can send a prescription through to your requested pharmacy for that if you take them as soon as you can get them pick them up as soon as you can and start taking them,yes so i can send a prescription through to your requested pharmacy for that if you take them as soon as you can get them pick them up as soon as you can and start taking them,yes so i can send a prescription through to your requested pharmacy for that if you take them as soon as you can get them pick them up as quickly as they can and start taking them
32,the other thing which is important to do is to drink lots of water so two and a half to three litres a day,the other thing which is important to do is to drink lots of water so twenty five to three liters a day,the other thing which is important to do is to drink lots of water so twenty five to three liters a day
33,um you can get some cranberry juice and take drink that as well that sometimes helps and also some sachets um which you can get from the chemist some sachets which just help change the acidity of your urine so i i can put the details of that on your notes,um you can get some cranberry juice and take drink that as well that sometimes helps and also some sachets um which you can get from the chemist and sas which just help change the acidity of your urine so i i can put the details of that on your notes,um you can get some cranberry juice and take drink that as well that sometimes helps and also some sachets um which youcan get from the chemist and sas which just help change the acidity of your urine so i i can put the details of that on your notes
34,um if you feel like your pain is getting worse or not settling you get lower back pain um or youre getting a high temperature or you have any problems actually passing urine then its very important that we speak to you again,um if you feel like your pain is getting worse or not settling you get lower back pain um or youre getting a high temperature or you have any problems actually passing urine then its very important that we speak to you again,um if you feel like your pain is getting worse or not settling you get lower back pain um or youre getting a high temperature oryou have any problems actually passing urine then its very important that we speak to you again
35,um the other thing is that if it becomes a common thing or a recurrent problem then we need to talk to you again about it,and the other thing is if it becomes a common thing or recurrent problem then we need to talk to you again about it,and the other thing is if it becomes a common thing or recurrent problem then we need to talk to you again about it
36,no not if youre better if youre if you feel like your symptoms get worse at any point or theyre not resolving with the treatment or you keep getting a similar um you keep getting a similar problem reccurently then its important for us to talk talk to you in more detail about that,no not if youre better if you if you feel like your symptoms get worse at any point or theyre not resolving with the treatment or you keep getting a similar um you keep getting a similar problem recurrently then its important for us to talk talk to you in more detail about that,no not if youre better if it ifyou feel like your symptoms get worse at any point or theyre not resolving with the treatment or you keep getting a similar um you kept getting an similar problem recurrently then its important for us to talk talk to you in more detail about that
37,um have you got any other questions,um have you got any other questions,um have you got any other questions
38,um so have you already requested a pharmacy through babylon,um so have you already requested a pharmacy through babylon,um so have you already requested a pharmacy through babylon
39,can i just check that with you,can i just check that with you,can i just check that with you
40,ok thats fine so the antibiotics that im gonna prescribe um will go through to that pharmacy,ok thats fine so the antibiotics that im gonna prescribe um will go through to that pharmacy,ok thats fine so the antibiotics that im gonna prescribe um will go through to that pharmacy
41,and then youll be able to pick them up from there,and then youll be able to pick them up from there,and then youll be able to pick them up from there
42,um i would give it longer than that give it a an hour or so,um i would give it longer than that give it an hour or so,um i would give it longer than that give me an hour or so
43,ok all right then take care bye,ok all right then take care bye,ok all right then take care bye
44,six days ok and just tell me a bit more about that how did it start,six days ok and just tell me a bit more about that how did it start,six days ok and just tell me a bit more about that how did it start
45,ok and have you had any other symptoms along with that have you had any abdominal pain or back lower back pain at all,ok and have you had any other symptoms along with that have you had any abdominal pain or ba lower back pain at all,ok and have you had any other symptoms along with that haveyou had an abdominal pain or ah lower back pain at all
46,hi my name is susan um thirty redbridge street sw two two hz,hi my name is susan um thirty redbridge street s w2 two hz,hi my name is susan um thirty redbridge street s w2 two hz
47,forty oh two nineteen seventy four,"fourteen o2 one thousand, nine hundred and seventy four","twelve o2 one thousand, nine hundred and seventy four"
48,yes but ive had spotted uh blood in my urine spots,yes but ive had spotted uh blood in my urine spots,yes but ive had spotted uh blood in my urine spots
49,no not at all,no not at all,no not at all
50,um and no loin pain as well,um and no low in pain as well,um and no low in pain as well
51,no just the blood spot in my,no just the blood spot in my,no just the blood spot in my
52,i had ibs before,i had i bs before,i had i bs before
53,yeah ive had spotting in my urine,yeah ive had spotting in my urine,yeah ive had spotting in my urine
54,it hurts when i pee,it hurts when i pee,it hurts when i pee
55,ive had mebeverine mebeverine ive had mebeverine,ive had ive had meine,ive had ive has pain
56,i live with friends,i live with friends,i live with friends
57,one glass of wine a week,one glass of wine a week,one glass of wine a week
58,no fever at all,no fever at all,no fever at all
59,yes i would be,yes i would be,yes i would be
60,so do i have to call after i finish my course of antibiotics,so do i have to call after i finish my course of antibiotics,so do i have to call after i finish my course of antibiotics
61,uh no uh where will be the pharmacy ill be picking up my medication from,uh no uh what would be the pharmacy ill be picking up my medication from,uh no uh what would be the pharmacy ill be picking up my medication from
62,um ive got this thing when i pee and it hurts when i go to the loo and ive got this very unpleasant smell that comes out,um ive got this sting when i pee and it hurts when i go to the loo and ive got this very unpleasant smell that comes out,um ive got this sting when i pee and it hurts when I go to the loo and ives gotthis very unpleasant smell that comes out
63,how soon is that gonna be at the practice in five minutes,how soon is that gonna be at the practice in five minutes,how soon is that gonna be at the practice in five minutes
