,refs,trans,model_corrected
0,i feel dizzy whenever i stand up,i feel dizzy whenever i stand up,i feel dizzy whenever i stand up
1,when i stand up too quickly i feel as though im going to faint,when i stand up too quickly i feel as though im going to faint,when i stand up too quickly i feel as though im going to faint
2,i feel a boneonbone pain in my knees when i climb stairs,i feel a bone on bone pain in my knees when i climb stairs,i feel a bone on bone pain in my knees when i climb stairs
3,i cannot get warm no matter how much i wrap up or how high i put the heating on,i cannot get warm no matter how much i wrap up or how high i put the heating on,i cannot get warm no matter how much i wrap up or how high i put the heating on
4,i think theres something wrong with my wound it does not seem to heal like it should,i think there is something wrong with my wound it does not seem to heal like it should,i think there is something wrong with my wound because it does not seem to heal like it should
5,my foot hurts and i cant turn it  maybe its broken,my foot hurts and i cant turn it maybe its broken,my foot hurts and i cant turn it maybe its broken
6,is my cut infected or just healing,it might get in fact or just healing,it might get in fact or just healing
7,i was very active in sports but now my body is feeling pain,i was very active in sports but now my body is feeling pain,i was very active in sports but now my body is feeling pain
8,i cant hear out of my ear properly i feel like there is something in it causing irritation,i cant hear out of my ear properly i feel like there is something in it causing irritation,i cant hear out of my ear properly and i feel like there is something in it causing irritation
9,i have front head pain and when i get it the light bothers me,i have front head pain and when i get it the light bothers me,i have front head pain and when i get it the light bothers me
10,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better,i cut my hand a couple of weeks ago and even though i keep using an antibiotic cream its not getting better
11,i cut myself and im bleeding,i cut myself and i am bleeding,i cut myself and i am bleeding
12,when i eat too much sugar my body gets weak and dizzy,when i do my sugar my body gets weak and dizzy,when i do my sugar intake my body gets weak and dizzy
13,my head hurts and i lose the sensation in my face then lose sight in my eye,my head hurts and i lose sensation in my face i lose sight in my eye,my head hurts and i lose sensation in my face and when i cry i can lose sight in the eye
14,even if the temperature is high in the house  my body is always cold,even if the temperature is high in the house my body is always cold,even if the temperature is high in the house my body is always cold
15,i broke my ankle while doing rock climbing in the carpathians,i broke my ankle while doing rock climbing in car at the end,i broke my ankle while doing rock climbing in a car at the end of my day
16,i have a sharp pain in my lower stomach,i have a sharp pain in my lower stomach,i have a sharp pain in my lower stomach
17,i cant turn my neck to the left without feeling a stabbing pain,i cant turn my neck to the left without feeling a stabbing pain,i cant turn my neck to the left without feeling a stabbing pain
18,my hair is falling out in bunches,my hair is falling out in bunches,my hair is falling out in bunches
19,i have some terrible problems when im breathing during the night,i have some terrible problems when im breathing during the night,i have some terrible problems when im breathing during the night
20,my heart feels like its going to explode,my heart feels like its going to explode,my heart feels like its going to explode
21,it feels like my heart is going to leap out of my body it hurts,it feels like my heart is going to leap out of my body it hurts,it feels like my heart is going to leap out of my body and it hurts
22,im having a hard time hearing,i am having a hard time hearing,i am having a hard time hearing
23,my body feels weak after my first day in the gym why,my body feels weak after my first day in the gym why,my body feels weak after my first day in the gym why
24,after walking i have some pain under my foot,after walking i had some pain under my foot,after walking i had some pain under my foot
25,when i eat sugar i notice my vision blurs,when i had sugar i noticed my vision blurred,when i had sugar i noticed my vision blurred
26,there is a tingling sensation in my neck,there is a tingling sensation in my neck,there is a tingling sensation in my neck
27,my sore isnt healing well and its been like this for two weeks,my sore isnt healing well and its been like this for two weeks,my sore throat isnt healing well and its been like this for two weeks
28,there is pain in my joints i can not bear pain,there is pain in my joints i cannot be a pain,there is pain in my joints but i cannot be a cause of pain
29,my skin is itchy and inflamed,my skin is itchy and inflamed,my skin is itchy and inflamed
30,i had a cut that was stitched together but it is not healing  it is oozing green puss and burns,i had a cut that was stitched together but it is not healing it is bruising green pus and burns,i had a cut that was stitched together but it is not healing it has bruising green pus and burns
31,i feel a great amount of pressure of my head,i feel a great amount of pressure of my head,i feel a great amount of pressure of my head
32,my stomach feels full and upset  and bloating after big meals,my stomach feels full and upset and blotting after big meals,my stomach feels full and upset and blotting after big meals
33,my heart is beating fast and it scares me,my heart is beating fast and it scares me,my heart is beating fast and it scares me
34,i have a dull ache in my stomach  it gets worse after i eat,i have a dull ache in my stomach it gets worse after i eat,i have a dull ache in my stomach it gets worse after i eat
35,my right shoulder clicks when i move my arm,my right when i move my eye,my right eyelid moves when i move my eye
36,i feel great pain in the head,i feel great pain in the hip,i feel great pain in the hip
37,i am worried how cold intolerant i am i am always shivering even out in the sun,i dont know how,however i dont know how
38,when i stand i feel dizzy i do not know why,when i stand i feel dizzy i do not know,when i stand i feel dizzy and i do not know why
39,i hit the ground when trying to shoot a basketball,i hate the ground when trying to se the room,i hate the ground when trying to se the room
40,my son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected,my son and nick is not with the become pain,however my son and nick is not compatible with the pain
41,i feel fluid trying to come up when i cough,and she was going to,and she was going to be discharged
42,i have dark spots on my skin,i have that spot on my skin,i have that spot on my skin
43,my back hurts me a lot,my back hurts me a lot,my back hurts me a lot
44,there is a sharp pain in my bicep,there is a heart,there is a heart rate variability
45,i can hardly breathe,i can hardly breath,i can hardly breath
46,i have a problem in my back i cannot extend it,i have a problem in my that i can,i have a problem in my head that i can solve
47,my skin color on my back is red i dont know why,my skin color on my bag is there i dont know,my skin color on my bag is there a correlation i dont know
48,my hair is falling out in huge amount,my head is doctor,my head is doctor
49,my head is spinning when i get up,my head is saying,my head is saying
50,laceration rupture or opening in the skin,yeah depression a lot of,symptomatic depression causes a lot of morbidity
51,my son has a lot of acne,my son has a daughter,my son has a daughter
52,i have a foot ache after running 500m with my running shoes,i work four days after running five m uh with my running,i work four days after running five m uh with my running buddy
53,i feel back pain when i carry heavy things,i feel back pain when i,i feel back pain when i eat
54,feels like there are pins and needles sticking in my joints,his like that in,his symptoms were like that in all
55,i have a problem in seeing objects it is too difficult to see,i have a problem i i see,i have a problem with i i see
56,i feel like the world goes round and round,i know they wont go on there,i know they wont go on there
57,ive tried reading books but nothing can cheer me up,i have tried reading books but nothing can catch me up,i have tried reading books but nothing can catch me up
58,my head hurts me badly,my head has my,my head has my brain
59,my son has a lot of acne,my son has a lot of it,my son has a lot of it
60,it started as a tinnitus but today the pain is throbbing and unbearable,i started as a dizziness but today the pain is coming on,i started as a dizziness but today the pain is coming on
61,i have a foot ache after running 500m with my running shoes,i have short as five hundred minutes running,i have seen short as five hundred minutes of running
62,there is a constant tickle in my throat,there is a concentrate in me,there is a tendency to concentrate in me
63,my cough is very heavy and i have mucus,my cough is very heavy i have cough,my cough is very heavy and i have cough
64,the feeling of coughing increases in winters reach,the feeling of the the,the feeling of the body was the same
65,i wish this excruciating feeling of loss could go away,i always dis a feeling of the cop,i always had a feeling of the cop
66,when i stand i feel dizzy i do not know why,when i stand i i know,when i stand i i know
67,my son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected,my son nick neck with an old razer that spot has become inflamed and looks like an insect,my son nick neck with an old razer that has become inflamed and looks like an insect
68,i cannot bear this squeezing sensation i have in my chest,i cannot wear that i have in my check,i cannot wear the clothes that i have in my check
69,the arches of my feet hurt when i wear heels,that was on my feet hold on,that was on my feet to hold on
70,my shoulder is hurting me,my in the heart,myocardial infarction in the heart
71,i stopped sports because i get injury from sports,that for because i can from for,that is important for understanding because i can benefit from evidence for it
72,i can hardly breathe,i can hardly breath,i can hardly breath
73,ive noticed my hair falling out a lot lately,i have noticed my ear coming out a lot,i have noticed my ear coming out a lot
74,when i stand up too quickly i start to feel dizzy and lightheaded,when i turned up too quickly i had to,when i turned up too quickly i had to stop
75,i have a rash on my skin,i have a rash on my skin,i have a rash on my skin
76,my right shoulder clicks when i move my arm,my right shoulder keep on moving,my right shoulder can keep on moving
77,pain in the large neck,when in the last time,when was in the last time
78,i feel severe itching in the skin with redness,i feel something the skin with redness,i feel something on the skin with redness
79,i have a very bad cough,i have a per head cough,i have a per head cough
80,my hair is falling out in huge amount,my hair is falling up in here so,my hair is falling up in here so far
81,i toppled over while jumping to catch the ball,i thought we were jumping the in the work,i thought we were jumping the shark in the workup
82,my skin color on my back is red i dont know why,my skin color on my back in red i dont know,my skin color on my back in red i dont know
83,i feel back pain when i carry heavy things,i feel that in when i hit,i feel that in most cases when i hit my head
84,my son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected,and the skin around it,and the skin around it
85,i feel sad like hurt or pain,i feel sad like hard,i feel sad like it is hard
86,i think my wound is infected,i think my i do too,i think my son i do too
87,i feel pain in my back,i feel pain in my back,i feel pain in my back
88,i feel pain in my ears with tinnitus,i feel pain in my ears with fetus,i feel pain in my ears with fetus
89,i feel fluid trying to come up when i cough,i trying to count your liver,i am trying to count your liver
90,i cant work good i have a pain in my knee,i cannot but i have pain in my knee,i cannot describe it but i have pain in my knee
91,after an hard working day i have foot ache,other than hard walking day i have,other than hard walking day i have no symptoms
92,feels like there are pins and needles sticking in my joints,is like there are pen and needles which is my point,it is like there are pen and needles which is my point
