,refs,trans,model_corrected
0,um and have you had a temperature do you feel like youve been feverish or had a temperature with this,um and have you had a temperature do you feel like youve been feverish or had a temperature with this,refine the sentence: um and have you had a temperature do you feel like youve been feverish or had an temperature with this to: 
1,um and any did you you said you didnt have any lower back pain,um and then did you you said you didnt have any low back pain,refine the sentence: um and then did you you said you didnt have any low back pain to: 
2,ok and have you had these symptoms before,ok and have you had these symptoms before,refine the sentence: ok and have you had these symptoms before to: 
3,and your date of birth,and your date of birth,refine the sentence: and your date of birth to: 
4,and was there anything you were doing recently which you think may have contributed to it have you have you been doing lots of exercise been dehydrated um been having regular sexual intercourse or anything,and was there anything you were doing recently which you think may have contributed to it have you been have you been doing lots of exercise been dehydrated um been having regular sexual intercourse or anything,refine the sentence: and was there anything you were doing recently which you think may have contributed to it have you been have I been doing lots of exercise been dehydrated um been having regular sexual intercourse or anything to: 
5,no ok and any any other symptoms any vaginal discharge or anything like that,no ok and any any other symptoms any vaginal discharge or anything like that,refine the sentence: no ok and any any other symptoms any vaginal discharge or anything like that to: 
6,no do you have regular periods,ok do you have regular periods,refine the sentence: ok do you have regular periods to: 
7,um and in the past have you had any medical problems at all,um and uh in the past have you had any medical problems at all,refine the sentence: um and uh in the past have you had any medical problems at all to: 
8,have you had any problems with your kidneys or any urine infections,have you had any problems with your kidneys or any urine infections,refine the sentence: have you had any problems with your kidneys or any urine infections to: 
9,and hows that been recently any change in your bowel habit any blood when you pass stool,and how has that been recently any change in your bowel habit any blood when you pass stool,refine the sentence: and how has that been recently any change in your bowel habit any blood when you pass stool to: 
10,in your ok um any change in your bowel habit any weight loss or anything,in your ok um any change in your bowel habit any weight loss or anything,refine the sentence: in your ok um any change in the bowel habit any weight loss or anything to: 
11,ok are you in a private place so you can have a consultation today,ok are you in a private place so you can have a consultation today,refine the sentence: ok are you in a private place so you can have a consultation today to: 
12,any other medical problems or surgery in the past,any other medical problems or surgery in the past,refine the sentence: any other medical problems or surgery in the past to: 
13,do you take regular medications,do you take regular medications,refine the sentence: do you take regular medications to: 
14,do you take that regularly,do you take that regularly,refine the sentence: do you take that regularly to: 
15,ok and it do you take it three times a day,ok and it do you take it three times a day,refine the sentence: ok and it do you take it three times a day to: 
16,youre allergic to clindamycin ok,youre allergic to clindamycin ok,refine the sentence: youre allergic to clindamycin ok to: 
17,and anyone in your family had any medical problems,and anyone in your family had any medical problems,refine the sentence: and anyone in your family had any medical problems to: 
18,ok what can i do for you,ok what can i do for you,refine the sentence: ok what can i do for you to: 
19,thats fine and whereabouts do you live do you live with friends family,thats fine and whereabouts do you live do you live with friends family,refine the sentence: thats fine and whereabouts do you live do YOU live with friends family to: 
20,ok and where do you work whats your job,ok and where do you work whats your job,refine the sentence: ok and where do you work whats your job to: 
21,ok do you drink alcohol at all,ok do you drink alcohol at all,refine the sentence: ok do you drink alcohol at all to: 
22,so how much in a average week,so how much in an average week,refine the sentence: so how much in an average week to: 
23,ok and do you smoke,ok do you smoke,refine the sentence: ok do you smoke to: 
24,ok um it sounds very much like you might have an infection in your urine did you say you havent felt feverish,ok um it sounds very much like you might have an infection in your urine did you say you havent felt feverish,refine the sentence: ok um it sounds very much like you might have an infection in your urine did you say you havent felt feverish to: 
