,refs,trans,model_corrected
0,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,hello hi um before we stop yeah ok hello um good morning sir how can i help you this morning,"This is an incorrect sentence: hello hi um before we stop yeah ok hello um good morning sir how can i help you this morning Correct sentence is: ""In fact, after going to a morning"
1,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,yeah im sorry to hear that um uh and and when you say diarrhea what do you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,"This is an incorrect sentence: yeah im sorry to hear that um uh and and when you say diarrhea what do you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose Correct sentence is: Ye yang, which means you must"
2,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok all right and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,"This is an incorrect sentence: ok all right and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example Correct sentence is: Les: ""You're not"
3,you measure your temperature then,you measure your temperature then,This is an incorrect sentence: you measure your temperature then Correct sentence is: The mean temperature range is 3 degrees C to
4,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,This is an incorrect sentence: ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all Correct sentence is: This word was misread in the Conclusions and
5,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you stopped vomiting ok and was your vomit i know its not nice things to talk about but was it just normal food color yeah and there was no blood in your vomit is that right,"This is an incorrect sentence: you stopped vomiting ok and was your vomit i know its not nice things to talk about but was it just normal food color yeah and there was no blood in your vomit is that right Correct sentence is: """
6,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned the vomiting uh anything else that comes to mind,"This is an incorrect sentence: no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned the vomiting uh anything else that comes to mind Correct sentence is: he don't suffer from gastric, duodenal or"
7,ok,ok,"This is an incorrect sentence: ok Correct sentence is: In abstract, p."
8,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so youre drinking fluids um what kind of foods have you managed to eat anything,This is an incorrect sentence: ok so youre drinking fluids um what kind of foods have you managed to eat anything Correct sentence is: you're an expert in this area that
9,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms,ok fine um and so uh uh this started three days ago the symptoms are you aware of any triggers which may have caused your symptoms to uh to kick on so for example things like takeaway food or eating out or being around other people with similar symptoms,"This is an incorrect sentence: ok fine um and so uh uh this started three days ago the symptoms are you aware of any triggers which may have caused your symptoms to uh to kick on so for example things like takeaway food or eating out or being around other people with similar symptoms Correct sentence is: ""For the most part, the reasons for"
