,refs,trans,model_corrected
0,hello my names amy kousha im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please ,hello my names amy kosher im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please,This is an incorrect sentence: hello my names amy kosher im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please Correct sentence is: Manuel: A.
1,my name is bide and my date of birth is first of january of 1990 ,my name is abide and my date of birth is first of january off 1990,"This is an incorrect sentence: my name is abide and my date of birth is first of january off 1990 Correct sentence is: ""My name was given by a physician who had used the word to describe the family members who were not present."" This second sentence should read: The parent's name should be Admiros."
2,so bide i understand that you went to see your gp with some changes in your bowel habit can you tell me some more about those symptoms ,so whyd i understand that you went to see your gp with some changes in your bowl have it can you tell me some more to buy those symptoms,This is an incorrect sentence: so whyd i understand that you went to see your gp with some changes in your bowl have it can you tell me some more to buy those symptoms Correct sentence is: 'I'm happy the more you know that there has been a new' It should be kept in good faith to have my gp to bo with nothing but the bad: I has a gp that is more like what I already know.
3,ive been having loose stools diarrhoea for the past few months and i went to my gp ,ive been having loose twos dia beerfor the past few months and i went to my gp,This is an incorrect sentence: ive been having loose twos dia beerfor the past few months and i went to my gp Correct sentence is: e-mail: mc @ gmail.com.
4,okay so prior to three months would you say that your bowel habit was normal ,okay so im prior to city months would you say that your battle have it was normal,"This is an incorrect sentence: okay so im prior to city months would you say that your battle have it was normal Correct sentence is: It's because I had a battered mother's child, but I am not batterers."
5,and have you been passing any blood in your bowel motions ,on have you being passing any blood in your bell motions,"This is an incorrect sentence: on have you being passing any blood in your bell motions Correct sentence is: ""This article is a report of a pilot study of the feasibility of measuring blood glucose levels in children and adolescents using an automatic blood sampling device."""
6,yeah i do i do get blood in my bowel and my stool and its kind of mixed with the stool ,yeah i do i do get blood in my mouthon my stool and its kind of mixed with this too,This is an incorrect sentence: yeah i do i do get blood in my mouthon my stool and its kind of mixed with this too Correct sentence is: See & Bin as this I got bloody.
7,and has the blood passage of blood been going on for a few months as well or has that been a more recent change ,andi has the blood passage of blood being going on for a few months as well or has that been a more recent change,"This is an incorrect sentence: andi has the blood passage of blood being going on for a few months as well or has that been a more recent change Correct sentence is:... """
8,um that has been happening more recently ,and that has been happening more recently,This is an incorrect sentence: and that has been happening more recently Correct sentence is: This article will also correct the error of Chapman et al.
9,okay and have you noticed any mucus as so that white stringy substance being passed in your stool ,okay and have you noticed any mucous eso thats white stringing substance being passed in your studio,"This is an incorrect sentence: okay and have you noticed any mucous eso thats white stringing substance being passed in your studio Correct sentence is: ""On opening his slimming school, the teacher had said that his child had grown up in a good situation during the period of the family life."
