,refs,trans,model_corrected
0,i have a painful cramp in my feet,i have a painful cramp in my feet,This is an incorrect sentence: i have a painful cramp in my feet Correct sentence is: 'We have not studied this group of patients clinically.
1,the pain feels like its right below the skin,the pain feels like its right below the skin,"This is an incorrect sentence: the pain feels like its right below the skin Correct sentence is: ""This study finds that pain on the right side of the body is more intense than pain in the left, in all the experimental groups."
2,i feel suicidal,i feel suicidal,"This is an incorrect sentence: i feel suicidal Correct sentence is: If I'm so, I go!"
3,i feel a sharp pain in my ankle joint when i stand,i feel a sharp pain in my ankle joint when i stand,"This is an incorrect sentence: i feel a sharp pain in my ankle joint when i stand Correct sentence is: ""Here, me is standing quietly with the ankles unsupported."" [Unfortunately, I will also mistakenly state that the authors had finished using their research data in this article ""for an error with reference 65013 but incorrectly stated that it means"" that ""I didn't have to put in a standing position.]"
4,my shoulder hurts me so much,my shoulder hurts me so much,This is an incorrect sentence: my shoulder hurts me so much Correct sentence is: 'When your knee and ankle hurt you don't forget to make it happen to your hip'.
5,i have a hair shortage,i have a hair shortage,"This is an incorrect sentence: i have a hair shortage Correct sentence is: ""While it is possible to give the correct dosage to an infant over 12 weeks of age by adding the active principle of the cream into water-insoluble petrolatum during the first days of life, the infants will reach peak hair production by 10-14 weeks, and even by 20 weeks will usually achieve an impressive amount of hair, which is about 50% of adult value."
6,my left ear is ok but the right one feels like its being stabbed with a nail,my left ear is ok but the right one feels like it is being stabbed with a nail,"This is an incorrect sentence: my left ear is ok but the right one feels like it is being stabbed with a nail Correct sentence is: 'These words are the words of a common sense and an understanding of the difference between the two types of ear can be obtained easily if there is a good reason that they are coming together, but it can only be explained by the fact that the hearing loss is relatively severe and thus can not be compensated for by a hearing aid."
7,im suffering from sharp cough accompanied by  phlegm,i am suffering from sharp cough accompanied by phlegm,"This is an incorrect sentence: i am suffering from sharp cough accompanied by phlegm Correct sentence is: ""The patient was coughing because of sharp and cold water in the mouth."""
8,i was playing soccer and i twisted my ankle,i was playing soccer and i twisted my ankle,This is an incorrect sentence: i was playing soccer and i twisted my ankle Correct sentence is: in my legs I twisted you don't move and I cannot even move my ankles Corrective sentence (see article).
9,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder it is like lightning is being sent through my shoulder,"This is an incorrect sentence: when i move my shoulder it is like lightning is being sent through my shoulder Correct sentence is: In a car, which will happen to have been lighted, it would have happened if the car went back to a road at the time of the lighting."
10,i have pimples in patches along with a lot of redness on my face,i have pimples and patches along with a lot of redness on my face,This is an incorrect sentence: i have pimples and patches along with a lot of redness on my face Correct sentence is:...
11,when i brush my hair i notice big clumps of hair coming out in the brush,when i brush my hair i notice big clumps of hair coming out in the brush,This is an incorrect sentence: when i brush my hair i notice big clumps of hair coming out in the brush Correct sentence is:...
12,i cant see the sign i have a blurry vision,i cant see the sign i have a blurry vision,"This is an incorrect sentence: i cant see the sign i have a blurry vision Correct sentence is: 'In contrast to ""1,"" this means: ""In a typical eye-tracking experiment, participants had to focus on an"" edge ""or a"" center ""between two target objects."
13,my heart hurts when i exercise,my heart hurts when i exercise,"This is an incorrect sentence: my heart hurts when i exercise Correct sentence is: ""Has my baby cooled?"
14,i feel a tightness in my chest,i feel a tightness in my chest,"This is an incorrect sentence: i feel a tightness in my chest Correct sentence is: ""My chest should tightened before eating"" (p < 0.01)."
15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is falling without a reason i can see a lot of hair on my working dust,This is an incorrect sentence: my hair is falling without a reason i can see a lot of hair on my working dust Correct sentence is: your hair has fallen on top of my dust?
16,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife vial i was cooking,"This is an incorrect sentence: i sliced myself deeply with a knife vial i was cooking Correct sentence is: & nb & / nc ("")"" < i > The original trial on the subject... ""by Yoshihi, Miitsu and Kataku (4) does not mention the trial at home for the first time."
17,i feel cold,i feel cold,"This is an incorrect sentence: i feel cold Correct sentence is: 'The mean temperature is 30 ° C, and the mean relative humidity is 70%,' this error bothers the readers for reading the article."
18,i dont have problems taking in breath but out breath is so heavy,i don t have problems taking n breath but out breath is so heavy,"This is an incorrect sentence: i don t have problems taking n breath but out breath is so heavy Correct sentence is: ""This study indicates that the use of a face mask while carrying n breaths of 2: 1 is less effective than a nose mask for reducing the inspiratory pressure while the subject is performing a test of breathing endurance in the elderly but that it could be an effective alternative for subjects who wish to reduce the pressure applied to the face if they already have difficulty."
19,i feel a lot of pain in the joints,i feel a lot of pain in the joints,This is an incorrect sentence: i feel a lot of pain in the joints Correct sentence is: 1) What a patient should / should not hear about pain?
20,my upper back has been sore for a week,my upper back has been sore for a week,"This is an incorrect sentence: my upper back has been sore for a week Correct sentence is: ""This condition appears to be an infection of the deep soft tissues of a finger and is characterised by spontaneous pain with swelling and erythema"" and I am now returning to my practice."
21,sometimes i cough because im a smoker,sometimes i cough because i am a smoker,This is an incorrect sentence: sometimes i cough because i am a smoker Correct sentence is:...) The number 4 (2) of the four cigarette units is the most acceptable for the smoker.
22,my television and computer seem out of focus even though i have new glasses,my television and computer seem out of focus even though i have new glasses,This is an incorrect sentence: my television and computer seem out of focus even though i have new glasses Correct sentence is: The computer is completely out-of-focus.
23,my foot hurts me a lot of playing football,my foot hurts me a lot playing football,This is an incorrect sentence: my foot hurts me a lot playing football Correct sentence is: this means
24,i have tried to make massage on my foot but they still pain me,i have tried to make massage on my foot but they still pain me,"This is an incorrect sentence: i have tried to make massage on my foot but they still pain me Correct sentence is: I have massaging for 1 minute at a time and in no way has pain in my arm or foot; if you will find such a procedure too painful if not massaged, you can take the patient off the back of the table by walking or doing something like something about the foot, and you may need to turn my feet to my chest."
25,i was playing football and injuried with joint pain,i was playing football and injured with joint pain,"This is an incorrect sentence: i was playing football and injured with joint pain Correct sentence is: ""These 2 cases highlight the importance of considering FIFA 11 + injuries in the pre-hospital environment."""
26,my grandmother last year went to hospital because she was having a hard time breathing,my grandmother last year went to hospital because she was having a hard time breathing,"This is an incorrect sentence: my grandmother last year went to hospital because she was having a hard time breathing Correct sentence is: ""In the last two decades, in response to advances in technology, it is not easy to reintroduce the word"" into the scientific realm, but it should have been. """
27,i feel pain in my eyes i can see fog,i feel pain in my eyes i can see fog,"This is an incorrect sentence: i feel pain in my eyes i can see fog Correct sentence is: ""In the eyes of my middle-aged and elderly people, our eye movements show more eye fixations on the fooggy areas"" and ""There are much more eyes looking away from the fright areas near my ears,"" we feel more pressure in the face and in our mouth in response to the fogging material."
28,i feel dizzy and out of sight,i feel dizzy and out of sight,"This is an incorrect sentence: i feel dizzy and out of sight Correct sentence is: see i in i, see I in the dark, and see him in light."
29,my hair is falling when i am combing it,my hair is falling when i am combing it,"This is an incorrect sentence: my hair is falling when i am combing it Correct sentence is: ""The use of a mask when combating the hair to prevent hair loss is effective, but the procedure does not prevent the person developing hair cracks"""
30,he was discovered to have an open wound,he was discovered to have an open wound,"This is an incorrect sentence: he was discovered to have an open wound Correct sentence is: ""The wound was crushing a metal strip to penetrate the left side of his back and was removed by suction."""
31,the acne was causing me to feel embarrassed,the acne was causing me to feel embarrassed,"This is an incorrect sentence: the acne was causing me to feel embarrassed Correct sentence is: When I had acne I felt that she was bothered and had a lump just like blood, where the doctors said there..."
32,the pain in my ear is unbearable,the pain in my ear is unbearable,"This is an incorrect sentence: the pain in my ear is unbearable Correct sentence is: ""I am pain free after her I have removed my middle ear and then I've tried to use my nose with a cotton wool pack; we will use it for my own healing and rehabilitation."
33,i feel a pain in my neck,i feel a pain in my neck,This is an incorrect sentence: i feel a pain in my neck Correct sentence is: • Neck.
34,my chest hurts when i smoke,my chest hurts when i smoke,"This is an incorrect sentence: my chest hurts when i smoke Correct sentence is: ""If you have someone to know you is likely to smoke, maybe you need to get a smoke alarm"" and ""It would be much easier to reach a door for your smoke"" The correct sentence should read:... ""When you are likely, you would get an alarm to stop your smoking."""
35,i feel like i went to an acupunctures practice and had 100 needles in my shoulder,i feel like i went to an acupuncturist practice and had 100 needles in my shoulder,"This is an incorrect sentence: i feel like i went to an acupuncturist practice and had 100 needles in my shoulder Correct sentence is: ""..."""
36,i have a cut that has become red and oozes puss,i have a cut that has become red and oozes pus,"This is an incorrect sentence: i have a cut that has become red and oozes pus Correct sentence is: In the article ""A new method of screening for breast cancer in the early stages"" by Pamelan et al."
37,i cant get a girlfriend because of my acne,i cant get a girlfriend because of my acne,This is an incorrect sentence: i cant get a girlfriend because of my acne Correct sentence is:...
38,i have a foot ache although i dont walk a lot,i have a foot ache adult i dont walk a lot,"This is an incorrect sentence: i have a foot ache adult i dont walk a lot Correct sentence is: there was a chronic problem and the patient used to walk, i was too short and also did not start walking."
39,my neck hurts me and i cant stand with this pain,my neck hurts me and i cant stand with this pain,This is an incorrect sentence: my neck hurts me and i cant stand with this pain Correct sentence is: 'This complication was due to a high-velocity injury which had not been well managed at the time and that the patient subsequently had a recurrence of neck pain.
40,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problems seeing things feel like a cloud on my eyes everything is blurry,"This is an incorrect sentence: i am having problems seeing things feel like a cloud on my eyes everything is blurry Correct sentence is: in the context of your medical practice, my doctor, if present, have a significant problem that does not require to change the medical plan."
