,refs,trans,model_corrected
0,never,never,never
1,and was there anything you were doing recently which you think may have contributed to it have you have you been doing lots of exercise been dehydrated um been having regular sexual intercourse or anything,and was there anything you were doing recently which you think may have contributed to it have you been have you been doing lots of exercise been dehydrated um been having regular sexual intercourse or anything,and was there anything you were doing recently which you think may have contributed to it have you been have been doing lots of exercise been dehydrated um been having regular sexual intercourse or anything
2,no ok and any any other symptoms any vaginal discharge or anything like that,no ok and any any other symptoms any vaginal discharge or anything like that,no ok and any any other symptoms any vaginal discharge or anything like that
3,no do you have regular periods,ok do you have regular periods,ok do you have regular periods
4,ok,ok,ok
5,um and in the past have you had any medical problems at all,um and uh in the past have you had any medical problems at all,um and uh in the past have you had any medical problems at all
6,have you had any problems with your kidneys or any urine infections,have you had any problems with your kidneys or any urine infections,have you had any problems with your kidneys or any urine infections
7,ok,ok,ok
8,and hows that been recently any change in your bowel habit any blood when you pass stool,and how has that been recently any change in your bowel habit any blood when you pass stool,and how has that been recently any change in your bowel habit any blood when you pass stool
9,in your ok um any change in your bowel habit any weight loss or anything,in your ok um any change in your bowel habit any weight loss or anything,in your ok um any change in your bowel habit any weight loss or anything
10,ok are you in a private place so you can have a consultation today,ok are you in a private place so you can have a consultation today,ok are you in a private place so you can have a consultation today
11,any other medical problems or surgery in the past,any other medical problems or surgery in the past,any other medical problems or surgery in the past
12,do you take regular medications,do you take regular medications,do you take regular medications
13,pardon no birth,pardon no bye,pardon no bye
14,do you take that regularly,do you take that regularly,do you take that regularly
15,ok and it do you take it three times a day,ok and it do you take it three times a day,ok and it do you take it three times a day
16,two hundred milligrams,200 mg,200 mg
17,any allergies,any allergies,any allergies
18,any allergies,any allergies,any allergies
19,youre allergic to clindamycin ok,youre allergic to clindamycin ok,youre allergic to clindamycin ok
20,and anyone in your family had any medical problems,and anyone in your family had any medical problems,and anyone in your family had any medical problems
21,ok what can i do for you,ok what can i do for you,ok what can i do for you
22,thats fine and whereabouts do you live do you live with friends family,thats fine and whereabouts do you live do you live with friends family,thats fine and whereabouts do you live do live with friends family
23,ok and where do you work whats your job,ok and where do you work whats your job,ok and where do you work whats your job
24,ok do you drink alcohol at all,ok do you drink alcohol at all,ok do you drink alcohol at all
25,so how much in a average week,so how much in an average week,so how much in an average week
26,ok and do you smoke,ok do you smoke,ok do you smoke
27,ok um it sounds very much like you might have an infection in your urine did you say you havent felt feverish,ok um it sounds very much like you might have an infection in your urine did you say you havent felt feverish,ok um it sounds very much like you might have an infection in your urine did you say you havent felt feverish
28,have you got a thermometer at home,have you got a thermometer at home,have you got a thermometer at home
29,ok it would be helpful if you could get a thermometer from the pharmacy and do check your temperature just to make sure that it isnt going up and down,ok it would be helpful if you could get a thermometer from the pharmacy and do check your temperature just to make sure that it isnt going up and down,ok it would be helpful if you could get a thermometer from the pharmacy and do check your temperature just to make sure that it isnt going up and down
30,um normally we can treat this infection without having to test your urine uh with with a course of antibiotics,um normally we can treat this infection without having to test your urine uh with with a course of antibiotics,um normally we can treat this infection without having to test your urine uh with with a course of antibiotics
31,um how do you feel about that are you happy to take a course of antibiotics,um how would you feel about that are you happy to take a course of antibiotics,um how would you feel about that are you happy to take a course of antibiotics
32,ok and how long has that been going on for,ok and how long has that been going on for,ok and how long has that been going on for
33,it would just be for three days,it would just be for three days,it would just be for three days
34,um,um,um
35,yes so i can send a prescription through to your requested pharmacy for that if you take them as soon as you can get them pick them up as soon as you can and start taking them,yes so i can send a prescription through to your requested pharmacy for that if you take them as soon as you can get them pick them up as soon as you can and start taking them,yes so i can send a prescription through to your pharmacy for that if you take them as soon as you can get them pick them up as well as they can and start taking them
36,the other thing which is important to do is to drink lots of water so two and a half to three litres a day,the other thing which is important to do is to drink lots of water so 25 to 3 liters a day,the other thing which is important to do is to drink lots of water so twenty to three liters a day
37,um you can get some cranberry juice and take drink that as well that sometimes helps and also some sachets um which you can get from the chemist some sachets which just help change the acidity of your urine so i i can put the details of that on your notes,um you can get some cranberry juice and take drink that as well that sometimes helps and also some sachets um which you can get from the chemist and sas which just help change the acidity of your urine so i i can put the details of that on your notes,um you can get some cranberry juice and take drink that as well that sometimes helps and also some sachets um which you get from the chemist and sas which just help change the acidity of your urine so i i can put the details of that on your notes
38,um if you feel like your pain is getting worse or not settling you get lower back pain um or youre getting a high temperature or you have any problems actually passing urine then its very important that we speak to you again,um if you feel like your pain is getting worse or not settling you get lower back pain um or youre getting a high temperature or you have any problems actually passing urine then its very important that we speak to you again,um if you feel like your pain is getting worse or not settling you get lower back pain um or youre getting a high temperature or have any problems actually passing urine then its very important that we speak to you again
