,Unnamed: 0,refs,trans,model_corrected
0,0,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,hello hi um should we start yeah ok hello how um good morning sir i help you this morning,hello how um good morning sir i help you this morning
1,1,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,sorry to that um and and you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,sorry to that um and and you say diarrhea whatd you mean by diarrhea do you really mean youre going to the toilet more often or are your stools more loose
2,2,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok you mentioned youve feeling quite weak and shaky well what you mean shaky do you mean youve been having uh have you feeling feverish for,ok you mentioned youve been feeling quite weak and shaky well what do you mean shaky do not mean that you've been having uh have you feeling feverish for days
3,3,you measure your temperature then,you measure your temperature then,you measure your temperature then
4,4,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok ok any symptoms like sweating or um night sweats no and uh vomiting all,ok ok any symptoms like sweating or um night sweats no and uh vomiting all
5,5,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you stopped vomiting ok and was your vomit i know its not a nice thing to about but was it just normal food colour yeah there no blood in your vomit right,you stopped vomiting ok and was your vomit normal but  its not a nice thing to complain about but was it just normal food colour  yeah there was no blood inyour vomit right
6,6,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,ok um and um any other symptoms at all so you mentioned tummy pain you mentioned diarrhea mentioned uh anything else that comes to mind,ok um and um any other symptoms at all so you mentioned tummy pain  but you also mentioned diarrhea  and mentioned uh or anything else that comes to mind 
7,7,ok,ok,ok
8,8,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so youre drinking fluids um what kind of have you managed eat if anything,ok so youre drinking fluids um what kind of food have you managed to eat if anything
9,9,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused symptoms uh to kick on so for example like takeaway foods or eating or being around people with similar symptoms,ok fine um and sir these symptoms started three days ago the symptoms are you aware of any triggers which may have caused symptoms uh to kick on so for example like takeaway foods or eating or being around people with similar symptoms
10,10,ok,ok,ok
11,11,do you remember where you ate,you remember where you ate,however you cannot remember where you ate
12,12,ok anyone else unwell with similar symptoms,ok else unwell with similar symptoms,ok else was unwell with similar symptoms
13,13,ok ok fine um alright and uh in terms of your your overall health are you normally fit and well or uh,ok ok fine um alright and uh terms of your your overall health are you normally fit and well or uh,ok ok fine um alright and uh in terms of your and your overall health are you normally fit and well or uh
14,14,ok and is your asthma well controlled,ok and is your controlled,ok and is your pain controlled
15,15,fine and you dont have any other tummy problem bowel problems i should be aware of,fine and you dont have any other problem bowel problems i should be aware of,fine and you dont have any other problem bowel problems i should be aware of
16,16,no ok um and apart from the inhalers do you take any other medications,no ok um and apart from the inhalers do you any other medications,no ok um and apart from the inhalers do you take any other medications
17,17,ok fine and in terms of just your day to day life you said its been affecting your life um in what way has it been affecting your life,ok fine and in terms of just your day to day life you said its been affecting your life um in what way has it been affecting life,ok fine and in terms of just your day to day life you said its been affecting your life um in what way has it been adversely affecting life
18,18,ok,ok,ok
19,19,yeah,yeah,yeah
20,20,and have you are you currently working at the moment,and have you are currently working the moment,and have you are currently working at the moment
21,21,ok and how many times a day are you going lets say in the last couple of days,ok and how many times day are you going lets say in the last couple of days,ok and how many times a day are you going lets say in the last couple of days
22,22,would would work,would would,would would
