,Unnamed: 0,refs,trans,model_corrected
0,0,hello my names amy kousha im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please ,hello my names one gastroenterology at clinic today can you tell your name and,hello my names one gastroenterology clinic today can you tell me your name and address
1,1,my name is bide and my date of birth is first of january of 1990 ,my bide and date of is of of 1990,the date of surgery is of the year of 1990
2,2,so bide i understand that you went to see your gp with some changes in your bowel habit can you tell me some more about those symptoms ,so bide i understand that you see your with some changes in your bowel can me some about symptoms,so i understand that you see your symptoms with some changes in your bowel habits and can give me some information about these symptoms
3,3,ive been having loose stools diarrhoea for the past few months and i went to my gp ,been loose stools for the past few and i went to my gp,he hadbeen complaining of loose stools for the past few days and i went to my gp
4,4,okay so prior to three months would you say that your bowel habit was normal ,okay so prior three you that was normal,so in the prior three months you had a physical examination that was normal
5,5,and have you being passing any blood in your bowel motions ,have you passing blood in your bowel motions,have you been passing blood in your bowel motions
6,6,yeah i do i do get blood in my bowel and my stool and its kind of mixed with the stool ,i get blood my bowel and stool of with the,i get blood from my bowel and stool of patients with the same diagnosis
7,7,and has the blood passage of blood being going on for a few months as well or has that been a more recent change ,and passage of blood on for few months as has that a change,and passage of blood has been reported on for a few months as has the possibility that there is a change in blood pressure
8,8,um that has been happening more recently ,um that has happening more,um that has been happening more recently
9,9,okay and have you noticed any mucus as so that white stringy substance being passed in your stool ,okay and have so that white substance being stool,white substance being detected in stool samples
10,10,yeah now that you mention it yeah i do i do noticed that ,now you mention it yeah i do i do,oh you mention it yeah i do  and i really do
11,11,and what about your weight ,about weight,about weight loss
12,12,so yes it seems like ive lost a little bit of weight simply because my clothes are loosened i havent actually measured it but i people do tell me that ive lost weight ,yes it seems like ive a little bit simply clothes loosened i havent actually measured it but i people do tell me that ive weight,yes it seems like ive a little bit simply because the clothes loosened and i havent actually measured it but i know that people do tell me that it ives weight loss
13,13,okay and have you noticed any abdominal pain ,okay and noticed abdominal,okay and we noticed abdominal pain
14,14,yeah i do get a lot of abdominal cramps stomach cramps and thats been also getting worse recently ,yeah get lot of abdominal cramps been also getting worse,yeah get a lot of abdominal cramps and they have been also getting worse
15,15,and can you tell me when your abdominal pain is worse ,and can you tell me your abdominal pain is worse,can you tell me your abdominal pain is worse
16,16,it seems like its worse just before going to the toilet and then once i opened my bowels its better ,seems like its worse just going toilet and then once i my its,its worse just going to the toilet and then once i reach my destination its worse
17,17,okay and is it very severe or is it just mild cramping ,okay and it very severe or it,okay and it is very severe or it can be very serious
18,18,i wouldnt say its severe that i have to be bend double but it is not mild it is moderate perhaps ,wouldnt its that i be bend but it is not it moderate,wouldnt its benefit that i be able to bend but it is not sufficient to make it moderate
19,19,okay and have have you had any episodes like this before of diarrhoea and blood being passed ,okay you any before of being passed,we did not find any symptoms before the time of being passed
20,20,no i think its been all in the past few months before that i had no problems with my bowel motion ,no think in the few that had with my bowel motion,no one could think in the few cases that had to do with my bowel motion
21,21,okay and have you noticed any joint pains ,have you any pains,have you experienced any abdominal pains
22,22,maybe some pain in my knees especially my right knee ,some pain in my,some pain in my abdomen
23,23,but no not anywhere else ,else,else
24,24,any rashes or skin changes that youve noticed ,rashes or changes youve noticed,rashes or changes in the gut microbiota youve noticed
25,25,and any problems with nausea or vomiting or swallowing ,and any problems with nausea vomiting or,there were no problems with nausea vomiting or diarrhea
26,26,okay so i understand that your gp started you on some steroids is that right ,i understand your started you on steroids that right,we understand that your father started you on steroids and that is the right treatment
27,27,yeah so thats correct my gp started me on some steroid tablets which made me feel better initially but its not completely back to normal ,yeah thats correct my gp started me on some steroid tablets feel better initially but its not back to normal,yeah thats correct my gp started me on some steroid tablets which made me feel better initially but its not back to normal
28,28,okay and do you have any other medical conditions ,okay and have any other medical conditions,okay and she did not have any other medical conditions
29,29,um i suffer from asthma for which id taken inhalers okay nothing else ,um i from asthma for which id inhalers okay else,um i suffered from asthma for which id inhalers were okay but not else
30,30,and do you smoke ,and do you,and do you like it
31,31,uh yeah i do ,uh i,uh i
32,32,how many do you smoke a day ,how many do you smoke a day,how many times do you smoke a day
33,33,perhaps about 10 a day ,perhaps about 10 a,perhaps about 10 a day
34,34,and do you drink alcohol ,alcohol,alcoholic steatohepatitis
35,35,only socially ,only,only one patient died
36,36,okay and is there any family history that you feel might be important and significant medical problems in your family ,okay is there any family history that you feel and medical your family,is there any family history that you feel is relevant and medical related to your family
37,37,uh my my mom had bowel problems but she died a few years ago of a heart attack ,my my mom but a few years ago of a heart attack,my parents died of a heart attack
38,38,okay and any allergies ,any,anymore
39,39,no i do not have any allergies ,not have allergies,not all patients have food allergies
40,40,and are you working at the moment ,and are you working moment,and are you working at the moment
41,41,yeah i actually work in university ,actually work,it actually does work
42,42,okay so do you have any ideas as to what might be the cause of your symptoms at the moment ,okay so do you have any to what might be the your symptoms the,do you have any clue as to what might be the cause of your symptoms in the future
43,43,not really i dont know what may be happening but whether its even related to my moms condition but i dont know exactly what she had ,dont what may be happening but to moms condition i dont know exactly she,to understand moms condition i dont know exactly what she is
