,Unnamed: 0,refs,trans,model_corrected
0,0,i have a painful cramp in my feet,i a feet,i had a flat feet
1,1,the pain feels like its right below the skin,feels like right skin,feels like right skin
2,2,i feel suicidal,suicidal,suicidal ideation
3,3,i feel a sharp pain in my ankle joint when i stand,a in my when stand,a significant increase in my weight was observed when we stand
4,4,my shoulder hurts me so much,hurts me much,ithurts me much
5,5,i have a hair shortage,have shortage,many hospitalshave a shortage of nurses
6,6,my left ear is ok but the right one feels like its being stabbed with a nail,ear but the feels stabbed with a nail,ear but the skin feels like it was stabbed with a nail
7,7,im suffering from sharp cough accompanied by  phlegm,im suffering phlegm,im suffering from phlegm
8,8,i was playing soccer and i twisted my ankle,was playing and i twisted my ankle,was playing and i twisted my ankle
9,9,when i move my shoulder its like lightning is being sent through my shoulder,my shoulder like is sent through my,my shoulder is like a balloon that is sent through my abdomen
10,10,i have pimples in patches along with a lot of redness on my face,pimples along a lot of on,a lot of them were located on the gastrointestinal tract
11,11,when i brush my hair i notice big clumps of hair coming out in the brush,i big clumps of coming out the brush,i had big clumps of hair coming out of the brush
12,12,i cant see the sign i have a blurry vision,i cant i have a,i cant remember if i have a previous experience
13,13,my heart hurts when i exercise,my hurts i exercise,my body hurts when i exercise
14,14,i feel a tightness in my chest,i feel chest,i feel chest pain
15,15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair falling i can see a of,my hair is falling and i can see a slight amount of blood
16,16,i sliced myself deeply with a knife while i was cooking,knife while i was,knife was used while i was in the intensive care unit
17,17,i feel cold,cold,chronic cold
18,18,i dont have problems taking in breath but out breath is so heavy,i dont in breath is heavy,the difference in breath pressure is heavy
19,19,i feel a lot of pain in the joints,lot the,lot of the patients died
20,20,my upper back has been sore for a week,been a week,it has been a week
21,21,sometimes i cough because im a smoker,sometimes cough because im a smoker,sometimes patients cough because im a smoker
22,22,my television and computer seem out of focus even though i have new glasses,computer out of i have glasses,computerized tomography out of i have no glasses
23,23,my foot hurts me a lot of playing football,my of football,my experience of playing international football
24,24,i have tried to make massage on my foot but they still pain me,have tried make my but they me,they have tried to make my bed but they have failed to reach me
25,25,i was playing football and injuried with joint pain,was and joint,was the most common and least common joint site
26,26,my grandmother last year went to hospital because she was having a hard time breathing,my grandmother last to having a hard,my grandmother died last year due to having a hard time swallowing
27,27,i feel pain in my eyes i can see fog,pain in my eyes i fog,pain in my eyes i fog
28,28,i feel dizzy and out of sight,feel and out sight,the feel and smell were out of sight
29,29,my hair is falling when i am combing it,hair falling i am combing it,hair falling and i am combing it
30,30,he was discovered to have an open wound,to open wound,to open the wound
31,31,the acne was causing me to feel embarrassed,acne was causing,acne was the most common cause of bleeding
32,32,the pain in my ear is unbearable,in my is,in my experience this is not true
33,33,i feel a pain in my neck,feel a pain my,we did not feel a pain in my abdomen
34,34,my chest hurts when i smoke,my hurts i smoke,my body hurts and i smoke
35,35,i feel like i went to an acupunctures practice and had 100 needles in my shoulder,i to acupunctures practice and had 100 needles in my shoulder,i went to acupunctures practice and had 100 needles in my shoulder
36,36,i have a cut that has become red and oozes puss,i have a cut that,i have a cut that is still undigested
37,37,i cant get a girlfriend because of my acne,a girlfriend because of acne,a girlfriend dropped out because of acne
38,38,i have a foot ache although i dont walk a lot,i have a ache a,i have a common ache in a general population
39,39,my neck hurts me and i cant stand with this pain,my me cant stand,my me cant stand it
40,40,i am having problems seeing things feel like a cloud on my eyes everything is blurry,am having problems seeing things like everything blurry,am having problems seeing things like everything blurry
41,41,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,i break skin inside of my nostrils and now with,the break of the skin inside of my nostrils is now treated with imatinib
42,42,chronic bowel pain,chronic,chronic gastrointestinal bleeding
43,43,i feel pain in my foot,feel pain in my,it is easy to feel pain in my abdomen
44,44,i have a break in the skin between my thumb and index finger and it will not close,i a break in the my it will not,if a break in the myocardial infarction occurs it will not be suspected
45,45,my stomach aches after i drink any soda drink why,stomach after i any soda drink why,stomach bloating after eating i did not drink any soda drink why
46,46,my knees ache on cold and rainy days,my knees cold and rainy days,my knees were cold and rainy days
47,47,my muscle in my shoulder burns when i move my arm,my burns when,my burns were similar when compared with my burns
48,48,i feel pain inside i do not know what it is,i feel i do not know what it is,it is unknown why i do not know what it is
49,49,i have a feeling like my whole body is complaining,have feeling my body,have a feeling of discomfort in my body
50,50,i get terrible headaches every few months and when i get them my vision is affected,get terrible few when get them my,get a terrible few when you get them in my hands
51,51,i had a collision while playing soccer  my knee buckled and now its unstable,i collision playing my buckled now its unstable,i had a collision playing in my buckled leg and now its unstable
52,52,this long scar on my left buttock is from falling off my mountain bike,this buttock from falling my mountain bike,this was due to a buttock injury from falling off my mountain bike
53,53,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,had the last travelled and still have in ears,had the last travelled and still have ears
54,54,i often get a stomach ache after i eat  i havent been able to pinpoint which foods might be the trigger,often get stomach ache i been able foods trigger,often when i get stomach ache i have been able to identify foods that trigger it
55,55,when i get up i feel dizzy and fall down,i feel dizzy fall,the patient did not feel dizzy or fall
56,56,my skin is itching,itching,itching
