,Unnamed: 0,refs,trans,model_corrected
0,0,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,hello hi um should we start yeah ok hello how um good morning how sir i how can i help you help this morning,hello how um good morning how sir how can i help you this morning
1,1,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,sorry to hear that um and and when mean you say diarrhea whatd you mean by mean diarrhea do you mean youre going to the toilet more often or diarrhea are diarrhea your stools more diarrhea loose,sorry to hear whatd you mean by diarrhea do youmean youre going to the toilet more often or are your stools more loose
2,2,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok fine and you mentioned youve been feeling ok quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling mean feverish for example,ok fine and you mentioned youve been feeling ok quite weak and shaky as well what do you mean by shaky do  you have been having uh have  been  feeling  feverish  for example
3,3,you measure your temperature then,you you measure your temperature then,you measure your temperature then
4,4,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok ok any other symptoms like sweating or night sweats no and uh any vomiting at all
5,5,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you stopped and vomiting ok and was your vomit i know its not a nice but thing to talk about but was it just normal food colour yeah and there was no blood in your vomiting vomit is it that right,you stopped vomiting ok and your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomiting is it that right
6,6,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to at mind,no ok um any other symptoms at all so you mentioned tummy pain you  mentioned diarrhea your vomiting or anything else that comes to mind
7,7,ok,ok,ok
8,8,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so youre drinking fluids um what kind drinking of foods have you managed to eat if anything of,ok so youre drinking fluids um what kind of foods have you managed to eat if anything
9,9,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms,ok fine um and sir these started three days ago the symptoms are you aware of any triggers with which may have triggers caused the the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar the symptoms,ok fine um sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptom to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms
10,10,ok,ok,ok
11,11,do you remember where you ate,do you remember where you ate,do you remember where you ate
12,12,ok anyone else unwell with similar symptoms,ok anyone else unwell with similar symptoms,ok anyone else unwell with similar symptoms
13,13,ok ok fine um alright and uh in terms of your your overall health are you normally fit and well or uh,ok ok fine um alright and uh ok in terms of in your your overall and health are you normally uh fit and well or uh,ok fine um alright and uh ok in terms of your overall health are you normally fit and well or uh
14,14,ok and is your asthma well controlled,ok and and is your asthma well controlled,ok and your asthma well controlled
15,15,fine and you dont have any other tummy problem bowel problems i should be aware of,fine and you dont have any other tummy problem bowel problems dont i should be aware of,fine and you dont have any other tummy bowel problems i should be aware of
16,16,no ok um and apart from the inhalers do you take any other medications,no ok um and apart from the inhalers do you take any other medications,no ok um apart from the inhalers do you take any other medications
17,17,ok fine and in terms of just your day to day life you said its been affecting your life um in what way has it been affecting your life,ok fine and in terms been of just your day to day life you ok said its been affecting your life um in what way has it been affecting your life,ok fine and in terms of just your day to day life you ok said its been affecting your um in what way has it been impacting your life
18,18,ok,ok,ok
19,19,yeah,yeah,yeah
20,20,and have you are you currently working at the moment,and have you are you currently working at the moment,and have you currently working at the moment
21,21,ok and how many times a day are you going lets say in the last couple of days,ok and how many times a day are you going lets say in the last couple of days,ok and how many times a day are you going lets say in the last couple of days
22,22,would would work,would would work,would work
23,23,ok have you been going into work the last three days or have you been at home,ok have you been going into work been the last last three days or have you been at home,ok have you been going into work the last three days or have been at home
24,24,ok that must be difficult for you then,ok that must difficult be must difficult for you then,ok that must be difficult for you then
25,25,fine and you said you mentioned you live with your wife and two children is that right,fine and you said you mentioned you live with your wife and two children is live that you right,fine and you mentioned you live with your wife and two children is that right
26,26,right alright um just a couple of other question we need to ask sir um do you smoke at all,right alright to um just a couple of other question we need to ask sir um do you smoke at all,right alright um just a couple of other question we need to ask sir um do you smoke at all
27,27,and do you drink much in the way of alcohol,and do you of drink much in the way of alcohol,and do you drink much in the way of alcohol
28,28,ok so um er normally at this stage i like to um examine you if thats ok but um um but but having listened to your story sir i think uh um just to recap for the last three days youve been having loose stool diarrhea a bit of tummy pain uh mainly on the left hand side um and vomiting and fever and youre quite weak and lethargic um you mentioned you had this chinese takeaway as little as three days ago and i wondered whether that might be the cause of your problems,ok so um er normally at this stage i like to um examine you if thats ok but um um thats but but having listened to your story sir i think uh um just to recap for the last three days youve been having loose stool diarrhea a bit of tummy pain uh mainly on the left hand side um and vomiting and fever and youre quite weak and lethargic um you mentioned you problems had this chinese takeaway as little as three days ago and i wondered whether that might be the lethargic cause of your problems,ok so um um normally at this stage i like to examine you if thats ok but um thats but having listened to your story sir i think uh um just to recap for the last three days youve been having loose stool diarrhea a bit of tummy pain mainly on the left hand side and vomiting and fever and youre quite weak and lethargic um you mentioned you had this chinese takeaway as little as three weeks ago and i wondered whether that might be the cause of your problems
29,29,um it seems like you may have something uh called gastroenteritis which essentially just a tummy bug or infection of your uh of your tummy,um it seems like you may have something uh called gastroenteritis which essentially infection just a of tummy bug or infection of your uh bug of your tummy,um it seems like you may have something called gastroenteritis which essentially just a tummy bug or infection of the uh bug of your stomachmy
