,Unnamed: 0,refs,trans,model_corrected
0,0,i have a painful cramp in my feet,i have have painful a in painful cramp painful in my cramp feet,i have a painful cramp in my feet
1,1,the pain feels like its right below the skin,the pain right feels pain like its the right below the the skin,the pain feels like its right below the skin
2,2,i feel suicidal,i feel feel suicidal,i feel suicidal
3,3,i feel a sharp pain in my ankle joint when i stand,i feel ankle a sharp when pain sharp in my ankle stand joint pain when pain i in stand i,i feel sharp pain in my ankle joint when i stand
4,4,my shoulder hurts me so much,my shoulder hurts hurts me my so much my,my shoulder hurts me so much
5,5,i have a hair shortage,i have hair a hair hair shortage have,i have a hair shortage
6,6,my left ear is ok but the right one feels like its being stabbed with a nail,my left ear is ok but with the right one its feels a like its being stabbed with a ok nail,my left ear is ok but the right one feels like its being stabbed with a nail
7,7,im suffering from sharp cough accompanied by  phlegm,im suffering suffering accompanied from by sharp im cough cough accompanied phlegm by phlegm,im suffering from sharp im cough accompanied by phlegm
8,8,i was playing soccer and i twisted my ankle,i was playing soccer and i i was twisted and my playing ankle soccer,i was playing soccer and i was twisted my ankle
9,9,when i move my shoulder its like lightning is being sent through my shoulder,when is i move my shoulder is its i like lightning is my being sent its through my shoulder its,when i move my shoulder its like lightning is being sent through my shoulders
10,10,i have pimples in patches along with a lot of redness on my face,i along have pimples in of patches lot along lot with a lot lot my of redness patches on my face in,i have pimples in patches along with a lot of redness on my face
11,11,when i brush my hair i notice big clumps of hair coming out in the brush,when i i brush my hair in i notice hair big clumps brush of hair coming brush out out in notice the big brush in,when i brush my hair i notice big clumps of hair coming out in the brush
12,12,i cant see the sign i have a blurry vision,i cant blurry see the the sign i have i a blurry vision,i cant see the sign i have a blurry vision
13,13,my heart hurts when i exercise,my heart i hurts when i exercise,my heart hurts when i exercise
14,14,i feel a tightness in my chest,i feel feel feel a my tightness in my feel chest my,i feel a tightness in my chest
15,15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is falling see without is a on reason i can see a a see lot of can hair on my desk working falling desk is,my hair is falling without a reason i can see a lot of hair on my working desk
16,16,i sliced myself deeply with a knife while i was cooking,i was sliced sliced myself knife deeply knife with sliced a knife myself while i was cooking sliced,i was sliced deeply with a knife while i was cooking
17,17,i feel cold,i feel cold feel,i feel cold
18,18,i dont have problems taking in breath but out breath is so heavy,i dont dont have but problems taking in breath but so out breath is heavy so but heavy,i dont have problems taking in breath but out breath is so heavy
19,19,i feel a lot of pain in the joints,i a feel a lot a of of pain in feel the joints in,i feel a lot of pain in the joints
20,20,my upper back has been sore for a week,my upper a back a has been my sore for a sore week back,my upper back has been sore for a week back
21,21,sometimes i cough because im a smoker,sometimes because i i cough because im cough a sometimes smoker smoker,sometimes because i cough im a smoker
22,22,my television and computer seem out of focus even though i have new glasses,my television though and computer television seem television out though of of focus even television though glasses i though have new glasses my,my television though and computer seem out of focus even though i have new glasses
23,23,my foot hurts me a lot of playing football,my my foot my hurts me a lot lot of playing football,my foot hurts a lot of playing football
24,24,i have tried to make massage on my foot but they still pain me,i my have i tried massage to they make make massage on have my foot tried but they still pain pain me they,i have tried to make massage on my foot but they still pain me
25,25,i was playing football and injuried with joint pain,i football was i playing football joint and injuried with joint pain,i was playing football and injuried with joint pain
26,26,my grandmother last year went to hospital because she was having a hard time breathing,my a grandmother last last last year was went went to hospital because last she was having to a year hard she time having breathing a,my grandmother last year went to hospital because she was having a hard time breathing
27,27,i feel pain in my eyes i can see fog,i feel feel pain in my eyes i can can feel see fog,i feel pain in my eyes i can see fog
28,28,i feel dizzy and out of sight,i feel dizzy and of out sight of sight sight,i feel dizzy and out of sight
29,29,my hair is falling when i am combing it,my hair hair is my falling combing when i falling am combing my it i,my hair is falling when i am combing it
30,30,he was discovered to have an open wound,he an was discovered to an have an he open open wound,he was discovered to have an open wound
31,31,the acne was causing me to feel embarrassed,the acne acne causing was causing me me to to feel the embarrassed feel,the acne was causing me to feel embarrassed
32,32,the pain in my ear is unbearable,the my pain my in ear my unbearable ear is is unbearable my,the pain in my ear is unbearable
33,33,i feel a pain in my neck,i i feel a pain in my neck neck,i feel a pain in my neck
34,34,my chest hurts when i smoke,my chest when hurts when i i smoke hurts,my chest hurts when i smoke
35,35,i feel like i went to an acupunctures practice and had 100 needles in my shoulder,i my feel like like i 100 went an to an an acupunctures practice in and had 100 needles acupunctures in i my shoulder,i feel like i went to an acupunctures practice and had 100 needles in my shoulder
36,36,i have a cut that has become red and oozes puss,i a have a cut cut has that has a become oozes red oozes and oozes have puss that,i have a cut that has become red and has puss
37,37,i cant get a girlfriend because of my acne,i girlfriend cant get cant a girlfriend because of my my acne,i cant get a girlfriend because of my acne
38,38,i have a foot ache although i dont walk a lot,i i have walk a have foot ache a although lot i dont walk a lot ache,i have a foot ache although i dont walk a lot
39,39,my neck hurts me and i cant stand with this pain,my me neck hurts me hurts and i cant i stand with this i pain,my neck hurts me and i cant stand with this pain
40,40,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i my am cloud having blurry problems seeing things a feel like a am cloud on is my eyes everything is a blurry feel,i am having problems seeing things feel like a cloud on my eyes everything is blurry
41,41,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,i have have a is break in infected the skin inside become one of my nostrils that has become and infected i and is nostrils now filled become with i pus,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus
42,42,chronic bowel pain,chronic bowel pain,chronic bowel pain
43,43,i feel pain in my foot,i pain feel pain pain in foot my pain foot my,i feel pain in my foot
44,44,i have a break in the skin between my thumb and index finger and it will not close,i thumb have my a break and in the have skin between my thumb and index thumb finger and in it will not close my,i have a break in the skin between my thumb and index finger and it will not close
45,45,my stomach aches after i drink any soda drink why,my drink stomach aches aches why after i drink drink why any soda drink drink why any,my stomach aches after i drink any soda drink why
46,46,my knees ache on cold and rainy days,my knees days ache on cold and rainy days and,my knees ache on cold and rainy days
47,47,my muscle in my shoulder burns when i move my arm,my muscle my in move my shoulder shoulder i burns my when i move my my arm,my muscle in my shoulder burns when i move my arm
48,48,i feel pain inside i do not know what it is,i feel pain is inside i do not know know what i it is,i feel pain inside i do not know what it is
49,49,i have a feeling like my whole body is complaining,i have body a my feeling have like body my complaining whole is body body is i complaining my,i have my feeling like my whole body is complaining
50,50,i get terrible headaches every few months and when i get them my vision is affected,i terrible get and terrible months headaches every few few months and when i get them my vision terrible is affected,i get terrible headaches every few months and when i get them my vision is affected
51,51,i had a collision while playing soccer  my knee buckled and now its unstable,i unstable had now a had collision while and playing soccer my knee unstable buckled and i now had its its unstable unstable,i had a collision while playing soccer my knee buckled and now had its unstable
52,52,this long scar on my left buttock is from falling off my mountain bike,this long my scar is on my left left falling buttock is from falling falling off my from mountain my bike is,this long scar on my left buttock is from falling off my mountain bike
53,53,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,i had in a still cold the have last plane time a i my travelled travelled by plane time and i still and have my a discomfort time in a my ears,i had in cold the last time a i travelled by plane and still have a discomfort in my ears
54,54,i often get a stomach ache after i eat  i havent been able to pinpoint which foods might be the trigger,i often ache get eat a stomach pinpoint ache able after havent i eat i havent been able to eat pinpoint trigger which might foods havent might get be the trigger i,i often get a stomach ache after i eat i havent been able to pinpoint which foods might be the trigger
55,55,when i get up i feel dizzy and fall down,when i get get i up i i feel dizzy and fall down,when i get i up i feel dizzy and fall down
56,56,my skin is itching,my my skin is is itching,my skin is itching
57,57,i feel pain in my back,i feel pain in my back,i feel pain in my back
58,58,i have a mental suffering,i have mental a mental mental suffering suffering,i have a mental suffering
59,59,i have a dry skin,i have a a dry skin,i have a dry skin
60,60,i cant move my leg there is pain in the joint,i i cant move my the leg there in is my pain in the joint,i cant move my leg there is pain in the joint
61,61,my heart hurts me,my hurts heart hurts me me,my heart hurts me
62,62,i have a pain in my trapes,i trapes have my a pain a in my trapes,i trapes a pain in my
63,63,i have tried to relief it but i cant,i have tried to relief to it tried but i to cant,i have tried to relief it but i cant
64,64,i feel pain in my right shoulder after the tennis match,i feel match pain i in after my match right tennis shoulder match after match the tennis right match in,i feel pain in my right shoulder after the tennis match
65,65,there are some pimples on my face that bother me a lot,there some are some pimples face on my face that bother are me a lot lot,there are some pimples on my face that bother me a lot
66,66,sometimes i feel like a claw on my chest that leaves me breathless,sometimes i feel like feel a claw on on leaves my chest that leaves leaves me sometimes breathless,sometimes i feel like a claw on my chest that leaves me breathless
67,67,im not good i feel dizzy,im im not dizzy good i feel i dizzy,im not good i feel dizzy
68,68,my shower drain is full of hair every time,my shower shower drain is full hair of hair every every time drain,my shower drain is full of hair every time drain
