,Unnamed: 0,refs,trans,model_corrected
0,0,i have a painful cramp in my feet,i have a painful cramp in my feet,i have a painful cramp in my feet
1,1,the pain feels like its right below the skin,the pain feels like its right below the skin,the pain feels like its right below the skin
2,2,i feel suicidal,i feel suicidal,i feel suicidal
3,3,i feel a sharp pain in my ankle joint when i stand,i feel a sharp pain in my ankle rankle joint when i stand,i feel a sharp pain in my ankle joint when i stand
4,4,my shoulder hurts me so much,my shoulder hurts me so much,my shoulder hurts me so much
5,5,i have a hair shortage,i have a hair shortage,i have a hair shortage
6,6,my left ear is ok but the right one feels like its being stabbed with a nail,my left ear is ok but the right one feels like its being stabbed crabbed with a nail ale,my left ear is ok but the right one feels like its being stabbed with a nail
7,7,im suffering from sharp cough accompanied by  phlegm,im hymn suffering from sharp cough accompanied by phlegm,im hymn suffering from sharp cough accompanied by phlegm
8,8,i was playing soccer and i twisted my ankle,i was coultas playing soccer and i twisted my ankle,i was playing soccer and i twisted my ankle
9,9,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder its schmidt's like lightning is being fleeing sent invent through my shoulder,when i move my shoulder its like lightning is being sent through my  shoulder
10,10,i have pimples in patches along with a lot of redness on my face,i have pimples dimples in patches along with a lot of redness on my face,i have pimples in patches along with a lot of redness on my face
11,11,when i brush my hair i notice big clumps of hair coming out in the brush,when i brush my hair i notice big clumps of hair traer coming out in the brush,when i brush my hair i notice big clumps of hair coming out in the brush
12,12,i cant see the sign i have a blurry vision,i cant see the sign i have a blurry vision,i cant see the sign i have a blurry vision
13,13,my heart hurts when i exercise,my bye heart hurts when i exercise misidentifies,my heart hurts when i exercise
14,14,i feel a tightness in my chest,i feel a tightness in my chest,i feel a tightness in my chest
15,15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is falling without krout a reason i can see a lot of shove hair on my bye-bye working desk,my hair is falling without a reason i can see a lot of hair on my working desk
16,16,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife while i was cooking,i sliced myself with a knife while i was cooking
17,17,i feel cold,i feel cold,i feel cold
18,18,i dont have problems taking in breath but out breath is so heavy,i dont have problems taking aching in breath creath but out breath death is so heavy,i dont have problems taking aching in breath but breath death is so heavy
19,19,i feel a lot of pain in the joints,i feel a lot of pain in the joints datapoints,i feel a lot of pain in the joints
20,20,my upper back has been sore for a week,my upper back has been sore for a week,my upper back has been sore for a week
21,21,sometimes i cough because im a smoker,sometimes i cough because im a smoker,sometimes i cough because im a smoker
22,22,my television and computer seem out of focus even though i have new glasses,my television and computer seem out of labov focus hocus even though i have new glasses,my television and computer seem out of focus even though i have new glasses
23,23,my foot hurts me a lot of playing football,my foot hurts me cottee a lot of playing football,my foot hurts me a lot of playing football
24,24,i have tried to make massage on my foot but they still pain me,i have tried to make massage on my foot but rut they mclay still pain me,i have tried make massage on my foot but they still pain me
25,25,i was playing football and injuried with joint pain,i was playing football and injuried with joint pain,i was playing football and injuried with joint pain
26,26,my grandmother last year went to hospital because she was having a hard time breathing,my grandmother stepmother last year went to hospital doolittle because she was having a hard time breathing,my grandmother last year went to hospital because she was having a hard time breathing
27,27,i feel pain in my eyes i can see fog,i feel pain in my eyes i can see fog,i feel pain in my eyes i can see fog
28,28,i feel dizzy and out of sight,i feel dizzy and out of sight,i feel dizzy and out of sight
29,29,my hair is falling when i am combing it,my hair is falling when i am combing it,my hair is falling when i am combing it
30,30,he was discovered to have an open wound,he was discovered to have an open wound,he was discovered to have an open wound
31,31,the acne was causing me to feel embarrassed,the acne was causing me rountree to feel embarrassed merest,the acne was causing me to feel embarrassed
32,32,the pain in my ear is unbearable,the pain in my ear is unbearable,the pain in ear is unbearable
33,33,i feel a pain in my neck,i feel a pain bane in my neck,i feel a pain in my neck
34,34,my chest hurts when i smoke,my chest hurts when i smoke,my chest hurts when i smoke
35,35,i feel like i went to an acupunctures practice and had 100 needles in my shoulder,i feel like i went to withdrew an acupunctures practice and had 100 needles in my shoulder,i feel like i went to an acupunctures practice and had 100 needles in my shoulder
36,36,i have a cut that has become red and oozes puss,i have a cut that has become red and oozes puss,i have a cut that has become red and oozes
37,37,i cant get a girlfriend because of my acne,i cant get beget a girlfriend because of my acne lachney,i cant get a girlfriend because of my acne
38,38,i have a foot ache although i dont walk a lot,i have a foot afoot ache although i dont walk a lot,i have a foot ache although i dont walk a lot
39,39,my neck hurts me and i cant stand with this pain,my neck hurts me and i cant stant stand with this pain,my neck hurts me and i cant stand with this pain
40,40,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problems seeing things feel like a cloud on my eyes everything is blurry
41,41,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,i have nav a break in the skin inside one of my nostrils that matte has become infected and is now filled with pus,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus
42,42,chronic bowel pain,chronic bowel pain,chronic bowel pain
43,43,i feel pain in my foot,i feel pain in my foot,i feel pain in my foot
44,44,i have a break in the skin between my thumb and index finger and it will not close,i have a break in the skin between my thumb chum and index finger and it burditt will not close,i have a break in the skin between my thumb and index finger and it will not close
45,45,my stomach aches after i drink any soda drink why,my stomach aches after i drink linck any soda broda drink why,my stomach aches after i drink any soda drink why
46,46,my knees ache on cold and rainy days,my knees ache on cold machold and rainy days,my knees ache on cold and rainy days
47,47,my muscle in my shoulder burns when i move my arm,my muscle in my shoulder burns when i move my arm,my muscle in my shoulder burns when i move my arm
48,48,i feel pain inside i do not know what it is,i feel pain inside i do not know what glut it is,i feel pain inside i do not know what it is
49,49,i have a feeling like my whole body is complaining,i have a feeling like my whole body is complaining,i have a feeling like my whole body is complaining
50,50,i get terrible headaches every few months and when i get them my vision is affected,i get terrible headaches every few months and when i get them my supply vision is affected,i get terrible headaches every few months and when i get them my supply vision is affected
51,51,i had a collision while playing soccer  my knee buckled and now its unstable,i had a collision while playing soccer my knee buckled and now its unstable,i had a knee buckled and now its unstable
