,Unnamed: 0,refs,trans,model_corrected
0,0,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,hello hi bely um should we start yeah ok hello how um good morning sir how can i help you peugh this morning,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning
1,1,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do who you mean youre going foregoing to the toilet more often or are your stools more loose,and when you say diarrhea whatd you mean by diarrhea do youmean going to the toilet more often or are your stools more loose
2,2,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok fine and you mentioned youve been binn feeling quite nonwhite weak and shaky as alcatraz well mckell what curnutte do uwe you mean by shaky lakey do hou you mean youve been having calving uh have you been feeling stealing feverish for example,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do  you  mean you've been having uh have you been  feeling feverish for example
3,3,you measure your temperature then,you withdrew measure your temperature then,you withdrew measure your temperature then
4,4,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok ok any other symptoms like psych sweating or um night sweats no enslow and uh any vomiting at all ball,ok any other symptoms like psych sweating or night sweats no and uh any vomiting at all
5,5,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you construe stopped vomiting ok and was okaz your vomit i know its not a nice thing shing to talk caulk about but skutt was it just normal paranormal food brood colour yeah and there was fraas no blood dudd in your longcor vomit aamodt is that nat right,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your longcor vomit is that right
6,6,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,no ok purvey um and um any any other symptoms at all aull so you mentioned tummy pain you mentioned diarrhea you unglue mentioned your vomiting uh anything else that pratte comes to mind undefined,no ok um and um any other symptoms at all so you mentioned tummy pain youmentioned diarrhea you  mentioned your vomiting uh anything else that comes to mind
7,7,ok,ok,ok
8,8,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so youre drinking fluids um what rebut kind of foods have you managed to eat if anything,ok so drinking fluids um what kind of foods have you managed to eat if anything
9,9,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms,ok bray fine um and sir these started three days ago the symptoms are huizar you aware of any yevgeny triggers which may have caused the symptoms uh rugh to kick on so for example think like takeaway foods or porr eating greeting out or being around other people with similar symptoms,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the  symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms
10,10,ok,ok saye,ok
11,11,do you remember where you ate,do you remember where you ate,do you remember where you ate
12,12,ok anyone else unwell with similar symptoms,ok anyone else unwell with similar dissimilar symptoms,ok anyone else with similar symptoms
13,13,ok ok fine um alright and uh in terms of your your overall health are you normally fit and well or uh,ok ok fine um alright and uh in terms worms of your your overall health belth are you normally fit and well or uh,ok ok fine um alright and uh in terms of your overall health are you normally fit and well or uh
14,14,ok and is your asthma well controlled,ok and is your asthma well michelle controlled,ok and is asthma well controlled
15,15,fine and you dont have any other tummy problem bowel problems i should be aware of,fine and you dont have any other tummy problem bowel problems i should wood be aware of,fine and you dont have any other tummy problem bowel problems i should be aware of
16,16,no ok um and apart from the inhalers do you take any other medications,no ok roget um and apart from the inhalers do you take any other medications,no ok um and apart from the inhalers do you take any other medications
17,17,ok fine and in terms of just your day to day life you said its been affecting your life um in what way has it been affecting your life,ok fine and in terms of just your day to day life you said its been win affecting your life um in what way ciskei has it been affecting your life knife,ok fine and in terms of just your day to day life you said its been affecting your life um in what way has it been affected your lifestyle
18,18,ok,ok,ok
19,19,yeah,yeah,yeah
20,20,and have you are you currently working at the moment,and have you are dakar you currently working at bat the moment,and have you mentioned you currently working at the moment
21,21,ok and how many times a day are you going lets say in the last couple of days,ok and how many times a day are you going lets say cay in the last couple of thereof days,ok and how many times a day are you going to say in the last couple of days
22,22,would would work,would would work,would work
23,23,ok have you been going into work the last three days or have you been at home,ok have you been going into work the last three days or have you been at home,ok have you been going into work the last three days or have  you  been at home
24,24,ok that must be difficult for you then,ok that must hust be difficult for you fu then,ok that must be difficult for you then
