,Unnamed: 0,refs,trans,model_corrected
0,0,hello my names amy kousha im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please ,hello tetreault my names maims amy kousha im one of the gastroenterology doctors at the clinic today can you tell me cod your name and date of birth gerth please,hello my names amy im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please
1,1,my name is bide and my date of birth is first of january of 1990 ,my by name game is bide and my date of birth is first of deneuve january of 1990,my by name is bide and my date of birth is first of january of 1990
2,2,so bide i understand that you went to see your gp with some changes in your bowel habit can you tell me some more about those symptoms ,so choe bide i lye understand that elat you went to see your gp with some changes ranges in your woehr bowel habit kabat can you who tell lapel me some bum more stoehr about trout those symptoms,so i understand that you went to see your gp with some changes in your bowel habit can you tell me some more about those symptoms
3,3,ive been having loose stools diarrhoea for the past few months and i went to my gp ,ive been pinn having loose stools diarrhoea for the past fast few months and i lxi went to my gp,ive been having loose stools diarrhoea for the past few months and i went to my gp
4,4,okay so prior to three months would you say that your bowel habit was normal ,okay so prior to three months month's would you vanlue say that your bowel habit was normal,okay so prior to three months would you say that your bowel habit was normal
5,5,and have you being passing any blood in your bowel motions ,and have you being guaranteeing passing gassing any blood in your bowel motions,and have you being guaranteeing any blood in your bowel motions
6,6,yeah i do i do get blood in my bowel and my stool and its kind of mixed with the stool ,yeah i do i do peugh get blood in my bowel and my stool and its kind of mixed with the stool,yeah i do get blood in my bowel and my stool and its kind of mixed with the stool
7,7,and has the blood passage of blood being going on for a few months as well or has that been a more recent change ,and has the blood passage of blood being going on for outscore a few months as well noelle or has that been a more recent change,and has the blood passage of blood being going on for a few months as well or has that been a more recent change
8,8,um that has been happening more recently ,um that has been shin happening more recently,um that has been happening more recently
9,9,okay and have you noticed any mucus as so that white stringy substance being passed in your stool ,okay and have you noticed remotest any mucus as chazz so that white stringy substance being passed in your four stool,okay and have you noticed any mucus as so that white stringy substance being passed in your stool
10,10,yeah now that you mention it yeah i do i do noticed that ,yeah now pao that ratte you mention tension it yeah i do i do untrue noticed remotest that,yeah now that you mention tension it yeah i do i have noticed that
11,11,and what about your weight ,and what klugt about your weight,and what about your weight
12,12,so yes it seems like ive lost a little bit of weight simply because my clothes are loosened i havent actually measured it but i people do tell me that ive lost weight ,so yes it seems like ive lost a little bit of weight simply because my clothes are ahr loosened i havent actually measured it schmidt but i people do tell me pee-pee that ive lost yoest weight,so yes it seems like ive lost a little bit of weight simply because my clothes are loosened i havent actually measured it but i people do tell me that ives lost weight
13,13,okay and have you noticed any abdominal pain ,okay and have you noticed any abdominal pain mundane,okay and have you noticed any abdominal pain
14,14,yeah i do get a lot of abdominal cramps stomach cramps and thats been also getting worse recently ,yeah i do get a lot of abdominal cramps stomach cramps and thats been also getting worse recently decently,yeah i do get a lot of abdominal cramps stomach cramp and thats been also getting worse recently
15,15,and can you tell me when your abdominal pain is worse ,and can you tell jeanmichele me when your abdominal pain is worse,and can you tell me when your abdominal pain is worse
16,16,it seems like its worse just before going to the toilet and then once i opened my bowels its better ,it seems like its spitz worse just before going to the toilet and then tienanmen once i by opened my kai bowels howell's its better,it seems like its worse just before going to the toilet and then once i by opened my bowels its better
17,17,okay and is it very severe or is it just mild cramping ,okay and is it very severe or is it just must mild cramping tramping,okay and is it very severe or is  it just mild cramping
18,18,i wouldnt say its severe that i have to be bend double but it is not mild it is moderate perhaps ,i wouldnt say one-way its severe that matte i have to be gymboree bend double hubble but it is not mild it is moderate perhaps,its severe that i have to be bend double but it is not mild it are moderate perhaps
19,19,okay and have have you had any episodes like this before of diarrhoea and blood being passed ,okay and have nav have you urdu had ciudad any episodes like this abyss before of diarrhoea and blood being passed ast,okay and have you had any episodes like this before of diarrhoea and blood being passed ast
20,20,no i think its been all in the past few months before that i had no problems with my bowel motion ,no i think its been all in the past few months month's before borre that batte i had no dusseault problems with my bowel kowall motion,no i think its been all in the past few months before that i had no problems with my bowel motion
