,Unnamed: 0,refs,trans,model_corrected
0,0,i have a painful cramp in my feet,I have a a painful a cramp in my foundation,I have a painful cramp in my foundation
1,1,the pain feels like its right below the skin,the pain feels like its right skin,the pain feels like its right skin
2,2,i feel suicidal,one feel suicidal,one felt suicidal
3,3,i feel a sharp pain in my ankle joint when i stand,i feel a sharp pain pain in my ankle joint i,i felt a sharp pain in my ankle joint i
4,4,my shoulder hurts me so much,my shoulder hurts me me much,my shoulder hurts me much
5,5,i have a hair shortage,i have a haircloth shortage,i have a haircloth shortage
6,6,my left ear is ok but the right one feels like its being stabbed with a nail,my left ear is ok but the but right right one right feels its being A nail,my left ear is ok but the right one feels its being hit by a nail
7,7,im suffering from sharp cough accompanied by  phlegm,im suffer from sharp cough by phlegm,im suffer from sharp cough caused by phlegm
8,8,i was playing soccer and i twisted my ankle,iodine was act soccer i and i and my,iodine was used for soccer i and my
9,9,when i move my shoulder its like lightning is being sent through my shoulder,when one move my shoulder like its like its lightning its being through my shoulder,when one moves its shoulder like its lightning being passed through my shoulder
10,10,i have pimples in patches along with a lot of redness on my face,i have pimples in patches patches along with with a lot redness my face,i have pimples in patches along with a lot of redness on my face
11,11,when i brush my hair i notice big clumps of hair coming out in the brush,when iodine brush my hair i of notice big clumps clumps of clumps in the brush,when iodine brush my hair i noticed big clumps of hair in the brush
12,12,i cant see the sign i have a blurry vision,i cant experience the i sign the i have vision,i cant experience the i sign because i have no vision
13,13,my heart hurts when i exercise,my heart hurts when exercise,my heart hurts when I exercise
14,14,i feel a tightness in my chest,i feel a tightness in my thorax,i felt a tightness in my thorax
15,15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair be accrue without a reason i i can see see a reason lot reason of on my desk,my hair is accrue without a reason i can see a lot of hair on my desk
16,16,i sliced myself deeply with a knife while i was cooking,iodine slice myself deeply with a knife while was cook,iodine slice myself deeply with a knife while he was cooking
17,17,i feel cold,one feel cold,one felt cold
18,18,i dont have problems taking in breath but out breath is so heavy,i dont have problems taking in but breath but but is so heavy,i dont have problems taking in breath but it is so heavy
19,19,i feel a lot of pain in the joints,i feel a lot lot of pain pain lot in the joints,i feel a lot of pain in the joints
20,20,my upper back has been sore for a week,my amphetamine back has been has sore for a week,my upper back has been sore for a week
