,Unnamed: 0,refs,trans,model_corrected
0,0,hello my names amy kousha im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please ,hello my names amy kousha im one of the gastroenterology doctor at the clinic today displace you distinguish me your name and date of birth please,hello my names amy kousha im one of the gastroenterology physicians at the clinic today can you distinguish me your name and date of birth please
1,1,my name is bide and my date of birth is first of january of 1990 ,my name is bide and my date of birth is first of January of 1990,my name is bide and my date of birth is first of January of 1990
2,2,so bide i understand that you went to see your gp with some changes in your bowel habit can you tell me some more about those symptoms ,so bide i sympathize that you went to see your gp with approximately changes in your bowel habit can you tell me some more about those symptoms,so now that you went to see your gp with some changes in your bowel habits can you tell me some more about those symptoms
3,3,ive been having loose stools diarrhoea for the past few months and i went to my gp ,ive been have unleash stools diarrhoea for the past few months and I went to my gp,ive been having stools diarrhoea for the past few months and I went to my gp
4,4,okay so prior to three months would you say that your bowel habit was normal ,O.K. so anterior to trey months would you say that your intestine habit was normal,so prior to three months would you say that your bowel habit was normal
5,5,and have you being passing any blood in your bowel motions ,and rich_person you be travel_by any blood indium your intestine motion,and you were passing any blood in your bowel motility
6,6,yeah i do i do get blood in my bowel and my stool and its kind of mixed with the stool ,yeah i do i practice grow blood in my bowel and my stool and its kind of mix with the stool,yeah i do i practice growing blood in my bowel and my stool and its kind of mixed with the stool
7,7,and has the blood passage of blood being going on for a few months as well or has that been a more recent change ,and give_birth the blood passage of rake organism go on for a few months ampere well operating_room has that be deoxyadenosine_monophosphate more recent change,and given the blood passage of blood organisms goes on for a few months as well as has that been a more recent change
8,8,um that has been happening more recently ,um that has equal happening more recently,um that has been happening more recently
9,9,okay and have you noticed any mucus as so that white stringy substance being passed in your stool ,okay and give_birth you notice any mucus as so that white stringy substance organism passed in your stool,do you notice any mucus as so that white stringy substance organisms passed in your stool
10,10,yeah now that you mention it yeah i do i do noticed that ,yea now that you mention information_technology yeah i do iodine do notice that,yea now that you mention it yeah i do do notice that
11,11,and what about your weight ,and what about your weight,and what about your weight
12,12,so yes it seems like ive lost a little bit of weight simply because my clothes are loosened i havent actually measured it but i people do tell me that ive lost weight ,so yes it seem like ive lost a little bit of weight simply because my clothe be loosened i havent actually measured information_technology but I people do tell Maine that ive lost weight,so yes it seems like ive lost a little bit of weight simply because my clothe was loosened i havent actually measured it but I people do tell mams that ives lost weight
13,13,okay and have you noticed any abdominal pain ,okay and have you noticed any abdominal trouble,okay and have you noticed any abdominal pain
14,14,yeah i do get a lot of abdominal cramps stomach cramps and thats been also getting worse recently ,yea one do get a set of abdominal cramps digest cramps and thats be also getting bad recently,yea one did have a set of abdominal cramps stomach cramping and thats been also getting worse recently
15,15,and can you tell me when your abdominal pain is worse ,and can you tell me when your abdominal pain is worse,and can you tell me when your abdominal pain is worse
16,16,it seems like its worse just before going to the toilet and then once i opened my bowels its better ,it seems like information_technology bad just before going to the toilet and then once i opened my bowels its good,it seems like it bad just before going to the toilet and then once i opened my bowels its good
17,17,okay and is it very severe or is it just mild cramping ,okay and is it very severe or is information_technology just mild cramping,okay and is it very severe or is its just mild cramping
18,18,i wouldnt say its severe that i have to be bend double but it is not mild it is moderate perhaps ,i wouldnt say its austere that one have to be bend double but information_technology embody not mild information_technology be moderate possibly,i wouldnt say its severe that one has to be curved double but it is not mild it was moderate possibly
19,19,okay and have have you had any episodes like this before of diarrhoea and blood being passed ,okay and consume have you have any episode like this ahead of diarrhoea and blood embody run,okay and have you had any episodes like this before of diarrhoea and blood was drained
20,20,no i think its been all in the past few months before that i had no problems with my bowel motion ,no i think its be all in the past few months before that i have no problem with my bowel motion,no i think it was all in the past few months before that i have no problem with my bowel motility
