,Unnamed: 0,refs,trans,model_corrected
0,0,i have a painful cramp in my feet,iodine have a painful cramp in my foot,iodine had a painful cramp in my foot
1,1,the pain feels like its right below the skin,the pain feel like its right below the skin,the pain felt like its right below the skin
2,2,i feel suicidal,iodine feel suicidal,iodine felt suicidal
3,3,i feel a sharp pain in my ankle joint when i stand,one feel a sharp pain in my ankle joint when one stand,one experienced a sharp pain in my ankle joint when one stood
4,4,my shoulder hurts me so much,my shoulder hurts Maine so much,my shoulder hurts me so much
5,5,i have a hair shortage,one induce angstrom hair deficit,one had a hair deficit
6,6,my left ear is ok but the right one feels like its being stabbed with a nail,my entrust ear is very_well but the mighty one feel like its be stabbed with A nail,my left ear is very sore but the right one feels like its been stabbed with a nail
7,7,im suffering from sharp cough accompanied by  phlegm,im suffer from sharp cough accompany by phlegm,im suffered from sharp cough accompanied by phlegm
8,8,i was playing soccer and i twisted my ankle,i was play soccer and i twisted my ankle,i was playing soccer and i twisted my ankle
9,9,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder its like lightning is being send through my shoulder,when i move my shoulder its like lightning is being sent through my shoulders
10,10,i have pimples in patches along with a lot of redness on my face,i rich_person pimples in patches along with a lot of red on my face,i have pimples in patches along with a lot of red on my face
11,11,when i brush my hair i notice big clumps of hair coming out in the brush,when i brush my hair iodine poster big clumps of hair coming out Indiana the brush,when i brush my hair iodine showed big clumps of hair coming out in the brush
12,12,i cant see the sign i have a blurry vision,i bank visit the sign i have a blurry sight,i bank visit the sign i have a blurry sight
13,13,my heart hurts when i exercise,my heart hurt when i exercise,my heart hurt when i exercise
14,14,i feel a tightness in my chest,i palpate deoxyadenosine_monophosphate tightness in my chest,i palpated a tightness in my chest
15,15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair be fall without ampere reason i toilet see A lot of hair on my ferment desk,my hair was friable without a reason i can see a lot of hair on my living room
16,16,i sliced myself deeply with a knife while i was cooking,i chopped myself deeply with deoxyadenosine_monophosphate knife while i was cooking,i chopped myself deeply with a knife while i was cooking
17,17,i feel cold,iodine feel cold,iodine felt cold
18,18,i dont have problems taking in breath but out breath is so heavy,i dont experience problems subscribe inch breath merely extinct breath cost so heavy,i dont experience problems participating in breath but extinct breath is so heavy
19,19,i feel a lot of pain in the joints,I feel A bunch of pain Indiana the joint,I felt a lot of pain in the joint
20,20,my upper back has been sore for a week,my amphetamine back have been sore for adenine workweek,my upper back has been sore for a week
21,21,sometimes i cough because im a smoker,sometimes i cough because im a smoker,sometimes i cough because im a smoker
22,22,my television and computer seem out of focus even though i have new glasses,my television and computer seem out of focus even though i have new looking_glass,my television and computer seem out of focus even though i have new eyes
23,23,my foot hurts me a lot of playing football,my foot detriment me a distribute of act football,my foot detriment me a portion of routine football
24,24,i have tried to make massage on my foot but they still pain me,i have sample to make massage on my foot merely they still pain Maine,i have samples to make massage on my feet but they still pain me
25,25,i was playing football and injuried with joint pain,I be play football and injuried with joint pain,I was playing football and injured with joint pain
26,26,my grandmother last year went to hospital because she was having a hard time breathing,my grandmother concluding year go to hospital because she was own vitamin_A hard time rest,my grandmother last year went to hospital because she was having a hard time rest
27,27,i feel pain in my eyes i can see fog,I feel pain indium my eyes one can see obscure,I feel pain in my eyes one can see obscure
28,28,i feel dizzy and out of sight,i feel dizzy and out of sight,i felt dizzy and out of sight
29,29,my hair is falling when i am combing it,my hair be falling when i am comb information_technology,my hair is falling when i am combing it
30,30,he was discovered to have an open wound,helium was discovered to hold Associate_in_Nursing open wound,helium was discovered to have an open lesion
31,31,the acne was causing me to feel embarrassed,the acne be cause me to feel embarrass,the acne is causing me to feel embarrassed
32,32,the pain in my ear is unbearable,the pain in my ear be intolerable,the pain in my ear was intolerable
33,33,i feel a pain in my neck,one palpate A pain in my neck,one palpated a pain in my neck
