,refs,trans,model_corrected
0,hello my names amy kousha im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please ,hello ai names amy kousha im one of  gastroenterology doctors at the clinic today can you tell me your name and aydt of birth please,hello by names amy kousha im one of the gastroenterology doctors at the clinic today can you tell me your name and date of birth please
1,my name is bide and my date of birth is first of january of 1990 ,my name expert bide  my birth is first of january  cavalier 1990,my name expert side by side my birth is first of january in 1990
2,so bide i understand that you went to see your gp with some changes in your bowel habit can you tell me some more about those symptoms ,so bide y Macrotyloma meadowland that you went to see gp  some changes in dentine bowel abbot Creole you tell some more about those symptoms,so now that you went to see gp you observed some changes in dentine bowel motility and you tell some more about those symptoms
3,ive been having loose stools diarrhoea for the past few months and i went to my gp ,ive adin having stools diarrhoea for the past few month's and i went to my gp,ive been having stools and diarrhoea for the past few months and i went to my gp
4,okay so prior to three months would you say that your bowel habit was normal ,okay so prior to three months would you say that abor malodorousness bowel habit was formal Pomo,so prior to three months would you say that more bowel habit was normal
5,and have you being passing any blood in your bowel motions ,and have being passing any blood in your bowel motions,and have being without passing any blood in your bowel motions
6,yeah i do i do get blood in my bowel and my stool and its kind of mixed with the stool , perquisite i do i do get budde in ai bowel and my stool and its kind of mixed with the abdul,however i do i to get blood in my bowel and my stool and its kind of mixed with the stool
7,and has the blood passage of blood being going on for a few months as well or has that been a more recent change ,and has blood passage of blood being going on for a few months as well or has  been a more change,and has blood passage of blood being going on for a few months as well or has there been a more significant change
8,um that has been happening more recently ,um that has been happening more recently,um that has been happening more recently
9,okay and have you noticed any mucus as so that white stringy substance being passed in your stool , and halve Inka you remotest any mucus as so batt bight stringy substance being passed in your ,and have you remotest any mucus as so that might prevent substance being passed in your stomach
10,yeah now that you mention it yeah i do i do noticed that ,yeah now that ado mention it pah i do i do remotest that,yeah now that we mention it pah i do i to remotest that
11,and what about your weight ,and what about your weight,and what about your weight
12,so yes it seems like ive lost a little bit of weight simply because my clothes are loosened i havent actually measured it but i people do tell me that ive lost weight ,so yes it seems like ive lost  little bit of simply because my clothes aer loosened i havent actually it but i people do tell me that ive lost weight,so yes it seems like ive lost a little bit of weight simply because my clothes are loosened i havent actually it but i people do tell me that ives lost weight
13,okay and have you noticed any abdominal pain ,okay  have ado noticed any phenomenal pain,okay we have never noticed any abdominal pain
14,yeah i do get a lot of abdominal cramps stomach cramps and thats been also getting worse recently ,yeah do get a lot of abdominal cramps cummock cramps and thats been also getting worse recently,yeah to get a lot of abdominal cramps cummockcramps and that has been also getting worse recently
15,and can you tell me when your abdominal pain is worse ,and Service can you tell me amen your abdominal pain is worse,and can you tell me when your abdominal pain is worse
16,it seems like its worse just before going to the toilet and then once i opened my bowels its better ,bit seems  its worse just ashore going to the toilet and then once paper  my bowels its better,it seems that its worse just before going to the toilet and then once paper reaches my bowels its better
17,okay and is it very severe or is it just mild cramping ,okay and is it very severe or is it just mild cramping,does it be very severe or is it just mild cramping
18,i wouldnt say its severe that i have to be bend double but it is not mild it is moderate perhaps ,i wouldnt say its severe that i have to ab swelter double but it is not mild it is moderate perhaps,i wouldnt say its severe that i have to be double but it is not mild it are moderate perhaps
19,okay and have have you had any episodes like this before of diarrhoea and blood being passed ,'kay and have have ado had any episodes like biss before gov pussytoes  and being passed,they have never had any episodes like this before of pussytoes bleeding and being passed
20,no i think its been all in the past few months before that i had no problems with my bowel motion ,no i think its been all in the past few month's before batt y roof had no problems with my bowel bocian,no i think its been all in the past few months before that i had no problems with my bowel habits
21,okay and have you noticed any joint pains ,okay and have you remotest any joint pains,okay and have you experienced any joint pains
22,maybe some pain in my knees especially my right knee ,maybe some pain in my knees especially my right knee,maybe some pain in my knees especially my right knee
23,but no not anywhere else ,but anarchism not anywhere else,but not anywhere else
24,any rashes or skin changes that youve noticed ,any rashes or skin changes that youve noticed,any rashes or skin changes that youve noticed
25,and any problems with nausea or vomiting or swallowing , any problems nausea or  animalisation or ,any problems nausea or vomiting or diarrhoea
26,okay so i understand that your gp started you on some steroids is that right ,okay so i understand that gp  you on some steroids is that right,okay so i understand that gp put you on some steroids is that right
27,yeah so thats correct my gp started me on some steroid tablets which made me feel better initially but its not completely back to normal ,pah so thats my gp started me on  annoyed tablets   latitudinal me beal rest better judicially  bits mezzo cot bow completely back do normal,so so thats my gp started me on oral tablets to get me to rest better judicially and its not completely back to normal
