,refs,trans,model_corrected
0,i have a painful cramp in my feet,i halve a painful cramp in my feet,i have a painful cramp in my feet
1,the pain feels like its right below the skin,the pain feels bike its right below the skin,the pain feels like its right below the skin
2,i feel suicidal,y feel suicidal,y feel suicidal
3,i feel a sharp pain in my ankle joint when i stand,i feel a sharp pain my ankle joint i stand,i feel a sharp pain in my ankle joint i stand
4,my shoulder hurts me so much,ai shoulder hurts me much,ai shoulder hurts me much
5,i have a hair shortage,y have a Hyperstat hair shortage,y have a hair shortage
6,my left ear is ok but the right one feels like its being stabbed with a nail,my left ear is ok but the right one bike being stabbed with a nail,my left ear is ok but the right one is being stabbed with a nail
7,im suffering from sharp cough accompanied by  phlegm,im suffering from sharp cough by phlegm,im suffering from sharp cough caused by phlegm
8,i was playing soccer and i twisted my ankle,i was playing bachar and i twisted my ankle,i was playing bachar and i twisted my ankle
9,when i move my shoulder its like lightning is being sent through my shoulder,when i move ai shoulder its like lightning is being sent through my shoulder,when i move by shoulder its like lightning is being sent through my shoulder
10,i have pimples in patches along with a lot of redness on my face,i have pimples in patches along cot gov GA redness on my face,i have pimples in patches along not of redness on my face
11,when i brush my hair i notice big clumps of hair coming out in the brush,when i brush my hair i notice big clumps of ayre coming out in the brush,when i brush my hair i notice big clumps of hair coming out in the brush
12,i cant see the sign i have a blurry vision,i cant see the sign i have a churry eye vision,i cant see the sign i have a churry eye vision
13,my heart hurts when i exercise,my  bertz feasible when i exercise,my diet is feasible when i exercise
14,i feel a tightness in my chest,i feel a  in my chest,i feel a sensation in my chest
15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is colling without a reason i can see a lot of hair my working desk,my hair is falling without a reason i can see a lot of hair on my working desk
16,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife while i was cooking
17,i feel cold,i feel bold accommodative,i feel bold accommodative
18,i dont have problems taking in breath but out breath is so heavy, dont have problems taking in breath but bout breath is au heavy,they dont have problems taking in breath but their breath is no heavy
19,i feel a lot of pain in the joints,i feel a lot of pain in the gyrostabiliser joints,i feel a lot of pain in the joints
20,my upper back has been sore for a week,my upper back has been sore for a ,my upper back has been sore for a while
21,sometimes i cough because im a smoker,sometimes cough because im a smoker,sometimes cough because im a smoker
22,my television and computer seem out of focus even though i have new glasses,my television and computer beam bout of focus even though i have new glasses,my television and computer seem out of focus even though i have new glasses
23,my foot hurts me a lot of playing football,unhuman foot hurts me a lot of playing football,unhuman foot hurts me a lot of playing football
24,i have tried to make massage on my foot but they still pain me,i have tried to  massage on my foot but 'kay still  me,i have tried to get a massage on my foot but they still bother me
25,i was playing football and injuried with joint pain,i was playing football and injuried with joint pain,i was playing football and frequently presented with joint pain
26,my grandmother last year went to hospital because she was having a hard time breathing,ai grandmother last year went to hospital because she ahs having a hard time ,ai grandmother last year went to hospital because she was having a hard time coping
27,i feel pain in my eyes i can see fog,y feel pain in my eyes y ahn see fog,y feel pain in my eyes y can see fog
28,i feel dizzy and out of sight,i beal platoon bizzy and out of sight,i beal buried and out of sight
29,my hair is falling when i am combing it,my hair ms when i bam combing it,my hair is frizzy when i am combing it
30,he was discovered to have an open wound,he was discovered to have open wound,he was discovered to have open wound
31,the acne was causing me to feel embarrassed,the acne was causing me do feel embarrassed,the acne was causing me to feel embarrassed
32,the pain in my ear is unbearable,the pain in ai ear is unbearable,the pain in by ear is unbearable
33,i feel a pain in my neck,i beal  cornucopia in my ,i beal cancer in my stomach
34,my chest hurts when i smoke,my chest hurts amen i smoke,my chest hurts when i smoke
35,i feel like i went to an acupunctures practice and had 100 needles in my shoulder,i like i went to an acupunctures practice and add 100 needles in my shoulder,i like i went to an acupunctures practice and had 100 needles in my shoulder
36,i have a cut that has become red and oozes puss,i halve a cut that has become red and oozes puss,i have a cut that has become red and oozes puss
37,i cant get a girlfriend because of my acne,i aunt get a goodfriend because of my acne,i get a goodfriend because of my acne
38,i have a foot ache although i dont walk a lot,i have a foot bake although i dont walk a lot,i have a foot sing although i dont walk a lot
39,my neck hurts me and i cant stand with this pain,my baek hurts me and i cant bland with  queen pain,my neck hurts me and i cant stand with abdominal pain
40,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problems seeing brings feel like a cloud on my eyes frederking is blurry,i am having problems seeing and feel like a cloud on my eyes and my vision is blurry
41,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,salaciousness have a break in the adin bun of my nostrils that has become infected and is now filled with pus,we have a break in the skin of my nostrils that has become infected and is now filled with pus
42,chronic bowel pain,chronic  pain,chronic abdominal pain
43,i feel pain in my foot,i feel pain in my foot,i feel pain in my foot
44,i have a break in the skin between my thumb and index finger and it will not close,i a break in the skin between my thumb and index finger and bit will not close,i can detect a break in the skin between my thumb and index finger and it will not close
45,my stomach aches after i drink any soda drink why,my stomach aches after i blink any soda drink why,my stomach aches after i blink any soda drink why
46,my knees ache on cold and rainy days,my knees bake on cold and rainy days,my knees bake on cold and rainy days
47,my muscle in my shoulder burns when i move my arm,my muscle in my shoulder burns when i move  infatuate arm,my muscle in my shoulder burns when i move my arm
48,i feel pain inside i do not know what it is,i feel pain  i du not know what it is,i feel pain but i do not know what it is
49,i have a feeling like my whole body is complaining,i have a feeling like my whole body is complaining,i have a feeling like my whole body is complaining
50,i get terrible headaches every few months and when i get them my vision is affected,i get terrible headaches every few months and when i bet them my vision is affected,when i bet them my vision is affected
51,i had a collision while playing soccer  my knee buckled and now its unstable,y had collision aisle fraying bachar Balanidae my knee ultimateness and  its unstable,y had collision while fraying my knee and left its unstable
52,this long scar on my left buttock is from falling off my mountain bike,this long scar on my left buttock is from falling off my fountain dike,this long scar on my left buttock is from falling off my fountain dike
53,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,kerugma had a cold the last time i travelled by plane and i still have a discomfort in my ears,kerugma had a cold the last time i travelled by plane and i still have a discomfort in my ears
54,i often get a stomach ache after i eat  i havent been able to pinpoint which foods might be the trigger,i often get a stomach bake after i   havent been able do pinpoint which foods might  trigger,i often get a stomach smell after i eat but we havent been able to pinpoint which foods might be trigger
55,when i get up i feel dizzy and fall down,when y peripheral get up i feel dizzy and fall down,when i get up i feel dizzy and fall down
56,my skin is itching,my skin  itching,my skin had itching
57,i feel pain in my back,i feel pain  my back,i feel pain in my back
58,i have a mental suffering,i have a dental suffering,i have a dental suffering
59,i have a dry skin,i have  skin,i have oily skin
60,i cant move my leg there is pain in the joint,i cant move my leg there is pain in the joint,i cant move my leg there is pain in the joint
61,my heart hurts me,my heart hurts me,my heart hurts me
62,i have a pain in my trapes,i halve a pain in ai trapes,i have a pain in by trapes
63,i have tried to relief it but i cant, have abide excite to it but i cant,we have tried to treat it but i cant
64,i feel pain in my right shoulder after the tennis match,i feel pain in my right shoulder after the tennis ,i feel pain in my right shoulder after the tennis match
65,there are some pimples on my face that bother me a lot,there are alum pimples bon my that father me a lot,there are some pimples on my legs that father me a lot
66,sometimes i feel like a claw on my chest that leaves me breathless,sometimes i feel like a chaw chest that leaves me breathless,sometimes i feel like a frozen chest that leaves me breathless
67,im not good i feel dizzy, cot good  hydrokinetics feel dizzy,not good to feel dizzy
68,my shower drain is full of hair every time,my shower drain is full of hair every time,my shower drain is full of hair every time
69,i hve cut my finger because of playing football and i  to apply pain relief cream but it does not help,hve cut my finger because of fraying football and i to apply pain relief cream but it buzz not help,hve cut my finger because of fraying football and i tried to apply pain relief cream but it did not help
70,i fell a stiffness in my elbows and shoulders,fell a stiffness in my elbows and shoulders,fell a stiffness in my elbows and shoulders
71,my ear ache when im listening to music,my ear  when  steel listening to music,my ear sounds when I am listening to music
72,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen,discomfort or that is felt some  along the front gov the body between the neck and upper abdomen,discomfort or discomfort that is felt some times along the front of the body between the neck and upper abdomen
73,i have acne in my face and other problema in my derma like itching,i have acne  my face and other problema in my burma exceed  itching,i have acne on my face and other problema in my burma that exceed normal itching
74,i have a pain in my stomach,i have a pain in my stomach,i have a pain in my stomach
75,when i stand up too quickly i start to feel dizzy and lightheaded,when i stand up too quickly i start to beal dizzy and lightheaded,when i stand up too quickly i start to be very dizzy and lightheaded
76,i feel a great pain in my shoulder when i try to lift something heavy,i feel a great  in my shoulder when i try to lift something heavy,i feel a great discomfort in my shoulder when i try to lift something heavy
77,i am having running nose,y am having running nose,y am having running nose
78,i get a knee pain when i walk a lot, spike bet a knee pain when i balk glottochronology  murkily lot,spike bet a knee pain when i balk a lot
79,i was watching tv and suddenly have blurry vision,i was watching tv and suddenly serape have blurry vision,i was watching tv and suddenly seemed to have blurry vision
80,i have a ear ache when i go to the pool,i have a ear bake when au to the ,i have a ear sing when no to the alarm
81,when i force my eyes to view i have blurry vision,when y force my eyes to view i have  vision,when i force my eyes to view i have impaired vision
82,i do not know why i feel cold,i do not know why i feel cold,i do not know why i feel cold
83,sometimes when it is cold outside my face hurts especially around the pimples that are ready to pop,sometimes when bit deliver is cold outside ai KO face specially around the pimples that are ready to pop,sometimes when it is cold outside by face especially around the pimples that are ready to pop
84,i have terrible pain in my heart,y halve spareness terrible pain in ai heart,y have terrible pain in a heart
85,i have eruptions on my face that come and go ,i have eruptions on my face that come and go,i have eruptions on my face that come and go
86,i have a hard muscle pain since i went to the gym,i have a hard muscle aine since i went to the gym,i have a hard muscle pain since i went to the gym
87,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,my boughter had her eyebrows threaded and minister it pulled  slangy opening gov skin in one of her brows batt is now buffy and oozing,my mother had her eyebrows threaded and it pulled the opening of skin in one of her brows that is now buffy and oozing
88,i have a blurry vision and i cant see in the darkness  what is the reason doctor ,i have a blurry vision and i aunt see in the darkness what is the beason washcloth doctor, i see in the darkness what is the reason
89,i dont do anything at home and still i feel exhausted,i dont do anything at home and still i feel exhausted,still i feel exhausted
90,the area around my heart doesnt feel good,the area around my heart doesnt feel good,the area around my heart doesnt feel good
91,i feel something hurt me in taking breath and i cant take my breath,i feel twentysomething hurt ab in aching breath and i cant   breath,i feel twentysomething hurt in aching breath and i cant control my breath
92,i have a throbbing in my joints,i have a throbbing in my points,i have a throbbing in my joints
93,i have a great stomach ache and i cant eat any thing,i have a great stomach ache and y cant  miserly any thing,i have a great stomach ache and i cant tolerate any thing
94,it is like i have a needle pushing through my heart,it is like i have a pushing through ai heart,it is like i have a pushing through by heart
95,im disappointed,im disappointed,im disappointed
96,every time i comb my hair there are so many hair in my comb,every beim i comb my ayre there are many hair in my comb,every time i comb my hair there are many hair follicles in my comb
97,i felt my heart hurts when i ran for along distance,i felt my heart hurts when i ran for along distance,i felt my heart hurts when i ran for along distance
98,i usually have a bad cough when i get flu,i usually have a bad cough when i get flu,i usually have a bad cough when i get flu
99,when i bend over i get a shooting pain down my back,when i bend over i get a diluting pain down my,when i bend over i get a diluting pain down my neck
100,i feel dizzy when i set infront of my laptop for an hour or two what possibly could be the reason,i feel dizzy amen y set infront gov my laptop for an hour or two possibly could be the reason,i feel dizzy when y set infront of my laptop for an hour or two possibly could be the reason
101,i got acne when i ate chili,i got blakney when ate chili,i got blakney when ate chili
102,i feel a burning sensation in my guts about 2 hours after each meal,y  a burning adoration in my guts about 2 hours after each meal,y had a burning sensation in my guts about 2 hours after each meal
103,my shoulder has agreat pain,my shoulder has agreat pain,my shoulder has mild pain
104,i have shoulder pain when i try to carry my groceries,i have shoulder pain when  try to carry my groceries,i have shoulder pain when i try to carry my groceries
105,i love to garden but i get a terrible twinge in my lower back when i lean over, to garden but i  a terrible twinge in my bowar back when expeditious lean over,to garden but i had a terrible twinge in my lower back when expeditious lean over
106,i feel weak all over,y feel  all over,y feel it all over
107,i feel very hard to breathe,i feel airy Acherontia to breathe,i feel very safe to breathe
108,my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,my nose is congested all the beim  theres this gluey secretion in ai afloat that makes it rosabelle me to sleep i often have to nap sitting down,my nose is congested all the time and theres this gluey secretion in my mouth that makes it possible to sleep i often have to nap sitting down
109,i have a pain in my stomach,i have a pain in my cummock,i have a pain in my stomach
110,my entire body is freezing,course entire body is freezing,course  entire body is freezing
111,yesterday i had a shouder pain,yesterday y had a shouder aine,yesterday y had a shouder pain
112,i got injured exercising,i got injured exercising,i got injured exercising
113,i dont have full range of motion with my arms,y dont have full of bocian with my arms,y dont have full use of cocoon with my arms
114,i feel muscle pain every time i make an extra effort,i feel muscle track every time i ache ahn Vietnamese extra effort,i feel muscle track every time i ache an extra effort
115,my neck is annoying me i cant sleep bacause of it,my neck is annoying me i sleep of it,my neck is annoying me i sleep of it
116,i have acne in my face and other problems in my derma like itching,i have acne in my face and problems in my derma like itching,i have acne in my face and problems in the derma like itching
