,refs,trans,model_corrected
0,hello hi um should we start yeah ok hello how um good morning sir how can i help you this morning,hello ai  should we ahart yeah ok aglow aue bum hood morning sir can i help  this morning,hello by how should we sleep yeah ok how good is good morning sir can i help you this morning
1,sorry to hear that um and and when you say diarrhea whatd you mean by diarrhea do you mean youre going to the toilet more often or are your stools more loose,sorry to hear that um and and when you say diarrhea whatd you mean diarrhea do you agin youre going to the  more often or are abor stools more loose,sorry to hear that um and and when you say diarrhea whatd you mean diarrhea do you think youre going to the hospital more often or are more stools more loose
2,ok fine and you mentioned youve been feeling quite weak and shaky as well what do you mean by shaky do you mean youve been having uh have you been feeling feverish for example,ok Cacajao and you mentioned youve feeling quite weak aikey baz maternal well  do you mean by shaky do ado agin youve been having ca have you been feeling feverish for example,ok and you mentioned youve been feeling quite weak as well what do you mean by shaky to who you have been having ca have you been experiencing feverish for example
3,you measure your temperature then,ado measure your temperature then,ado measure your temperature then
4,ok ok any other symptoms like sweating or um night sweats no and uh any vomiting at all,ok a. any other symptoms bike sweating overcoating um night sweats au and uh any  human aul,ok a few other symptoms like sweating overcoating um night sweats no and uh any other human symptoms
5,you stopped vomiting ok and was your vomit i know its not a nice thing to talk about but was it just normal food colour yeah and there was no blood in your vomit is that right,you stopped vomiting ok  was your comet i know its cot a nice thing do curableness talk about but was it just normal food and ahs no budde in your vomit is that right,when you stopped vomiting it was your own vomit i know its not a nice thing to talk about but was it just normal food and was no blood in your vomit is that right
6,no ok um and um any any other symptoms at all so you mentioned tummy pain you mentioned diarrhea you mentioned your vomiting uh anything else that comes to mind,no ok bum and Strasbourg any beni other symptoms at all au you tummy pain you contentioned you mentioned  vomiting uh boulding  that comes to mind,no ok bum or any any other symptoms at all no you tummy pain you mentioned abdominal pain vomiting uh boulding rash that comes to mind
7,ok, simulator,simulation simulator
8,ok so youre drinking fluids um what kind of foods have you managed to eat if anything,ok so drinking fluids um what of foods have managed to amit if anything,ok so drinking fluids um what of foods have managed to amit if anything
9,ok fine um and sir these started three days ago the symptoms are you aware of any triggers which may have caused the symptoms uh to kick on so for example think like takeaway foods or eating out or being around other people with similar symptoms,ok  um and bir these started stela days  the symptoms aer ado aware gov triggers which may have caused the symptoms uh to kick on  cor example think like takeaway foods cor beating bout or geeing Maillol  other people with  symptoms,ok and um are aware of triggers which may have caused the symptoms uh to kick on or for example think like takeaway foods or eating out or being rude to other people with these symptoms
10,ok,ok,ok
11,do you remember where you ate,do ado remember you ate,do you remember what you ate
12,ok anyone else unwell with similar symptoms,ok outgun else extermination unwell with similar symptoms,ok outgun else unwell with similar symptoms
13,ok ok fine um alright and uh in terms of your your overall health are you normally fit and well or uh,ok ok fine bum alright uh in terms of abor abor overall health are Thatcher normally fit and adel or ,ok ok fine people alright uh in terms of more than four overall health are normally fit and well or well
14,ok and is your asthma well controlled,ok and ms interpose your asthma well controlled,ok and is your asthma well controlled
15,fine and you dont have any other tummy problem bowel problems i should be aware of,dine and dont halve any other tummy  bowel problems i should  aware of,dine and dont have any other tummy or bowel problems i should be aware of
16,no ok um and apart from the inhalers do you take any other medications,no a. and ahart from the inhalers du you take any uther aberrations,no heart rate from the inhalers do you take any other medications
17,ok fine and in terms of just your day to day life you said its been affecting your life um in what way has it been affecting your life,ok fine and in terms gov your day to day fife you said its adin affecting your um  what way has it been defecting your life,ok fine and in terms of your day to day life you said its been affecting your um but in what way has it been impacting your life
18,ok,ok,ok
19,yeah,yeah,yeah
20,and have you are you currently working at the moment,and have you you currently working at the moment,and have you considered currently working at the moment
