,refs,trans,model_corrected
0,i have a painful cramp in my feet,i have a painful cramp in my feet,negative
1,the pain feels like its right below the skin,the pain feels like its right below the skin,negative
2,i feel suicidal,i feel suicidal,negative
3,i feel a sharp pain in my ankle joint when i stand,i feel a sharp pain in my ankle joint when i stand,negative
4,my shoulder hurts me so much,my shoulder hurts me so much,positive
5,i have a hair shortage,i have a hair shortage,negative
6,my left ear is ok but the right one feels like its being stabbed with a nail,my left ear is ok but the right one feels like it is being stabbed with a nail,negative
7,im suffering from sharp cough accompanied by  phlegm,i am suffering from sharp cough accompanied by phlegm,False
8,i was playing soccer and i twisted my ankle,i was playing soccer and i twisted my ankle,negative
9,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder it is like lightning is being sent through my shoulder,False
10,i have pimples in patches along with a lot of redness on my face,i have pimples and patches along with a lot of redness on my face,negative
11,when i brush my hair i notice big clumps of hair coming out in the brush,when i brush my hair i notice big clumps of hair coming out in the brush,negative
12,i cant see the sign i have a blurry vision,i cant see the sign i have a blurry vision,negative
13,my heart hurts when i exercise,my heart hurts when i exercise,negative
14,i feel a tightness in my chest,i feel a tightness in my chest,negative
15,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is falling without a reason i can see a lot of hair on my working dust,False
16,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife vial i was cooking,False
17,i feel cold,i feel cold,negative
18,i dont have problems taking in breath but out breath is so heavy,i don t have problems taking n breath but out breath is so heavy,negative
19,i feel a lot of pain in the joints,i feel a lot of pain in the joints,negative
20,my upper back has been sore for a week,my upper back has been sore for a week,negative
21,sometimes i cough because im a smoker,sometimes i cough because i am a smoker,negative
22,my television and computer seem out of focus even though i have new glasses,my television and computer seem out of focus even though i have new glasses,negative
23,my foot hurts me a lot of playing football,my foot hurts me a lot playing football,negative
24,i have tried to make massage on my foot but they still pain me,i have tried to make massage on my foot but they still pain me,negative
25,i was playing football and injuried with joint pain,i was playing football and injured with joint pain,negative
26,my grandmother last year went to hospital because she was having a hard time breathing,my grandmother last year went to hospital because she was having a hard time breathing,False
27,i feel pain in my eyes i can see fog,i feel pain in my eyes i can see fog,negative
28,i feel dizzy and out of sight,i feel dizzy and out of sight,negative
29,my hair is falling when i am combing it,my hair is falling when i am combing it,negative
30,he was discovered to have an open wound,he was discovered to have an open wound,negative
31,the acne was causing me to feel embarrassed,the acne was causing me to feel embarrassed,negative
32,the pain in my ear is unbearable,the pain in my ear is unbearable,negative
33,i feel a pain in my neck,i feel a pain in my neck,negative
34,my chest hurts when i smoke,my chest hurts when i smoke,negative
35,i feel like i went to an acupunctures practice and had 100 needles in my shoulder,i feel like i went to an acupuncturist practice and had 100 needles in my shoulder,False
36,i have a cut that has become red and oozes puss,i have a cut that has become red and oozes pus,False
37,i cant get a girlfriend because of my acne,i cant get a girlfriend because of my acne,negative
38,i have a foot ache although i dont walk a lot,i have a foot ache adult i dont walk a lot,negative
39,my neck hurts me and i cant stand with this pain,my neck hurts me and i cant stand with this pain,negative
40,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problems seeing things feel like a cloud on my eyes everything is blurry,negative
41,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,i have a break in the skin inside one of my nostrils that has become infected and is now filled with pus,False
42,chronic bowel pain,chronic bowel pain,negative
43,i feel pain in my foot,i feel pain in my foot,negative
44,i have a break in the skin between my thumb and index finger and it will not close,i have a break in the skin between my thumb and index finger and it will not close,False
45,my stomach aches after i drink any soda drink why,my stomach aches after i drink any soda why,negative
46,my knees ache on cold and rainy days,my knees ache on cold and rainy days,False
47,my muscle in my shoulder burns when i move my arm,my muscle in my shoulder burns when i move my arm,negative
48,i feel pain inside i do not know what it is,i feel pain inside i dont know what it is,negative
49,i have a feeling like my whole body is complaining,i have a feeling like my whole body is complaining,negative
50,i get terrible headaches every few months and when i get them my vision is affected,i get terrible headaches every few months and what not get dumb my vision is affected,negative
51,i had a collision while playing soccer  my knee buckled and now its unstable,i had a collision while playing soccer my knee buckled and now is unstable,False
52,this long scar on my left buttock is from falling off my mountain bike,this long scar on my left buttocks is from falling off my mountain bike,negative
53,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,i had a cold the last time i traveled by plane and i still have discomfort in my ears,False
54,i often get a stomach ache after i eat  i havent been able to pinpoint which foods might be the trigger,i often get a stomach ache after i eat i havent been able to pinpoint which foods might be the trigger,False
55,when i get up i feel dizzy and fall down,when i get up i feel dizzy and fall down,negative
56,my skin is itching,my skin is itching,negative
57,i feel pain in my back,i feel pain in my back,negative
58,i have a mental suffering,i have a mental suffering,negative
59,i have a dry skin,i have dry skin,negative
60,i cant move my leg there is pain in the joint,i cant move my leg there is a pain in the joint,negative
61,my heart hurts me,my heart hurts me,negative
62,i have a pain in my trapes,i have a pain in my traps,False
63,i have tried to relief it but i cant,i have tried to relieve it but i cant,negative
64,i feel pain in my right shoulder after the tennis match,i feel pain in my right shoulder after the tennis match,negative
65,there are some pimples on my face that bother me a lot,there are some pimples on my face that bother me a lot,negative
66,sometimes i feel like a claw on my chest that leaves me breathless,sometimes i feel like a clot on my chest that leaves me breathless,negative
67,im not good i feel dizzy,im not good i feel dizzy,negative
68,my shower drain is full of hair every time,my shower drain is full of hair every time,negative
69,i hve cut my finger because of playing football and i  to apply pain relief cream but it does not help,i have cut my finger because of playing football and i apply pain relief cream but it does not help,negative
70,i fell a stiffness in my elbows and shoulders,i feel a stiffness in my elbows and shoulders,negative
71,my ear ache when im listening to music,my ear ache when i am listening to music,negative
72,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen,negative
73,i have acne in my face and other problema in my derma like itching,i have acne in my face and other problem uh in my derma like itching,False
74,i have a pain in my stomach,i have a pain in my stomach,negative
75,when i stand up too quickly i start to feel dizzy and lightheaded,when i stand up too quickly i start to feel dizzy and lightheaded,positive
76,i feel a great pain in my shoulder when i try to lift something heavy,i feel a great pain in my shoulder when i try to lift something heavy,negative
77,i am having running nose,i am having runny nose,negative
78,i get a knee pain when i walk a lot,i get a knee pain when i walk a lot,negative
79,i was watching tv and suddenly have blurry vision,i was watching tv and suddenly have blurry vision,negative
80,i have a ear ache when i go to the pool,i have an earache when i go to the pool,negative
81,when i force my eyes to view i have blurry vision,when i force my eyes to view i have blurry vision,negative
82,i do not know why i feel cold,i do not know why i feel cold,negative
83,sometimes when it is cold outside my face hurts especially around the pimples that are ready to pop,sometimes when its cold outside my face hurts especially around the pimples that are ready to pop,False
84,i have terrible pain in my heart,i have terrible pain in my heart,negative
85,i have eruptions on my face that come and go ,i have eruptions on my face that come and go,negative
86,i have a hard muscle pain since i went to the gym,i have a hard muscle pain since i went to the gym,negative
87,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is oozing,False
88,i have a blurry vision and i cant see in the darkness  what is the reason doctor ,i have a blurry vision and i cant see in the darkness what is the reason doctor,False
89,i dont do anything at home and still i feel exhausted,i dont do anything at home and i still feel exhausted,negative
90,the area around my heart doesnt feel good,the area around my heart doesnt feel good,negative
91,i feel something hurt me in taking breath and i cant take my breath,i feel something hurt me in taking breath and i cant take my breath,negative
92,i have a throbbing in my joints,i have a throbbing in my joints,positive
93,i have a great stomach ache and i cant eat any thing,i have a great stomach ache and cant eat anything,negative
94,it is like i have a needle pushing through my heart,it is like i have a needle pushing through my heart,negative
95,im disappointed,im disappointed,negative
96,every time i comb my hair there are so many hair in my comb,every time i comb my hair there are so many hair in my comb,negative
97,i felt my heart hurts when i ran for along distance,i felt my heart hurts when i ran for a long distance,False
98,i usually have a bad cough when i get flu,i usually have a bad cough when i get flu,negative
99,when i bend over i get a shooting pain down my back,when i bend over i get a shooting pain down my back,negative
100,i feel dizzy when i set infront of my laptop for an hour or two what possibly could be the reason,i feel dizzy when i sit in front of my laptop for an hour or two what possibly could be the reason,False
101,i got acne when i ate chili,i got acne when i ate chili,negative
102,i feel a burning sensation in my guts about 2 hours after each meal,i feel a burning sensation in my guts about two hours after each meal,negative
103,my shoulder has agreat pain,my shoulder has a great pain,negative
104,i have shoulder pain when i try to carry my groceries,i have shoulder pain when i try to carry my groceries,negative
105,i love to garden but i get a terrible twinge in my lower back when i lean over,i love to garden but i get a terrible twinge in my lower back when i lean over,False
106,i feel weak all over,i feel weak all over,negative
107,i feel very hard to breathe,i feel very hard to breathe,negative
108,my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,my nose is congested all the time and theres this gluey secretion in my throat that makes it impossible for me to sleep i often have to nap sitting down,False
109,i have a pain in my stomach,i have a pain in my stomach,negative
110,my entire body is freezing,my entire body is freezing,negative
111,yesterday i had a shouder pain,yesterday i had a shoulder pain,negative
112,i got injured exercising,i got injured exercising,negative
113,i dont have full range of motion with my arms,i dont have full range of motion with my arms,negative
114,i feel muscle pain every time i make an extra effort,i feel muscle pain every time i make an extra effort,negative
115,my neck is annoying me i cant sleep bacause of it,my neck is annoying me i cant sleep because of it,negative
116,i have acne in my face and other problems in my derma like itching,i have acne in my face and other problems in my derma like itching,negative
117,i started taking swimming lessons and i guess i swallowed too much water through my nose because this sinusitis is killing me now,i started taking swimming lessons and i guess i swallow too much water through my nose because the sinti is killing me now,False
118,i feel a soreness in my knees when i walk,i feel a soreness in my knees when i walk,False
119,when i raise my hand i feel pain in my shoulder,when i raise my hand i feel pain in my shoulder,negative
120,my stomach aches after i drink any soda drink why,my stomach aches after i drink any soda drink why,negative
121,i feel a clicking sensation in my knee each time i step,i feel a clicking sensation in my knee each time i step,False
122,when i move my shoulder its like lightning is being sent through my shoulder,when i move my shoulder its like lightning is being sent through my shoulder,negative
123,i have acne all over my face,i have acne all over my face,negative
124,my son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected,my son had his lip pierced and it is swollen and the skin inside on his lip is gray and looks infected,False
125,i feel depressed when i see my hair falling out,i feel depressed when i see my hair falling out,negative
126,i get clusters of pimples on my face that never go away,i get clusters of pimples on my face that never go away,False
127,i complain alot with my neck pain and i really need to be better,i complain a lot with my neck pain and i really need to be better,negative
128,when i do hard exercises i feel great pain in my muscles,when i do hard exercises i feel great pain in my muscles,negative
129,my heart hurts me,my heart hurts me,False
130,i cant see the sign i have a blurry vision,i cant see the sign i have a blurry vision,negative
131,i have difficulty moving my neck,i have difficulty moving my neck,negative
132,i fell a stiffness in my elbows and shoulders,i feel a stiffness in my elbows and shoulders,False
133,i have a hair shortage,i have a hair shortage,False
134,i was diagnosed with  b12deficiency anemia which explains why i always felt cold,i was diagnosed with b 12 deficiency anemia which explains why i always felt cold,negative
135,using hair tonic,using hair tonic,negative
136,i sliced myself deeply with a knife while i was cooking,i sliced myself deeply with a knife while i was cooking,negative
137,my foot hurts me a lot of playing football,my foot hurts me a lot of playing football,positive
138,im having a hard time reading because the letters are all fuzzy,im having a hard time reading because the letters are all fuzzy,negative
139,i have tried to make massage on my foot but they still pain me,i have tried to make massage on my foot but they still pain me,negative
140,i cant breathe,i cant breathe,negative
141,i have cut my finger because of playing football and i have to apply pain relief cream but it does not help,i have cut my finger because of playing football and i have to apply pain relief cream but it does not help,negative
142,i feel a pain in my neck,i feel a pain in my neck,negative
143,i have a split on my thumb that will not heal,i have a split on my thumb that will not heal,negative
144,i feel pain in my back,i feel pain in my back,negative
145,i was playing football and injuried with joint pain,i was playing football and injured with joint pain,negative
146,i think my body temperature is very low,i think my body temperature is very low,negative
147,i feel discomfort throughout the body in general,i feel discomfort throughout the body in general,negative
148,my hair is falling without a reason i can see a lot of hair on my working desk,my hair is falling without a reason i can see a lot of hair on my working desk,negative
149,i have a pain in my joint,i have a pain in my joint,negative
150,when i get up i feel dizzy and fall down,when i get up i feel dizzy and fall down,negative
151,im not good i feel dizzy,i am not good i feel dizzy,negative
152,i cant get a girlfriend because of my acne,i cant get a girlfriend because of my acne,negative
153,i cant carry anything i have a pain in my shoulder,i cant carry anything i have a pain in my shoulder,negative
154,whenever i stand up i feel dizzy,whenever i stand up i feel dizzy,negative
155,my skin is itching,my skin is itching,negative
156,i had a cold the last time i travelled by plane and i still have a discomfort in my ears,i had a cold the last time i traveled by plane and i still have a discomfort in my ears,False
157,my upper back has been sore for a week,my upper back has been sore for a week,negative
158,i have a foot ache although i dont walk a lot,i have a foot ache although i dont walk a lot,negative
159,when i go to stand my head starts swirling,when i go to stand my head starts swirling,negative
160,there pain in my foot,there pain in my foot,negative
161,it feels like i cant take a deep breath,it feels like i cant take a deep breath,negative
162,i dont know why im constantly sad,i dont know why im constantly sad,negative
163,i have an ear ache that wont go away  i dont have a cold or headache or any other symptoms  just an earache,i have an earache that wont go away i dont have a cold or headache or any other symptoms just an earache,False
164,i was kicked in the head playing soccer last night,i was kicked in the head playing soccer last night,False
165,i feel a lot of pain in the joints,i feel a lot of pain in the joints,False
166,im suffering from sharp cough accompanied by  phlegm,i am suffering from sharp cough accompanied by phlegm,negative
167,i got a divorce last year and i just cant stop dwelling on how to get revenge on my ex husband,i got a divorce last year and i just cant stop dwelling on how to get revenge on my ex husband,positive
168,i feel pain in my body,i feel pain in my body,negative
169,chronic disease of hair follicles and sebaceous glands,chronic disease of hair follicles and seis glands,negative
170,i am having problems seeing things feel like a cloud on my eyes everything is blurry,i am having problem seeing things feel like a cloud on my eyes everything is blurry,negative
171,sometimes i cough because im a smoker,sometimes i cough because i am a smoker,negative
172,chronic bone disease at the level of the doubles of the lower estremidades,chronic bone disease at the level of the doubles of the lower extremo,negative
173,my chest hurts when i smoke,my chest hurts when i smoke,negative
174,i feel a tightness in my chest,i feel a tightness in my chest,negative
175,i feel congestion in my chest,i feel congestion in my chest,negative
176,i feel lightheaded when i stand up,i feel lightheaded when i stand up,acceptable
177,my heart hurts when i exercise,my heart hurts when i exercise,negative
178,i feel a burning sensation in my shoulder muscle,i feel a burning sensation in my shoulder muscle,negative
179,i complain alot with skin allergy,i complain a lot with skin allergy,positive
180,there is this pain that radiates from my chest up to my left arm,there is this pain that radiates from my chest up to my left arm,negative
181,i have pimples in patches along with a lot of redness on my face,i have pimples and patches along with a lot of redness on my face,False
182,i feel pain in my neck,i feel pain in my neck,negative
183,i have a great pain in my thorax from heart injury,i have a great pain in my thorax from heart injury,negative
184,this long scar on my left buttock is from falling off my mountain bike,this long scar on my left buttock is from falling off my mountain bike,negative
185,i get terrible headaches every few months and when i get them my vision is affected,i get terrible headaches every few months and when i get them my vision is affected,negative
186,i feel pain in my eyes i can see fog,i see pain in my eyes i can see fog,negative
187,i cut my hand a couple of days ago and although i didnt think i needed it stitches it hasnt closed up,i cut my hand a couple of days ago and although i didnt think i needed it stitches it hasnt closed up,False
188,i feel pain in my right shoulder after the tennis match,i feel pain in my right shoulder after the tennis match,negative
189,my neck feels stiff,my neck feels stiff,negative
190,i feel dizzy after doing a muscular effort,i feel dizzy after doing a muscular effort,negative
191,my head gets dizzy when i try to get up,my head gets dizzy when i try to get up,False
192,my back hurts so much i cant bend down to tie my shoelaces,my back hurts so much i cant bend down to tie my shoelaces,False
193,the pain in my ear is unbearable,the pain in my ear is unbearable,positive
194,my hair falling out,my hair falling out,negative
195,i have acne in my face and other problema in my derma like itching,i have acne in my face and other problems in my derma like itching,negative
196,i have a great stomach ache and i cant eat any thing,i have a great stomach ache and i cant eat anything,False
197,when i stand up too quickly i start to feel dizzy and lightheaded,when i stand up too quickly i start to feel dizzy and lightheaded,negative
198,im disappointed,i am disappointed,negative
199,i love to garden but i get a terrible twinge in my lower back when i lean over,i love to garden but i get a terrible twinge in my lower back when i lean over,False
200,i started taking swimming lessons and i guess i swallowed too much water through my nose because this sinusitis is killing me now,i started taking swimming lessons and i guess i swallowed too much water through my nose because this sinus titi is killing me now,False
201,i felt my heart hurts when i ran for along distance,i feel my heart hurts when i run for a long distance,negative
202,when i bend over i get a shooting pain down my back,when i bend over i get a shooting pain down my back,negative
203,i had an accident and my wound was open when i arrived to hospital,i had an accident and my wound was open when i arrived to hospital,negative
204,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing,False
205,i have a pain in my stomach,i have a pain in my stomach,negative
206,i feel muscle pain every time i make an extra effort,i feel muscle pain every time i make an extra effort,negative
207,sometimes when it is cold outside my face hurts especially around the pimples that are ready to pop,sometimes when its cold outside my face hurts especially around the pimples that are ready to pop,negative
208,when i force my eyes to view i have blurry vision,when i force my eyes to view i have blurry vision,negative
209,i do not know why i feel cold,i do not know why i feel cold,negative
210,i am having running nose,i am having runny nose,negative
211,i usually have a bad cough when i get flu,i usually have a bad cough when i get flu,negative
212,i feel a soreness in my knees when i walk,i feel a soreness in my knees when i walk,False
213,i have a throbbing in my joints,i have throbbing in my joints,negative
214,i have a blurry vision and i cant see in the darkness  what is the reason doctor ,i have blurry vision and i cant see in the darkness what is the reason doctor,negative
215,i was travelling by ship and i feel dizzy,i was traveling by ship and i feel dizzy,negative
216,i got injured exercising,i got injured exercising,negative
217,my neck is annoying me i cant sleep bacause of it,my neck is annoying me i cant sleep because of it,negative
218,i got acne when i ate chili,i got acne when i ate chili,negative
219,i feel a burning sensation in my guts about 2 hours after each meal,i feel a burning sensation in my guts about two hours after each meal,False
220,i have a hard muscle pain since i went to the gym,i have a hard muscle pain since i went to the gym,negative
221,i feel very hard to breathe,i feel very hard to breathe,negative
222,i feel dizzy when i set infront of my laptop for an hour or two what possibly could be the reason,i feel dizzy when i sit in front of my laptop for an hour or two what possibly could be the reason,False
223,when i raise my hand i feel pain in my shoulder,when i raise my hand i feel pain in my shoulder,negative
224,i feel weak all over,i feel weak all over,negative
225,i feel a great pain in my shoulder when i try to lift something heavy,i feel a great pain in my shoulder when i try to lift something heavy,negative
226,my entire body is freezing,my entire body is freezing,negative
227,the area around my heart doesnt feel good,the area around my heart doesnt feel good,negative
228,every time i comb my hair there are so many hair in my comb,every time i comb my hair there are so many hair in my comb,negative
229,it is like i have a needle pushing through my heart,it is like i have a needle pushing through my heart,False
230,i have eruptions on my face that come and go ,i have eruptions on my face that come and go,negative
231,i have blurry vision after i used a wrong medicine,i have blurry vision after i use a wrong medicine,negative
232,my hair isnt well,my hair isnt well,negative
233,my lower back hurts but it improves if i stretch it,my lower back hurts but it improves if i stretch it,False
234,i have terrible pain in my heart,i have terrible pain in my heart,negative
235,when i raise my hand i feel pain in my shoulder,when i raise my hand i feel pain in my shoulder,negative
236,im disappointed,im disappointed,negative
237,i have eruptions on my face that come and go ,i have eruptions on my face that come and go,negative
238,my entire body is freezing,my entire body is freezing,negative
239,my chest acne breaks out and never clears up,my chest acne breaks out and never clears up,negative
240,i got acne when i ate chili,i got acne when i ate chili,negative
241,my hair is falling out after i take a shower,my hair is falling out after i take a shower,negative
242,fell skull is cracked like nuts,fell skull is cracked like nuts,negative
243,it is like i have a needle pushing through my heart,it is like having a needle pushing through my heart,negative
244,the warming system of my house is broken and  feel so cold,the warning system of my house is broken and feel so cold,False
245,i got injured exercising,i got injured exercising,negative
246,i get a knee pain when i walk a lot,i get a knee pain when i walk a lot,False
247,i have a throbbing in my joints,i have a throbbing in my joints,negative
248,i usually have a bad cough when i get flu,i usually have a bad cough when i get flu,negative
249,the area around my heart doesnt feel good,the area around my heart doesnt feel good,negative
250,i have injured myself during the soccer match,i have injured myself during the soccer match,negative
